date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,up,0,1.4494,0.2827,1w
2021-01-13,chop,down,down,1,-0.8061,0.4293,1w
2021-01-25,chop,down,up,0,3.5164,0.2827,1w
2021-02-03,crisis,neutral,down,0,-7.0648,0.456,1w
2021-02-12,chop,neutral,down,0,-14.3141,0.4707,1w
2021-02-24,chop,neutral,down,0,-10.3566,0.468,1w
2021-03-05,crisis,down,down,1,-2.4083,0.4213,1w
2021-03-16,crisis,down,down,1,-1.5194,0.3733,1w
2021-03-25,high_volatility,down,neutral,0,0.1555,0.3867,1w
2021-04-06,chop,down,down,1,-2.2936,0.3253,1w
2021-04-15,trending_bear,down,down,1,-13.927,0.26,1w
2021-04-26,chop,down,down,1,-12.4815,0.368,1w
2021-05-05,chop,down,down,1,-5.4075,0.2973,1w
2021-05-14,chop,down,down,1,-8.1144,0.1733,1w
2021-05-25,trending_bear,down,down,1,-10.802,0.256,1w
2021-06-04,chop,down,down,1,-14.0185,0.4093,1w
2021-06-15,chop,down,down,1,-2.9368,0.2413,1w
2021-06-24,chop,down,up,0,0.763,0.2253,1w
2021-07-06,chop,down,up,0,2.848,0.2747,1w
2021-07-15,chop,down,up,0,7.6221,0.24,1w
2021-07-26,chop,down,up,0,3.8265,0.2813,1w
2021-08-04,chop,down,down,1,-1.3924,0.2693,1w
2021-08-13,chop,neutral,down,0,-11.1033,0.4693,1w
2021-08-24,chop,down,down,1,-13.4922,0.4067,1w
2021-09-02,chop,down,down,1,-8.2998,0.2933,1w
2021-09-14,chop,down,down,1,-7.1138,0.4093,1w
2021-09-23,chop,down,up,0,2.6338,0.2973,1w
2021-10-04,chop,down,up,0,6.949,0.352,1w
2021-10-13,chop,down,up,0,16.6373,0.2973,1w
2021-10-22,chop,down,up,0,4.4615,0.3627,1w
2021-11-02,chop,neutral,down,0,-3.1966,0.4707,1w
2021-11-11,chop,neutral,down,0,-16.1118,0.472,1w
2021-11-22,chop,down,down,1,-11.6494,0.396,1w
2021-12-02,chop,down,down,1,-4.8316,0.4253,1w
2021-12-13,chop,down,up,0,2.1849,0.4467,1w
2021-12-22,chop,down,up,0,19.0189,0.4253,1w
2022-01-03,chop,down,up,0,27.1607,0.404,1w
2022-01-12,chop,neutral,up,0,14.6825,0.508,1w
2022-01-24,chop,up,down,0,-5.2011,0.5693,1w
2022-02-02,chop,up,down,0,-10.6555,0.6227,1w
2022-02-11,trending_bull,neutral,down,0,-19.4365,0.4907,1w
