date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-10.2875,0.8773,1w
2021-01-13,high_volatility,up,down,0,-1.2427,0.7307,1w
2021-01-25,high_volatility,neutral,up,0,2.872,0.4653,1w
2021-02-03,crisis,neutral,up,0,2.2677,0.5013,1w
2021-02-12,high_volatility,neutral,up,0,3.1942,0.488,1w
2021-02-24,high_volatility,down,up,0,11.8645,0.348,1w
2021-03-05,high_volatility,neutral,up,0,9.5281,0.4907,1w
2021-03-16,crisis,down,up,0,7.1986,0.352,1w
2021-03-25,high_volatility,neutral,up,0,2.435,0.4733,1w
2021-04-06,trending_bull,neutral,down,0,-8.0314,0.492,1w
2021-04-15,high_volatility,up,down,0,-17.6148,0.656,1w
2021-04-26,high_volatility,up,down,0,-24.2923,0.7413,1w
2021-05-05,crisis,neutral,down,0,-10.4366,0.4907,1w
2021-05-14,crisis,down,down,1,-9.0534,0.3867,1w
2021-05-25,crisis,down,up,0,8.5193,0.3027,1w
2021-06-04,crisis,down,up,0,2.5218,0.3893,1w
2021-06-15,high_volatility,down,up,0,12.5638,0.2827,1w
2021-06-24,chop,down,up,0,9.243,0.3027,1w
2021-07-06,chop,down,up,0,11.2259,0.3013,1w
2021-07-15,chop,down,up,0,2.9042,0.324,1w
2021-07-26,trending_bull,down,up,0,6.0703,0.392,1w
2021-08-04,trending_bull,neutral,down,0,-2.5972,0.4773,1w
2021-08-13,trending_bull,up,down,0,-6.4957,0.5627,1w
2021-08-24,trending_bull,up,down,0,-10.3181,0.768,1w
2021-09-02,chop,up,down,0,-7.9713,0.6573,1w
2021-09-14,chop,up,down,0,-8.1929,0.6587,1w
2021-09-23,chop,neutral,up,0,2.5257,0.4707,1w
2021-10-04,trending_bear,down,up,0,3.0306,0.4093,1w
2021-10-13,trending_bear,down,up,0,9.8434,0.2693,1w
2021-10-22,chop,down,up,0,5.5023,0.3507,1w
2021-11-02,chop,down,up,0,4.2088,0.3307,1w
2021-11-11,chop,down,down,1,-5.3912,0.3733,1w
2021-11-22,chop,down,down,1,-13.1385,0.408,1w
2021-12-02,chop,down,down,1,-8.3413,0.4213,1w
2021-12-13,chop,down,down,1,-1.1819,0.4013,1w
2021-12-22,chop,down,up,0,7.2813,0.448,1w
2022-01-03,chop,down,up,0,14.8461,0.3547,1w
2022-01-12,chop,neutral,up,0,4.5506,0.512,1w
2022-01-24,chop,down,up,0,0.6353,0.448,1w
2022-02-02,trending_bull,up,down,0,-6.1616,0.588,1w
2022-02-11,chop,down,down,1,-3.4895,0.4253,1w
2022-02-23,chop,down,up,0,1.3631,0.3413,1w
2022-03-04,chop,down,up,0,2.593,0.412,1w
2022-03-15,chop,down,up,0,0.8291,0.448,1w
2022-03-24,chop,up,up,1,2.0174,0.6107,1w
2022-04-04,chop,up,down,0,-1.1601,0.6267,1w
2022-04-13,chop,neutral,up,0,1.8519,0.488,1w
2022-04-25,chop,neutral,down,0,-2.2021,0.5173,1w
2022-05-04,chop,down,up,0,3.8452,0.3347,1w
2022-05-13,chop,down,up,0,6.2582,0.4453,1w
2022-05-24,chop,down,up,0,7.5778,0.4133,1w
2022-06-03,chop,up,up,1,4.089,0.6173,1w
2022-06-14,chop,up,up,1,4.4937,0.6573,1w
2022-06-24,chop,up,up,1,6.7581,0.6053,1w
2022-07-06,trending_bull,up,up,1,5.1405,0.656,1w
2022-07-15,trending_bull,up,up,1,0.8887,0.736,1w
2022-07-26,trending_bull,up,down,0,-5.1822,0.7933,1w
2022-08-04,trending_bull,up,down,0,-2.2655,0.7307,1w
