date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-7.3514,0.3867,1w
2021-01-13,high_volatility,down,down,1,-5.63,0.3267,1w
2021-01-25,high_volatility,down,down,1,-12.2724,0.1907,1w
2021-02-03,high_volatility,down,down,1,-17.1768,0.2093,1w
2021-02-12,chop,down,down,1,-22.7973,0.2827,1w
2021-02-24,crisis,down,down,1,-1.7139,0.1787,1w
2021-03-05,high_volatility,down,up,0,3.8345,0.184,1w
2021-03-16,high_volatility,down,up,0,10.5775,0.1387,1w
2021-03-25,high_volatility,down,down,1,-2.8536,0.1867,1w
2021-04-06,chop,down,down,1,-12.5596,0.2307,1w
2021-04-15,chop,down,down,1,-21.7756,0.2253,1w
2021-04-26,chop,down,down,1,-8.7235,0.2733,1w
2021-05-05,high_volatility,down,down,1,-4.761,0.2,1w
2021-05-14,high_volatility,down,down,1,-10.6569,0.168,1w
2021-05-25,chop,down,down,1,-1.2402,0.2893,1w
2021-06-04,chop,down,down,1,-8.3381,0.3707,1w
2021-06-15,chop,down,neutral,0,0.4439,0.296,1w
2021-06-24,chop,down,up,0,3.9767,0.2693,1w
2021-07-06,chop,down,down,1,-2.0486,0.26,1w
2021-07-15,chop,down,up,0,6.0341,0.2173,1w
2021-07-26,chop,down,down,1,-9.4186,0.4013,1w
2021-08-04,chop,down,down,1,-10.7187,0.3387,1w
2021-08-13,chop,neutral,down,0,-7.9477,0.4653,1w
2021-08-24,chop,down,down,1,-11.8766,0.412,1w
2021-09-02,chop,down,up,0,1.7729,0.2933,1w
2021-09-14,chop,neutral,down,0,-2.4466,0.492,1w
2021-09-23,chop,down,up,0,6.757,0.2693,1w
2021-10-04,chop,down,down,1,-2.7401,0.368,1w
2021-10-13,chop,down,up,0,19.0166,0.3653,1w
2021-10-22,chop,down,up,0,19.9104,0.304,1w
2021-11-02,chop,down,up,0,4.8436,0.3733,1w
2021-11-11,chop,neutral,down,0,-18.0039,0.4987,1w
2021-11-22,chop,up,down,0,-9.0117,0.6093,1w
2021-12-02,chop,up,down,0,-1.9132,0.5907,1w
2021-12-13,trending_bear,neutral,up,0,10.801,0.4693,1w
2021-12-22,chop,up,up,1,12.7771,0.6347,1w
2022-01-03,chop,neutral,up,0,17.118,0.4987,1w
2022-01-12,chop,up,up,1,8.976,0.6173,1w
2022-01-24,chop,up,down,0,-5.6616,0.6693,1w
2022-02-02,chop,up,down,0,-9.9181,0.6733,1w
2022-02-11,trending_bull,neutral,down,0,-22.5789,0.5013,1w
2022-02-23,trending_bear,down,down,1,-11.8375,0.404,1w
2022-03-04,chop,neutral,down,0,-10.5056,0.488,1w
2022-03-15,trending_bear,down,up,0,5.2335,0.3933,1w
2022-03-24,trending_bear,down,down,1,-4.9934,0.3507,1w
2022-04-04,trending_bear,down,down,1,-3.1981,0.3547,1w
2022-04-13,chop,down,down,1,-7.7631,0.3213,1w
2022-04-25,chop,down,up,0,6.6146,0.2253,1w
2022-05-04,chop,down,up,0,4.1098,0.1933,1w
2022-05-13,chop,down,up,0,10.2243,0.2027,1w
2022-05-24,chop,down,up,0,5.8546,0.3467,1w
2022-06-03,chop,down,up,0,2.8673,0.3347,1w
2022-06-14,chop,up,neutral,0,0.1771,0.5693,1w
2022-06-24,chop,neutral,up,0,4.2578,0.528,1w
2022-07-06,chop,up,neutral,0,0.0048,0.5533,1w
2022-07-15,chop,neutral,up,0,4.336,0.4693,1w
2022-07-26,chop,up,down,0,-4.7432,0.684,1w
2022-08-04,chop,up,neutral,0,-0.4823,0.5907,1w
2022-08-15,chop,up,up,1,2.8668,0.656,1w
2022-08-24,chop,neutral,down,0,-1.4073,0.4947,1w
2022-09-02,chop,neutral,down,0,-6.623,0.488,1w
2022-09-14,chop,down,down,1,-8.1104,0.4467,1w
2022-09-23,chop,down,down,1,-5.5493,0.404,1w
2022-10-04,chop,down,down,1,-8.6006,0.332,1w
2022-10-13,chop,down,down,1,-11.7827,0.376,1w
2022-10-24,chop,down,up,0,12.8901,0.2693,1w
2022-11-02,trending_bear,down,up,0,10.2798,0.256,1w
2022-11-11,trending_bear,down,up,0,22.2067,0.236,1w
2022-11-22,chop,down,up,0,19.9685,0.4253,1w
2022-12-02,chop,down,up,0,12.6097,0.436,1w
2022-12-13,trending_bull,neutral,down,0,-9.9581,0.5293,1w
2022-12-22,trending_bull,up,down,0,-10.5555,0.7107,1w
2023-01-04,trending_bull,up,down,0,-2.8139,0.66,1w
2023-01-13,trending_bear,up,up,1,20.4402,0.5573,1w
2023-01-25,trending_bull,up,up,1,13.2922,0.728,1w
2023-02-03,chop,up,up,1,19.4739,0.708,1w
2023-02-14,chop,up,up,1,5.5298,0.8093,1w
2023-02-24,chop,up,up,1,4.9377,0.7467,1w
2023-03-07,trending_bull,up,down,0,-6.3529,0.7787,1w
2023-03-16,trending_bull,up,down,0,-11.3646,0.6173,1w
2023-03-27,trending_bull,up,down,0,-15.4286,0.6053,1w
2023-04-05,high_volatility,up,down,0,-7.7083,0.6187,1w
2023-04-17,trending_bear,up,up,1,1.0735,0.6387,1w
2023-04-26,high_volatility,neutral,down,0,-5.1609,0.5107,1w
2023-05-05,high_volatility,up,down,0,-8.54,0.5573,1w
2023-05-16,chop,down,down,1,-6.7987,0.3733,1w
2023-05-25,chop,down,down,1,-3.6362,0.2253,1w
2023-06-06,trending_bear,down,down,1,-8.6454,0.1427,1w
2023-06-15,chop,down,up,0,7.0726,0.1493,1w
2023-06-27,chop,down,up,0,12.5971,0.104,1w
2023-07-07,chop,down,up,0,13.3515,0.1307,1w
2023-07-18,chop,down,down,1,-7.5442,0.4067,1w
2023-07-27,high_volatility,neutral,down,0,-14.0047,0.4947,1w
2023-08-07,crisis,down,down,1,-4.3859,0.4093,1w
2023-08-16,high_volatility,down,up,0,0.9214,0.3547,1w
2023-08-25,chop,down,down,1,-5.1156,0.412,1w
2023-09-06,trending_bear,down,up,0,1.479,0.3067,1w
2023-09-15,trending_bear,down,down,1,-5.9842,0.444,1w
2023-09-26,chop,down,down,1,-7.8331,0.3893,1w
2023-10-05,chop,down,down,1,-3.562,0.4093,1w
2023-10-16,chop,down,up,0,5.8582,0.3387,1w
2023-10-25,chop,down,up,0,7.4951,0.1933,1w
2023-11-03,chop,down,up,0,5.6551,0.3067,1w
2023-11-14,trending_bull,neutral,down,0,-3.2707,0.4987,1w
2023-11-24,chop,down,down,1,-7.4565,0.4213,1w
2023-12-05,chop,neutral,down,0,-1.0442,0.5427,1w
2023-12-14,chop,down,down,1,-12.769,0.3787,1w
2023-12-26,chop,down,down,1,-12.3279,0.3973,1w
2024-01-05,chop,neutral,down,0,-12.3788,0.4707,1w
2024-01-17,chop,down,down,1,-5.5719,0.3013,1w
2024-01-26,chop,down,up,0,2.0045,0.3653,1w
2024-02-06,chop,down,up,0,6.9174,0.3427,1w
2024-02-15,trending_bear,down,up,0,5.3818,0.1693,1w
2024-02-27,chop,down,down,1,-5.9041,0.224,1w
