date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-8.1581,0.344,1w
2021-01-13,trending_bear,down,neutral,0,-0.0479,0.22,1w
2021-01-25,trending_bear,down,neutral,0,-0.3348,0.1227,1w
2021-02-03,trending_bear,down,up,0,7.8965,0.2013,1w
2021-02-12,trending_bear,down,up,0,0.6928,0.1867,1w
2021-02-24,chop,down,up,0,35.6238,0.2013,1w
2021-03-05,chop,down,up,0,27.2692,0.4013,1w
2021-03-16,high_volatility,down,up,0,18.4849,0.4147,1w
2021-03-25,high_volatility,neutral,down,0,-7.9588,0.5133,1w
2021-04-06,chop,up,down,0,-12.9372,0.5747,1w
2021-04-15,chop,up,down,0,-41.7118,0.5893,1w
2021-04-26,chop,up,down,0,-30.4362,0.6107,1w
2021-05-05,chop,up,down,0,-13.1593,0.5587,1w
2021-05-14,crisis,down,down,1,-1.1325,0.3307,1w
2021-05-25,high_volatility,down,up,0,25.0447,0.4253,1w
2021-06-04,high_volatility,neutral,up,0,15.3732,0.4653,1w
2021-06-15,chop,down,up,0,8.4704,0.3653,1w
2021-06-24,chop,down,down,1,-1.2812,0.336,1w
2021-07-06,chop,down,up,0,5.0559,0.368,1w
2021-07-15,chop,down,up,0,12.9117,0.2947,1w
2021-07-26,chop,down,up,0,13.7081,0.38,1w
2021-08-04,chop,neutral,down,0,-8.5976,0.4653,1w
2021-08-13,chop,up,down,0,-8.4828,0.656,1w
2021-08-24,chop,up,down,0,-17.1308,0.712,1w
2021-09-02,chop,neutral,down,0,-1.8208,0.5293,1w
2021-09-14,chop,up,down,0,-16.9029,0.5987,1w
2021-09-23,chop,down,down,1,-2.5376,0.3507,1w
2021-10-04,chop,down,down,1,-8.3053,0.3787,1w
2021-10-13,chop,down,down,1,-11.0354,0.3347,1w
2021-10-22,chop,down,down,1,-14.1862,0.392,1w
2021-11-02,chop,down,down,1,-16.1633,0.304,1w
2021-11-11,trending_bear,down,down,1,-17.1744,0.184,1w
2021-11-22,chop,down,down,1,-20.9499,0.216,1w
2021-12-02,chop,down,down,1,-16.7097,0.2547,1w
2021-12-13,chop,down,down,1,-19.0181,0.1867,1w
2021-12-22,chop,down,up,0,0.6059,0.2107,1w
2022-01-03,trending_bear,down,up,0,11.0813,0.152,1w
2022-01-12,trending_bear,down,up,0,12.6997,0.1867,1w
2022-01-24,chop,down,up,0,16.4848,0.2093,1w
2022-02-02,chop,down,up,0,12.3547,0.2973,1w
2022-02-11,chop,down,up,0,11.1856,0.2827,1w
2022-02-23,chop,down,up,0,12.1589,0.3653,1w
2022-03-04,chop,neutral,up,0,9.5493,0.5013,1w
2022-03-15,chop,neutral,up,0,1.6851,0.5387,1w
2022-03-24,trending_bull,up,down,0,-7.0325,0.6947,1w
2022-04-04,trending_bull,up,down,0,-7.7621,0.7253,1w
2022-04-13,chop,up,down,0,-1.3249,0.7573,1w
2022-04-25,chop,up,up,1,20.2062,0.6653,1w
2022-05-04,chop,neutral,up,0,25.831,0.5107,1w
2022-05-13,chop,up,up,1,14.887,0.6227,1w
2022-05-24,trending_bull,up,down,0,-5.2136,0.7213,1w
2022-06-03,trending_bull,up,down,0,-6.1618,0.68,1w
2022-06-14,chop,up,down,0,-4.4303,0.6227,1w
2022-06-24,chop,up,up,1,7.1736,0.5573,1w
2022-07-06,chop,up,up,1,4.4707,0.5987,1w
2022-07-15,chop,up,down,0,-2.1706,0.5867,1w
2022-07-26,chop,up,down,0,-4.8414,0.708,1w
2022-08-04,chop,up,up,1,9.5781,0.68,1w
2022-08-15,chop,up,up,1,14.5839,0.5907,1w
2022-08-24,chop,down,up,0,6.9127,0.428,1w
2022-09-02,chop,up,down,0,-1.3114,0.5547,1w
2022-09-14,chop,neutral,up,0,12.2514,0.5453,1w
2022-09-23,chop,up,up,1,13.9207,0.584,1w
2022-10-04,chop,up,up,1,10.5935,0.6053,1w
2022-10-13,chop,up,up,1,7.0816,0.668,1w
2022-10-24,chop,up,up,1,19.5176,0.6613,1w
2022-11-02,chop,up,up,1,26.1103,0.6893,1w
2022-11-11,chop,up,up,1,21.1906,0.7747,1w
2022-11-22,trending_bull,up,up,1,21.3472,0.836,1w
2022-12-02,trending_bull,up,up,1,2.7953,0.8587,1w
2022-12-13,crisis,up,up,1,13.3014,0.9173,1w
2022-12-22,high_volatility,up,up,1,13.8015,0.9373,1w
2023-01-04,trending_bull,up,up,1,22.2379,0.9067,1w
2023-01-13,crisis,up,up,1,21.0953,0.924,1w
2023-01-25,crisis,up,up,1,10.5818,0.952,1w
2023-02-03,crisis,up,up,1,9.0894,0.9413,1w
2023-02-14,crisis,up,down,0,-4.7468,0.9373,1w
2023-02-24,crisis,up,up,1,2.7396,0.8533,1w
2023-03-07,crisis,up,down,0,-4.3011,0.764,1w
2023-03-16,high_volatility,up,down,0,-6.8243,0.68,1w
2023-03-27,chop,up,down,0,-7.519,0.704,1w
2023-04-05,chop,up,up,1,1.3005,0.6987,1w
2023-04-17,chop,up,up,1,16.8307,0.5573,1w
2023-04-26,chop,neutral,up,0,15.5885,0.5013,1w
2023-05-05,chop,neutral,up,0,9.4801,0.524,1w
2023-05-16,chop,neutral,up,0,13.6775,0.5053,1w
2023-05-25,chop,up,up,1,9.6736,0.58,1w
2023-06-06,high_volatility,neutral,up,0,14.7493,0.5093,1w
2023-06-15,high_volatility,up,down,0,-9.09,0.6587,1w
2023-06-27,trending_bull,up,down,0,-33.8583,0.6387,1w
2023-07-07,trending_bull,up,down,0,-39.958,0.6947,1w
2023-07-18,trending_bear,up,down,0,-24.0665,0.6653,1w
2023-07-27,crisis,down,up,0,2.7279,0.344,1w
2023-08-07,high_volatility,down,up,0,11.1675,0.26,1w
2023-08-16,trending_bear,down,up,0,2.0073,0.2853,1w
2023-08-25,trending_bear,down,up,0,6.1669,0.2853,1w
2023-09-06,chop,down,up,0,18.6087,0.2493,1w
2023-09-15,chop,down,up,0,12.5,0.1867,1w
2023-09-26,chop,down,up,0,8.1675,0.24,1w
2023-10-05,chop,down,up,0,4.1503,0.26,1w
2023-10-16,chop,down,up,0,13.5972,0.376,1w
2023-10-25,chop,up,up,1,23.8308,0.6347,1w
2023-11-03,chop,up,up,1,18.3952,0.7533,1w
2023-11-14,chop,up,up,1,6.8707,0.768,1w
2023-11-24,trending_bull,up,up,1,0.5802,0.7947,1w
2023-12-05,trending_bull,up,neutral,0,0.4166,0.8653,1w
2023-12-14,trending_bull,up,down,0,-6.3936,0.788,1w
2023-12-26,chop,up,up,1,11.9426,0.7427,1w
2024-01-05,chop,up,up,1,16.8311,0.728,1w
2024-01-17,chop,up,up,1,27.5518,0.6653,1w
2024-01-26,chop,up,down,0,-4.2386,0.764,1w
2024-02-06,chop,up,down,0,-26.7393,0.768,1w
2024-02-15,trending_bull,up,down,0,-16.6815,0.752,1w
2024-02-27,crisis,neutral,down,0,-8.3534,0.5173,1w
2024-03-07,crisis,down,down,1,-1.4284,0.3213,1w
2024-03-18,high_volatility,down,up,0,1.7858,0.4413,1w
2024-03-27,chop,neutral,up,0,22.2389,0.4547,1w
2024-04-08,crisis,down,up,0,13.3912,0.388,1w
2024-04-17,high_volatility,neutral,up,0,22.5151,0.5133,1w
2024-04-26,chop,neutral,up,0,6.9811,0.5387,1w
2024-05-07,chop,neutral,up,0,13.1086,0.4907,1w
2024-05-16,chop,neutral,up,0,9.7027,0.4653,1w
2024-05-28,chop,up,up,1,8.0489,0.5907,1w
2024-06-06,chop,up,up,1,4.1612,0.7307,1w
2024-06-17,chop,up,up,1,1.1085,0.6987,1w
2024-06-27,chop,up,down,0,-5.8772,0.764,1w
2024-07-09,chop,up,down,0,-11.2781,0.736,1w
2024-07-18,chop,up,down,0,-11.1686,0.7693,1w
2024-07-29,chop,up,down,0,-2.7653,0.576,1w
2024-08-07,trending_bear,neutral,down,0,-0.6848,0.5107,1w
2024-08-16,trending_bear,down,up,0,19.9108,0.388,1w
2024-08-27,trending_bear,down,up,0,15.282,0.376,1w
