date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-6.3646,0.8533,1w
2021-01-13,chop,up,down,0,-7.2325,0.7,1w
2021-01-25,crisis,down,neutral,0,-0.3492,0.376,1w
2021-02-03,high_volatility,down,up,0,0.5264,0.3973,1w
2021-02-12,high_volatility,down,up,0,2.8834,0.392,1w
2021-02-24,high_volatility,down,up,0,9.2773,0.368,1w
2021-03-05,crisis,down,down,1,-5.1296,0.4467,1w
2021-03-16,crisis,down,neutral,0,0.1455,0.3867,1w
2021-03-25,chop,neutral,down,0,-5.8888,0.484,1w
2021-04-06,chop,down,down,1,-3.0329,0.404,1w
2021-04-15,chop,down,down,1,-5.417,0.376,1w
2021-04-26,high_volatility,neutral,down,0,-9.8441,0.4733,1w
2021-05-05,chop,down,down,1,-7.9055,0.436,1w
2021-05-14,high_volatility,neutral,down,0,-11.5956,0.456,1w
2021-05-25,high_volatility,down,down,1,-6.8224,0.3787,1w
2021-06-04,chop,down,down,1,-11.2115,0.2733,1w
2021-06-15,chop,down,down,1,-3.9536,0.2453,1w
2021-06-24,trending_bear,down,up,0,6.0196,0.148,1w
2021-07-06,trending_bear,down,up,0,12.4957,0.156,1w
2021-07-15,trending_bear,down,up,0,19.0229,0.168,1w
2021-07-26,trending_bull,down,up,0,7.9268,0.3027,1w
2021-08-04,trending_bull,down,down,1,-3.421,0.32,1w
2021-08-13,trending_bull,neutral,down,0,-7.2737,0.5133,1w
2021-08-24,trending_bull,up,down,0,-14.7603,0.6173,1w
2021-09-02,trending_bull,down,down,1,-12.2279,0.4267,1w
2021-09-14,chop,up,down,0,-14.6654,0.5933,1w
2021-09-23,trending_bear,down,down,1,-0.5058,0.4013,1w
2021-10-04,trending_bear,down,up,0,3.3784,0.376,1w
2021-10-13,trending_bear,down,up,0,13.5273,0.336,1w
2021-10-22,trending_bear,down,up,0,11.1151,0.2733,1w
2021-11-02,chop,down,up,0,14.9086,0.2747,1w
2021-11-11,chop,down,up,0,1.1959,0.3347,1w
2021-11-22,chop,down,down,1,-1.8835,0.3653,1w
2021-12-02,chop,neutral,down,0,-3.6506,0.544,1w
2021-12-13,chop,neutral,down,0,-0.7636,0.5173,1w
2021-12-22,chop,up,up,1,2.8737,0.6627,1w
2022-01-03,chop,up,up,1,4.3478,0.62,1w
