date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,up,0,13.3878,0.2747,1w
2021-01-13,high_volatility,neutral,up,0,1.9964,0.5053,1w
2021-01-25,crisis,down,up,0,15.5146,0.376,1w
2021-02-03,crisis,neutral,up,0,11.3002,0.524,1w
2021-02-12,crisis,up,down,0,-1.9115,0.5907,1w
2021-02-24,crisis,up,up,1,15.372,0.5573,1w
2021-03-05,crisis,up,up,1,3.7917,0.7107,1w
2021-03-16,crisis,up,up,1,21.0841,0.6053,1w
2021-03-25,high_volatility,up,up,1,7.1402,0.732,1w
2021-04-06,high_volatility,up,up,1,19.1121,0.7533,1w
2021-04-15,high_volatility,up,up,1,1.8602,0.6987,1w
2021-04-26,high_volatility,up,up,1,15.2833,0.8093,1w
2021-05-05,crisis,up,up,1,8.954,0.7573,1w
2021-05-14,crisis,up,up,1,9.3351,0.6667,1w
2021-05-25,high_volatility,up,down,0,-20.5521,0.76,1w
2021-06-04,crisis,up,down,0,-27.2314,0.7293,1w
2021-06-15,high_volatility,up,down,0,-15.4291,0.768,1w
2021-06-24,crisis,neutral,up,0,9.6395,0.456,1w
2021-07-06,high_volatility,neutral,up,0,13.2702,0.4587,1w
2021-07-15,high_volatility,down,up,0,8.8765,0.3973,1w
2021-07-26,chop,neutral,up,0,5.2528,0.5013,1w
2021-08-04,chop,down,up,0,12.8701,0.372,1w
2021-08-13,chop,neutral,up,0,6.0317,0.456,1w
2021-08-24,chop,down,down,1,-10.3294,0.412,1w
2021-09-02,chop,down,down,1,-9.1332,0.3413,1w
2021-09-14,chop,neutral,down,0,-7.5396,0.4587,1w
2021-09-23,chop,up,up,1,12.5569,0.5693,1w
2021-10-04,chop,up,up,1,7.5927,0.58,1w
2021-10-13,chop,up,down,0,-9.6192,0.5933,1w
2021-10-22,chop,neutral,down,0,-10.7216,0.5013,1w
2021-11-02,chop,up,down,0,-8.3784,0.6133,1w
2021-11-11,chop,down,down,1,-10.49,0.4413,1w
2021-11-22,chop,down,down,1,-8.8364,0.336,1w
2021-12-02,chop,down,down,1,-14.8569,0.4067,1w
2021-12-13,chop,down,up,0,1.9679,0.248,1w
2021-12-22,chop,down,up,0,2.8152,0.436,1w
2022-01-03,trending_bear,down,up,0,3.1276,0.2747,1w
2022-01-12,trending_bear,down,neutral,0,-0.3586,0.2973,1w
2022-01-24,chop,down,down,1,-1.7132,0.2933,1w
2022-02-02,chop,down,up,0,5.7708,0.2587,1w
2022-02-11,chop,down,down,1,-8.7518,0.3267,1w
2022-02-23,chop,down,down,1,-5.1839,0.3293,1w
2022-03-04,chop,down,down,1,-0.742,0.388,1w
2022-03-15,chop,down,up,0,9.5704,0.3867,1w
2022-03-24,chop,neutral,up,0,5.8502,0.456,1w
2022-04-04,chop,up,down,0,-4.998,0.5587,1w
2022-04-13,chop,neutral,neutral,0,-0.4673,0.536,1w
2022-04-25,chop,neutral,up,0,3.3212,0.5013,1w
2022-05-04,chop,neutral,down,0,-4.6731,0.492,1w
2022-05-13,chop,neutral,down,0,-1.3248,0.5013,1w
2022-05-24,chop,neutral,down,0,-3.5038,0.4973,1w
2022-06-03,chop,down,up,0,2.6893,0.3813,1w
2022-06-14,chop,neutral,up,0,1.7544,0.5267,1w
2022-06-24,chop,neutral,up,0,11.8665,0.4907,1w
2022-07-06,chop,down,up,0,9.2314,0.428,1w
2022-07-15,chop,neutral,up,0,4.4973,0.4653,1w
2022-07-26,chop,up,up,1,3.8285,0.6173,1w
2022-08-04,chop,up,up,1,1.9968,0.6213,1w
2022-08-15,chop,up,up,1,3.5922,0.6573,1w
2022-08-24,chop,up,down,0,-4.2177,0.668,1w
2022-09-02,chop,up,down,0,-7.9801,0.7467,1w
2022-09-14,chop,up,up,1,4.1905,0.7253,1w
2022-09-23,chop,up,up,1,7.6689,0.6533,1w
2022-10-04,chop,neutral,up,0,7.5067,0.5173,1w
2022-10-13,chop,up,down,0,-7.6001,0.656,1w
2022-10-24,chop,up,down,0,-4.8265,0.5733,1w
2022-11-02,chop,neutral,down,0,-7.3432,0.492,1w
