date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,up,1,2.571,0.8427,1w
2021-01-13,high_volatility,up,neutral,0,0.0973,0.872,1w
2021-01-25,high_volatility,up,down,0,-1.5361,0.744,1w
2021-02-03,crisis,up,down,0,-4.0037,0.736,1w
2021-02-12,crisis,up,neutral,0,0.2398,0.6693,1w
2021-02-24,high_volatility,up,up,1,3.8732,0.6387,1w
2021-03-05,crisis,up,down,0,-3.8977,0.732,1w
2021-03-16,crisis,up,down,0,-2.1873,0.5813,1w
2021-03-25,high_volatility,up,down,0,-5.4075,0.5747,1w
2021-04-06,high_volatility,down,down,1,-3.5224,0.4093,1w
2021-04-15,crisis,down,down,1,-5.9256,0.4467,1w
2021-04-26,high_volatility,down,down,1,-6.0922,0.428,1w
2021-05-05,crisis,down,down,1,-3.3211,0.256,1w
2021-05-14,high_volatility,down,down,1,-6.7604,0.3733,1w
2021-05-25,high_volatility,down,down,1,-4.2302,0.3693,1w
2021-06-04,chop,down,down,1,-2.4974,0.3467,1w
2021-06-15,chop,down,up,0,2.4161,0.2253,1w
2021-06-24,trending_bear,down,up,0,0.5495,0.232,1w
2021-07-06,trending_bear,down,up,0,9.421,0.3467,1w
2021-07-15,chop,down,up,0,12.2036,0.2693,1w
2021-07-26,chop,down,up,0,6.1064,0.3467,1w
2021-08-04,chop,neutral,down,0,-1.9044,0.488,1w
2021-08-13,trending_bull,up,down,0,-5.4766,0.6187,1w
2021-08-24,trending_bull,up,down,0,-1.4317,0.5693,1w
2021-09-02,chop,up,down,0,-1.6894,0.5773,1w
2021-09-14,chop,up,down,0,-13.0727,0.668,1w
2021-09-23,chop,up,down,0,-5.1553,0.584,1w
2021-10-04,chop,up,down,0,-5.3012,0.572,1w
2021-10-13,high_volatility,down,up,0,11.5573,0.356,1w
2021-10-22,trending_bear,down,up,0,3.2595,0.4253,1w
2021-11-02,chop,down,up,0,5.0104,0.3653,1w
2021-11-11,high_volatility,down,up,0,6.3967,0.3787,1w
2021-11-22,chop,down,down,1,-5.4165,0.42,1w
2021-12-02,chop,neutral,down,0,-9.4268,0.5053,1w
2021-12-13,chop,neutral,down,0,-11.8688,0.5133,1w
2021-12-22,chop,down,down,1,-7.2654,0.408,1w
2022-01-03,chop,down,down,1,-5.6586,0.3573,1w
2022-01-12,trending_bear,down,up,0,0.6347,0.4413,1w
2022-01-24,trending_bear,down,up,0,1.3061,0.2547,1w
2022-02-02,trending_bear,down,down,1,-3.2645,0.216,1w
2022-02-11,trending_bear,down,down,1,-14.8215,0.2747,1w
2022-02-23,chop,down,down,1,-14.5855,0.1653,1w
2022-03-04,trending_bear,down,down,1,-5.2206,0.0733,1w
2022-03-15,trending_bear,down,down,1,-1.4902,0.0293,1w
2022-03-24,trending_bear,down,neutral,0,-0.1374,0.064,1w
2022-04-04,trending_bear,down,down,1,-10.7969,0.1347,1w
2022-04-13,trending_bear,down,down,1,-8.4223,0.1413,1w
2022-04-25,chop,down,down,1,-4.7606,0.1693,1w
2022-05-04,chop,down,neutral,0,0.0849,0.12,1w
2022-05-13,trending_bear,down,down,1,-0.6706,0.076,1w
2022-05-24,trending_bear,down,up,0,3.2215,0.132,1w
2022-06-03,trending_bear,down,down,1,-1.3757,0.2267,1w
2022-06-14,chop,down,up,0,2.4029,0.268,1w
2022-06-24,chop,down,up,0,10.2444,0.388,1w
2022-07-06,chop,down,up,0,6.2422,0.2947,1w
2022-07-15,chop,down,up,0,2.2422,0.3733,1w
2022-07-26,trending_bull,neutral,down,0,-11.8988,0.544,1w
2022-08-04,trending_bull,neutral,down,0,-11.2299,0.528,1w
2022-08-15,trending_bull,up,down,0,-3.8092,0.6173,1w
2022-08-24,trending_bear,down,up,0,7.7986,0.448,1w
2022-09-02,trending_bear,down,up,0,5.2969,0.3733,1w
2022-09-14,trending_bear,neutral,up,0,0.9454,0.4907,1w
2022-09-23,trending_bull,up,down,0,-2.4786,0.5747,1w
2022-10-04,chop,neutral,up,0,0.6993,0.4707,1w
2022-10-13,chop,neutral,down,0,-4.3475,0.456,1w
2022-10-24,chop,down,up,0,0.8901,0.32,1w
2022-11-02,chop,down,down,1,-2.5196,0.3733,1w
2022-11-11,chop,down,up,0,9.9124,0.36,1w
2022-11-22,chop,neutral,up,0,13.4544,0.532,1w
2022-12-02,chop,up,up,1,13.3625,0.5707,1w
2022-12-13,trending_bull,up,up,1,3.9334,0.5907,1w
2022-12-22,trending_bull,up,down,0,-8.0457,0.668,1w
2023-01-04,trending_bull,up,down,0,-10.2211,0.7427,1w
2023-01-13,trending_bull,up,neutral,0,0.1481,0.6227,1w
2023-01-25,crisis,up,up,1,4.6986,0.5693,1w
2023-02-03,chop,neutral,up,0,0.7863,0.5373,1w
2023-02-14,high_volatility,up,up,1,1.0444,0.6747,1w
2023-02-24,chop,up,up,1,3.9989,0.656,1w
2023-03-07,chop,up,neutral,0,0.3769,0.576,1w
2023-03-16,chop,up,down,0,-11.0094,0.564,1w
2023-03-27,trending_bull,neutral,down,0,-14.4133,0.4853,1w
2023-04-05,high_volatility,down,down,1,-24.0844,0.312,1w
2023-04-17,high_volatility,down,down,1,-17.1948,0.28,1w
2023-04-26,trending_bear,down,down,1,-17.3266,0.3147,1w
2023-05-05,high_volatility,down,up,0,8.8985,0.2173,1w
2023-05-16,trending_bear,down,up,0,4.694,0.1853,1w
2023-05-25,trending_bear,down,up,0,13.0524,0.18,1w
2023-06-06,trending_bear,down,down,1,-6.6459,0.2867,1w
2023-06-15,trending_bear,down,up,0,0.8348,0.2413,1w
2023-06-27,trending_bull,down,up,0,5.7036,0.2293,1w
2023-07-07,chop,down,up,0,2.3926,0.2253,1w
2023-07-18,chop,down,down,1,-2.8379,0.3733,1w
2023-07-27,chop,down,down,1,-4.6614,0.3853,1w
2023-08-07,chop,up,up,1,2.8334,0.5573,1w
2023-08-16,chop,neutral,neutral,0,0.0343,0.4853,1w
2023-08-25,chop,up,up,1,2.0536,0.616,1w
2023-09-06,chop,down,up,0,11.8442,0.396,1w
2023-09-15,chop,down,up,0,12.3984,0.4013,1w
