date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-3.9864,0.5987,1w
2021-01-13,chop,up,down,0,-1.503,0.6173,1w
2021-01-25,chop,neutral,down,0,-2.4231,0.536,1w
2021-02-03,high_volatility,neutral,up,0,15.1909,0.524,1w
2021-02-12,chop,neutral,up,0,6.1328,0.5187,1w
2021-02-24,chop,neutral,up,0,14.7589,0.5107,1w
2021-03-05,crisis,up,down,0,-1.4111,0.7693,1w
2021-03-16,crisis,up,down,0,-1.2779,0.6133,1w
2021-03-25,high_volatility,up,down,0,-0.6177,0.676,1w
2021-04-06,chop,up,down,0,-5.4274,0.6333,1w
2021-04-15,chop,up,down,0,-8.1724,0.5733,1w
2021-04-26,chop,up,down,0,-5.9414,0.6227,1w
2021-05-05,chop,up,down,0,-1.5979,0.5867,1w
2021-05-14,high_volatility,neutral,down,0,-3.4651,0.484,1w
2021-05-25,chop,neutral,down,0,-10.6799,0.54,1w
2021-06-04,chop,down,down,1,-9.1856,0.3573,1w
2021-06-15,chop,down,down,1,-4.151,0.296,1w
2021-06-24,chop,down,up,0,4.7104,0.2253,1w
2021-07-06,chop,down,up,0,8.3658,0.26,1w
2021-07-15,chop,down,up,0,14.4609,0.2573,1w
2021-07-26,chop,down,up,0,6.0186,0.3507,1w
2021-08-04,chop,down,down,1,-0.9176,0.412,1w
2021-08-13,trending_bull,up,down,0,-1.4789,0.5827,1w
2021-08-24,trending_bull,neutral,down,0,-4.7436,0.4907,1w
2021-09-02,trending_bull,neutral,up,0,0.8416,0.4893,1w
2021-09-14,chop,up,neutral,0,-0.2276,0.6053,1w
2021-09-23,chop,up,up,1,18.8551,0.6173,1w
2021-10-04,chop,up,up,1,11.5039,0.6093,1w
2021-10-13,chop,up,up,1,14.1475,0.6933,1w
2021-10-22,high_volatility,up,up,1,5.7901,0.7253,1w
2021-11-02,trending_bull,up,up,1,8.3259,0.6693,1w
2021-11-11,high_volatility,up,up,1,1.6417,0.6933,1w
2021-11-22,trending_bull,up,down,0,-5.7586,0.68,1w
2021-12-02,trending_bull,up,down,0,-8.489,0.7787,1w
2021-12-13,chop,up,down,0,-1.2884,0.6733,1w
2021-12-22,chop,up,down,0,-1.9608,0.7613,1w
2022-01-03,chop,up,up,1,1.4722,0.628,1w
2022-01-12,chop,up,up,1,3.3217,0.6347,1w
2022-01-24,chop,down,up,0,9.8523,0.3867,1w
2022-02-02,chop,neutral,up,0,4.2622,0.4907,1w
2022-02-11,chop,neutral,down,0,-2.6776,0.5107,1w
2022-02-23,chop,neutral,down,0,-4.2756,0.4653,1w
2022-03-04,trending_bull,down,down,1,-1.1302,0.4093,1w
2022-03-15,chop,down,up,0,3.3006,0.404,1w
2022-03-24,chop,neutral,up,0,0.576,0.5387,1w
2022-04-04,chop,up,down,0,-6.5804,0.5587,1w
2022-04-13,chop,up,down,0,-7.1308,0.5733,1w
2022-04-25,chop,up,down,0,-3.8593,0.584,1w
2022-05-04,chop,down,neutral,0,0.3732,0.376,1w
2022-05-13,trending_bear,down,up,0,6.7214,0.3893,1w
2022-05-24,trending_bear,down,up,0,9.2986,0.2667,1w
2022-06-03,trending_bear,down,up,0,10.8061,0.3293,1w
2022-06-14,trending_bull,neutral,up,0,7.1648,0.512,1w
2022-06-24,trending_bull,neutral,up,0,9.6227,0.488,1w
2022-07-06,trending_bull,up,up,1,9.4612,0.5867,1w
2022-07-15,trending_bull,up,up,1,7.9383,0.5853,1w
2022-07-26,trending_bull,up,up,1,6.3845,0.7533,1w
2022-08-04,trending_bull,up,down,0,-1.9422,0.8587,1w
2022-08-15,trending_bull,up,down,0,-0.6779,0.8587,1w
2022-08-24,trending_bull,up,down,0,-3.3466,0.904,1w
2022-09-02,trending_bull,up,down,0,-4.7133,0.8453,1w
2022-09-14,chop,up,up,1,2.6166,0.756,1w
2022-09-23,chop,up,up,1,1.3532,0.7253,1w
2022-10-04,chop,up,up,1,5.9379,0.56,1w
2022-10-13,chop,up,up,1,3.5676,0.6547,1w
2022-10-24,chop,neutral,up,0,8.1869,0.536,1w
2022-11-02,chop,down,up,0,6.9084,0.4067,1w
2022-11-11,chop,up,up,1,3.741,0.576,1w
2022-11-22,chop,up,up,1,3.1899,0.5587,1w
2022-12-02,chop,up,up,1,0.6112,0.6267,1w
2022-12-13,trending_bull,up,up,1,1.0083,0.704,1w
2022-12-22,chop,up,up,1,1.3559,0.7387,1w
2023-01-04,chop,up,up,1,3.7753,0.7347,1w
2023-01-13,chop,up,up,1,6.451,0.62,1w
2023-01-25,chop,up,up,1,5.4401,0.7533,1w
2023-02-03,chop,up,up,1,6.4918,0.7253,1w
2023-02-14,chop,up,up,1,2.7499,0.7,1w
2023-02-24,chop,up,up,1,6.4314,0.7307,1w
2023-03-07,chop,up,up,1,6.8327,0.7627,1w
2023-03-16,trending_bull,up,up,1,2.2062,0.7573,1w
2023-03-27,trending_bull,up,neutral,0,-0.0315,0.8,1w
2023-04-05,trending_bull,up,up,1,5.7045,0.9133,1w
2023-04-17,crisis,up,up,1,10.9465,0.7987,1w
2023-04-26,high_volatility,up,up,1,10.5114,0.7933,1w
2023-05-05,crisis,up,neutral,0,0.4592,0.9133,1w
2023-05-16,trending_bull,up,down,0,-3.7423,0.8587,1w
