date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,up,1,2.1442,0.6173,1w
2021-01-13,chop,up,down,0,-1.349,0.6333,1w
2021-01-25,chop,neutral,up,0,1.1341,0.5413,1w
2021-02-03,crisis,up,neutral,0,0.0963,0.6107,1w
2021-02-12,high_volatility,up,up,1,3.6967,0.58,1w
2021-02-24,high_volatility,up,up,1,6.0226,0.6347,1w
2021-03-05,crisis,up,up,1,4.3894,0.752,1w
2021-03-16,crisis,up,up,1,7.8623,0.6133,1w
2021-03-25,high_volatility,up,up,1,3.147,0.616,1w
2021-04-06,chop,up,down,0,-4.8272,0.7067,1w
2021-04-15,trending_bull,up,down,0,-4.9203,0.7013,1w
2021-04-26,chop,up,down,0,-1.7621,0.6613,1w
2021-05-05,trending_bear,neutral,up,0,1.9895,0.468,1w
2021-05-14,crisis,up,down,0,-7.9848,0.5853,1w
2021-05-25,high_volatility,up,down,0,-8.419,0.6307,1w
2021-06-04,high_volatility,neutral,down,0,-3.9656,0.4947,1w
2021-06-15,high_volatility,down,up,0,5.5898,0.3307,1w
2021-06-24,high_volatility,down,up,0,0.5887,0.3213,1w
2021-07-06,high_volatility,down,up,0,3.961,0.304,1w
2021-07-15,chop,down,up,0,4.5833,0.2413,1w
2021-07-26,chop,down,up,0,5.9054,0.3067,1w
2021-08-04,chop,neutral,neutral,0,0.1787,0.4907,1w
2021-08-13,chop,down,down,1,-2.0471,0.4467,1w
2021-08-24,chop,down,down,1,-6.1964,0.4413,1w
2021-09-02,chop,neutral,down,0,-13.1248,0.4653,1w
2021-09-14,chop,up,down,0,-23.9932,0.7,1w
2021-09-23,chop,neutral,down,0,-15.7171,0.48,1w
2021-10-04,high_volatility,down,down,1,-2.4895,0.2413,1w
2021-10-13,crisis,down,down,1,-4.1052,0.1453,1w
2021-10-22,high_volatility,down,down,1,-9.8015,0.1907,1w
2021-11-02,trending_bear,down,down,1,-11.5915,0.2173,1w
2021-11-11,crisis,down,down,1,-1.6496,0.132,1w
2021-11-22,trending_bear,down,up,0,0.7696,0.1187,1w
2021-12-02,trending_bear,down,up,0,4.1343,0.1507,1w
2021-12-13,trending_bear,down,up,0,4.885,0.144,1w
2021-12-22,chop,down,up,0,3.2898,0.1787,1w
2022-01-03,chop,down,down,1,-1.9143,0.2987,1w
2022-01-12,chop,down,down,1,-6.8023,0.4213,1w
2022-01-24,chop,down,down,1,-8.0712,0.388,1w
2022-02-02,chop,down,down,1,-5.9561,0.2973,1w
2022-02-11,trending_bear,down,down,1,-2.5134,0.388,1w
2022-02-23,trending_bear,down,down,1,-4.3947,0.3733,1w
2022-03-04,trending_bear,down,up,0,3.0186,0.3173,1w
2022-03-15,trending_bear,down,up,0,3.6686,0.3373,1w
2022-03-24,trending_bear,down,up,0,5.8747,0.2667,1w
2022-04-04,trending_bear,down,down,1,-1.4632,0.2613,1w
2022-04-13,chop,down,down,1,-6.6633,0.3173,1w
2022-04-25,chop,down,down,1,-8.5709,0.3173,1w
2022-05-04,chop,down,down,1,-9.4,0.3653,1w
2022-05-13,chop,down,up,0,0.8094,0.3507,1w
2022-05-24,trending_bear,down,up,0,6.0892,0.2693,1w
2022-06-03,trending_bear,down,up,0,1.4142,0.3147,1w
2022-06-14,trending_bear,down,down,1,-2.9506,0.352,1w
2022-06-24,chop,down,up,0,3.6945,0.4213,1w
2022-07-06,chop,down,down,1,-5.8002,0.2747,1w
2022-07-15,chop,down,down,1,-6.3663,0.2133,1w
2022-07-26,chop,down,down,1,-9.9138,0.4093,1w
2022-08-04,chop,down,down,1,-3.4797,0.2187,1w
2022-08-15,trending_bear,down,up,0,2.2745,0.2747,1w
2022-08-24,trending_bear,down,neutral,0,0.0936,0.376,1w
2022-09-02,trending_bear,down,down,1,-8.6616,0.2693,1w
2022-09-14,chop,down,down,1,-13.596,0.2947,1w
2022-09-23,chop,down,down,1,-12.3969,0.2747,1w
2022-10-04,trending_bear,down,neutral,0,0.244,0.1453,1w
2022-10-13,trending_bear,down,up,0,5.4713,0.1693,1w
2022-10-24,trending_bear,down,up,0,15.0715,0.0893,1w
2022-11-02,trending_bear,down,up,0,7.3125,0.184,1w
2022-11-11,trending_bull,down,up,0,7.9532,0.3653,1w
2022-11-22,trending_bull,down,up,0,1.1045,0.4213,1w
2022-12-02,trending_bull,neutral,up,0,4.0587,0.4933,1w
2022-12-13,trending_bull,neutral,down,0,-4.882,0.5173,1w
2022-12-22,trending_bull,neutral,down,0,-3.9532,0.5093,1w
2023-01-04,chop,up,down,0,-8.8703,0.7373,1w
2023-01-13,chop,up,down,0,-2.8373,0.6587,1w
2023-01-25,chop,up,up,1,2.1949,0.6693,1w
2023-02-03,chop,neutral,up,0,5.9211,0.5373,1w
2023-02-14,chop,down,up,0,6.6393,0.404,1w
2023-02-24,chop,neutral,down,0,-0.9543,0.4693,1w
2023-03-07,crisis,neutral,up,0,1.2086,0.512,1w
2023-03-16,chop,down,down,1,-3.4014,0.4347,1w
2023-03-27,chop,neutral,up,0,5.0495,0.4707,1w
2023-04-05,chop,neutral,up,0,5.3916,0.4693,1w
2023-04-17,chop,neutral,up,0,10.1407,0.5053,1w
2023-04-26,chop,up,up,1,4.6383,0.656,1w
2023-05-05,chop,up,up,1,2.0416,0.6853,1w
2023-05-16,chop,up,down,0,-4.1883,0.7253,1w
2023-05-25,chop,up,down,0,-5.7048,0.6613,1w
2023-06-06,trending_bull,up,down,0,-5.6246,0.6787,1w
2023-06-15,chop,up,up,1,5.2376,0.58,1w
2023-06-27,chop,neutral,up,0,6.2286,0.52,1w
2023-07-07,chop,neutral,up,0,9.4786,0.5067,1w
2023-07-18,chop,up,up,1,7.2135,0.668,1w
2023-07-27,chop,up,up,1,6.8229,0.588,1w
2023-08-07,trending_bull,up,up,1,5.3381,0.5733,1w
2023-08-16,trending_bull,up,up,1,5.758,0.5653,1w
2023-08-25,trending_bull,up,up,1,3.3541,0.6173,1w
2023-09-06,trending_bull,up,up,1,1.9611,0.68,1w
2023-09-15,trending_bull,up,down,0,-1.2682,0.8173,1w
2023-09-26,trending_bull,up,up,1,6.3714,0.7693,1w
2023-10-05,trending_bull,up,up,1,0.9284,0.82,1w
2023-10-16,chop,up,down,0,-6.5566,0.7387,1w
2023-10-25,trending_bull,up,down,0,-2.4169,0.768,1w
2023-11-03,high_volatility,up,down,0,-2.7176,0.588,1w
2023-11-14,high_volatility,neutral,down,0,-2.738,0.5013,1w
2023-11-24,chop,up,down,0,-7.093,0.5667,1w
2023-12-05,chop,down,down,1,-5.7108,0.448,1w
2023-12-14,chop,down,up,0,2.8582,0.3173,1w
2023-12-26,trending_bear,down,up,0,2.979,0.3507,1w
2024-01-05,chop,down,up,0,0.6478,0.3507,1w
2024-01-17,chop,down,up,0,0.597,0.268,1w
2024-01-26,chop,down,up,0,2.5045,0.3387,1w
2024-02-06,chop,down,up,0,4.735,0.3387,1w
2024-02-15,chop,neutral,neutral,0,-0.1847,0.4587,1w
2024-02-27,chop,down,down,1,-2.8788,0.4067,1w
2024-03-07,crisis,neutral,down,0,-9.9383,0.4693,1w
2024-03-18,chop,neutral,down,0,-3.2921,0.528,1w
2024-03-27,chop,neutral,down,0,-3.1389,0.524,1w
2024-04-08,crisis,down,up,0,5.2632,0.36,1w
2024-04-17,high_volatility,down,up,0,7.9524,0.4213,1w
2024-04-26,chop,neutral,up,0,4.2622,0.46,1w
2024-05-07,chop,neutral,up,0,2.2754,0.4947,1w
2024-05-16,chop,neutral,down,0,-5.456,0.4987,1w
2024-05-28,chop,neutral,neutral,0,-0.2647,0.4653,1w
