date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,up,0,7.9099,0.4547,1w
2021-01-13,chop,neutral,up,0,4.8781,0.4853,1w
2021-01-25,chop,neutral,up,0,7.0583,0.4947,1w
2021-02-03,trending_bull,up,up,1,14.6903,0.5533,1w
2021-02-12,trending_bull,up,up,1,8.9926,0.6013,1w
2021-02-24,trending_bull,up,up,1,14.7493,0.704,1w
2021-03-05,crisis,up,down,0,-2.8878,0.9653,1w
2021-03-16,crisis,up,up,1,10.9801,0.7933,1w
2021-03-25,crisis,up,up,1,0.7048,0.8467,1w
2021-04-06,high_volatility,up,up,1,3.1051,0.768,1w
2021-04-15,chop,up,down,0,-0.8605,0.764,1w
2021-04-26,chop,up,up,1,4.5269,0.7427,1w
2021-05-05,chop,up,up,1,4.152,0.728,1w
2021-05-14,chop,up,up,1,6.6357,0.696,1w
2021-05-25,chop,up,down,0,-2.5222,0.6813,1w
2021-06-04,chop,up,down,0,-16.4324,0.5893,1w
2021-06-15,chop,up,down,0,-16.272,0.7653,1w
2021-06-24,chop,neutral,down,0,-8.5199,0.4933,1w
2021-07-06,high_volatility,down,up,0,2.561,0.3507,1w
2021-07-15,high_volatility,down,up,0,4.0686,0.2827,1w
2021-07-26,trending_bear,down,up,0,4.8444,0.3733,1w
2021-08-04,trending_bear,down,up,0,0.8414,0.28,1w
2021-08-13,chop,down,down,1,-0.6209,0.3467,1w
2021-08-24,chop,down,down,1,-7.6208,0.3733,1w
2021-09-02,chop,down,down,1,-3.5122,0.216,1w
2021-09-14,chop,down,down,1,-1.5163,0.248,1w
2021-09-23,chop,down,up,0,3.6235,0.2933,1w
2021-10-04,chop,down,up,0,1.5532,0.4467,1w
2021-10-13,chop,neutral,neutral,0,-0.0779,0.4787,1w
2021-10-22,chop,down,neutral,0,0.481,0.412,1w
2021-11-02,chop,neutral,down,0,-1.438,0.5013,1w
2021-11-11,chop,down,down,1,-7.5335,0.4467,1w
2021-11-22,chop,down,down,1,-3.1296,0.3253,1w
2021-12-02,chop,neutral,down,0,-3.5262,0.4587,1w
2021-12-13,chop,down,neutral,0,0.481,0.3347,1w
2021-12-22,chop,neutral,up,0,3.8621,0.5013,1w
2022-01-03,chop,down,up,0,2.4968,0.3733,1w
2022-01-12,chop,down,down,1,-2.0573,0.368,1w
2022-01-24,chop,neutral,down,0,-4.7715,0.4707,1w
2022-02-02,chop,down,up,0,3.0919,0.332,1w
2022-02-11,chop,down,down,1,-6.8965,0.2933,1w
2022-02-23,chop,down,down,1,-2.9996,0.3027,1w
2022-03-04,chop,down,up,0,1.0906,0.3853,1w
2022-03-15,chop,down,up,0,7.5604,0.2693,1w
2022-03-24,trending_bear,down,up,0,1.1971,0.3213,1w
2022-04-04,chop,neutral,down,0,-6.4489,0.5013,1w
2022-04-13,trending_bull,down,down,1,-5.9089,0.404,1w
2022-04-25,chop,down,down,1,-2.0592,0.296,1w
2022-05-04,chop,down,down,1,-2.1608,0.3147,1w
2022-05-13,chop,down,neutral,0,0.0882,0.2747,1w
2022-05-24,chop,down,up,0,2.0917,0.344,1w
2022-06-03,chop,down,up,0,0.5293,0.2987,1w
2022-06-14,chop,down,up,0,1.1648,0.428,1w
2022-06-24,chop,down,up,0,8.5069,0.3893,1w
2022-07-06,chop,down,up,0,6.3969,0.2893,1w
2022-07-15,chop,down,up,0,1.0943,0.3467,1w
2022-07-26,chop,up,down,0,-1.0643,0.5827,1w
2022-08-04,trending_bull,up,up,1,2.2077,0.5987,1w
2022-08-15,chop,up,up,1,6.9816,0.6107,1w
2022-08-24,chop,up,up,1,3.0315,0.6627,1w
2022-09-02,chop,up,down,0,-4.3496,0.752,1w
2022-09-14,trending_bull,up,down,0,-2.6635,0.768,1w
2022-09-23,trending_bull,up,down,0,-1.672,0.852,1w
2022-10-04,trending_bear,up,up,1,4.1125,0.5893,1w
2022-10-13,trending_bull,up,down,0,-1.5341,0.5907,1w
2022-10-24,chop,neutral,down,0,-2.8135,0.4707,1w
2022-11-02,chop,neutral,down,0,-4.2139,0.488,1w
2022-11-11,chop,neutral,down,0,-6.2423,0.5013,1w
2022-11-22,chop,down,down,1,-2.9043,0.4093,1w
2022-12-02,chop,down,down,1,-1.3996,0.28,1w
2022-12-13,chop,down,down,1,-1.143,0.18,1w
2022-12-22,chop,down,neutral,0,0.2673,0.2613,1w
2023-01-04,chop,down,down,1,-1.0393,0.3653,1w
2023-01-13,chop,down,neutral,0,0.4121,0.2347,1w
2023-01-25,chop,down,down,1,-2.9633,0.2947,1w
2023-02-03,chop,down,up,0,0.9099,0.24,1w
2023-02-14,chop,down,up,0,3.5487,0.2693,1w
2023-02-24,chop,down,up,0,2.7589,0.2947,1w
2023-03-07,chop,down,up,0,6.7896,0.4067,1w
2023-03-16,chop,neutral,up,0,3.2216,0.5453,1w
2023-03-27,chop,neutral,up,0,4.141,0.4707,1w
2023-04-05,trending_bull,up,down,0,-1.5586,0.7107,1w
2023-04-17,trending_bull,up,neutral,0,0.2999,0.7587,1w
2023-04-26,trending_bull,up,down,0,-0.5917,0.6133,1w
2023-05-05,chop,up,down,0,-2.3983,0.684,1w
2023-05-16,chop,up,down,0,-1.7043,0.6973,1w
2023-05-25,chop,up,down,0,-3.0493,0.692,1w
2023-06-06,chop,neutral,up,0,1.6024,0.524,1w
2023-06-15,chop,down,neutral,0,-0.3888,0.4467,1w
2023-06-27,chop,neutral,down,0,-4.6721,0.5147,1w
2023-07-07,chop,down,down,1,-6.9528,0.3867,1w
2023-07-18,chop,down,down,1,-2.3591,0.3813,1w
2023-07-27,chop,down,up,0,1.5809,0.2253,1w
2023-08-07,trending_bear,down,down,1,-1.4625,0.216,1w
2023-08-16,chop,down,down,1,-1.756,0.288,1w
2023-08-25,chop,down,neutral,0,0.1341,0.2413,1w
2023-09-06,chop,down,up,0,9.2619,0.2267,1w
2023-09-15,chop,down,up,0,2.3214,0.2667,1w
2023-09-26,chop,down,up,0,1.9811,0.3213,1w
2023-10-05,chop,down,down,1,-3.5229,0.4253,1w
2023-10-16,crisis,down,down,1,-2.0963,0.3973,1w
2023-10-25,high_volatility,neutral,down,0,-1.096,0.5053,1w
2023-11-03,high_volatility,neutral,down,0,-3.3231,0.5467,1w
2023-11-14,high_volatility,down,up,0,1.9152,0.412,1w
2023-11-24,chop,neutral,neutral,0,-0.3451,0.4693,1w
2023-12-05,chop,up,up,1,2.6671,0.5507,1w
2023-12-14,chop,neutral,up,0,6.9498,0.4947,1w
2023-12-26,chop,down,up,0,4.6235,0.4293,1w
2024-01-05,chop,down,up,0,2.0814,0.3347,1w
2024-01-17,trending_bull,up,up,1,1.3351,0.6173,1w
2024-01-26,trending_bull,neutral,up,0,0.8186,0.4853,1w
2024-02-06,chop,neutral,down,0,-1.2228,0.4933,1w
2024-02-15,chop,up,down,0,-3.2244,0.736,1w
2024-02-27,chop,up,up,1,0.8636,0.6107,1w
2024-03-07,chop,up,down,0,-8.0711,0.5827,1w
2024-03-18,chop,up,down,0,-3.955,0.6187,1w
2024-03-27,chop,up,down,0,-6.8445,0.6467,1w
2024-04-08,crisis,down,neutral,0,0.3351,0.268,1w
2024-04-17,high_volatility,down,neutral,0,-0.1416,0.32,1w
2024-04-26,chop,down,up,0,2.2849,0.3307,1w
2024-05-07,trending_bear,down,up,0,2.6042,0.3267,1w
2024-05-16,chop,down,up,0,7.9795,0.26,1w
2024-05-28,chop,down,up,0,4.454,0.3467,1w
2024-06-06,chop,down,up,0,2.7752,0.416,1w
2024-06-17,chop,neutral,down,0,-3.3534,0.5453,1w
2024-06-27,chop,down,up,0,3.2376,0.3893,1w
2024-07-09,chop,up,down,0,-2.9765,0.6053,1w
2024-07-18,chop,up,down,0,-3.6542,0.6027,1w
2024-07-29,chop,up,down,0,-1.2027,0.7,1w
2024-08-07,chop,neutral,up,0,1.6918,0.544,1w
2024-08-16,chop,neutral,up,0,2.6532,0.4693,1w
2024-08-27,chop,up,up,1,1.846,0.616,1w
2024-09-06,chop,neutral,up,0,1.6525,0.5267,1w
2024-09-17,chop,down,down,1,-0.6289,0.3213,1w
2024-09-26,chop,up,neutral,0,0.2663,0.5573,1w
2024-10-07,chop,neutral,up,0,1.3304,0.4707,1w
2024-10-16,chop,down,up,0,2.6858,0.376,1w
2024-10-25,chop,neutral,neutral,0,0.2202,0.456,1w
2024-11-05,chop,up,up,1,0.6114,0.5907,1w
2024-11-14,chop,up,down,0,-1.2105,0.6053,1w
2024-11-25,chop,neutral,up,0,0.8106,0.52,1w
