date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-9.7967,0.6893,1w
2021-01-13,high_volatility,down,up,0,19.3193,0.428,1w
2021-01-25,high_volatility,down,up,0,16.8075,0.2867,1w
2021-02-03,high_volatility,down,up,0,4.4023,0.3973,1w
2021-02-12,crisis,down,down,1,-29.0561,0.412,1w
2021-02-24,crisis,down,down,1,-2.0075,0.3893,1w
2021-03-05,crisis,down,up,0,7.9541,0.3893,1w
2021-03-16,crisis,down,up,0,12.039,0.2747,1w
2021-03-25,crisis,down,down,1,-22.2127,0.3653,1w
2021-04-06,high_volatility,down,down,1,-26.616,0.4333,1w
2021-04-15,chop,down,down,1,-30.8252,0.4253,1w
2021-04-26,chop,down,down,1,-22.8057,0.3947,1w
2021-05-05,chop,down,down,1,-7.4958,0.3547,1w
2021-05-14,high_volatility,down,down,1,-20.8708,0.1933,1w
2021-05-25,high_volatility,down,up,0,17.2358,0.2347,1w
2021-06-04,high_volatility,down,up,0,2.7883,0.3467,1w
2021-06-15,chop,down,up,0,7.657,0.296,1w
2021-06-24,chop,down,down,1,-15.8076,0.2667,1w
2021-07-06,chop,down,up,0,4.0637,0.2947,1w
2021-07-15,chop,down,up,0,23.6325,0.2693,1w
2021-07-26,chop,down,up,0,20.147,0.324,1w
2021-08-04,chop,down,down,1,-12.0825,0.4467,1w
2021-08-13,chop,neutral,down,0,-16.8417,0.5107,1w
2021-08-24,chop,up,down,0,-15.0617,0.5853,1w
2021-09-02,chop,down,down,1,-6.1894,0.4213,1w
2021-09-14,chop,neutral,down,0,-15.1293,0.5467,1w
2021-09-23,chop,down,down,1,-5.8776,0.3467,1w
2021-10-04,chop,down,down,1,-15.2596,0.3467,1w
2021-10-13,chop,down,down,1,-5.4141,0.376,1w
2021-10-22,chop,down,down,1,-11.0154,0.4333,1w
2021-11-02,chop,down,up,0,4.6858,0.2267,1w
2021-11-11,chop,down,down,1,-6.5088,0.2013,1w
2021-11-22,chop,down,up,0,6.6915,0.248,1w
2021-12-02,chop,down,down,1,-3.5069,0.3347,1w
2021-12-13,chop,down,down,1,-13.1728,0.3227,1w
2021-12-22,chop,down,up,0,1.0144,0.3893,1w
2022-01-03,chop,down,up,0,26.1166,0.2947,1w
2022-01-12,chop,down,up,0,16.7021,0.376,1w
2022-01-24,chop,down,up,0,11.2367,0.4013,1w
2022-02-02,chop,up,down,0,-3.6245,0.58,1w
2022-02-11,chop,neutral,down,0,-20.9874,0.4707,1w
2022-02-23,chop,neutral,down,0,-14.908,0.5427,1w
2022-03-04,chop,neutral,down,0,-7.351,0.4947,1w
2022-03-15,chop,down,down,1,-2.7308,0.3507,1w
2022-03-24,chop,down,down,1,-4.436,0.3893,1w
2022-04-04,chop,neutral,up,0,14.0523,0.48,1w
2022-04-13,chop,down,up,0,26.7182,0.432,1w
2022-04-25,chop,down,up,0,34.8925,0.376,1w
2022-05-04,chop,down,up,0,31.0565,0.4253,1w
2022-05-13,trending_bull,neutral,up,0,9.3221,0.5013,1w
2022-05-24,trending_bull,up,up,1,1.0064,0.628,1w
2022-06-03,trending_bull,up,down,0,-4.6834,0.704,1w
2022-06-14,trending_bull,up,up,1,14.8488,0.728,1w
2022-06-24,trending_bull,up,up,1,15.6234,0.744,1w
2022-07-06,trending_bull,up,up,1,9.7021,0.7693,1w
2022-07-15,trending_bull,up,down,0,-22.2281,0.8333,1w
2022-07-26,trending_bull,up,down,0,-16.0881,0.848,1w
2022-08-04,trending_bull,up,down,0,-7.8081,0.784,1w
2022-08-15,trending_bear,neutral,up,0,7.6269,0.48,1w
2022-08-24,chop,neutral,down,0,-4.0605,0.4693,1w
2022-09-02,chop,down,down,1,-9.3488,0.4387,1w
2022-09-14,chop,neutral,down,0,-6.8641,0.4667,1w
2022-09-23,chop,down,up,0,1.4901,0.4067,1w
2022-10-04,chop,down,down,1,-11.5032,0.3867,1w
2022-10-13,chop,down,up,0,15.1679,0.268,1w
2022-10-24,chop,down,up,0,37.4311,0.292,1w
2022-11-02,chop,down,up,0,44.0517,0.2293,1w
2022-11-11,trending_bull,up,up,1,7.5307,0.5813,1w
2022-11-22,trending_bull,up,up,1,8.5231,0.612,1w
2022-12-02,trending_bull,up,down,0,-4.2771,0.6107,1w
2022-12-13,trending_bull,up,up,1,2.6026,0.628,1w
2022-12-22,trending_bull,up,down,0,-1.1088,0.7253,1w
2023-01-04,trending_bull,up,up,1,13.0615,0.6467,1w
2023-01-13,trending_bull,up,up,1,8.0298,0.7067,1w
2023-01-25,trending_bull,up,up,1,4.3566,0.76,1w
2023-02-03,chop,up,down,0,-3.5532,0.7867,1w
2023-02-14,high_volatility,up,down,0,-8.662,0.756,1w
2023-02-24,chop,up,down,0,-5.7274,0.6493,1w
2023-03-07,chop,neutral,up,0,1.2287,0.5427,1w
2023-03-16,chop,neutral,up,0,5.0302,0.4653,1w
2023-03-27,chop,neutral,up,0,1.4088,0.4653,1w
2023-04-05,chop,up,up,1,0.9621,0.5693,1w
2023-04-17,chop,neutral,down,0,-4.1117,0.4733,1w
2023-04-26,chop,neutral,down,0,-5.9719,0.4827,1w
2023-05-05,chop,down,down,1,-1.7082,0.4293,1w
2023-05-16,chop,down,down,1,-2.2967,0.3467,1w
2023-05-25,chop,down,up,0,0.8844,0.396,1w
2023-06-06,chop,down,up,0,20.7809,0.3467,1w
2023-06-15,chop,down,up,0,3.4053,0.4333,1w
2023-06-27,chop,neutral,down,0,-7.8941,0.4667,1w
2023-07-07,chop,neutral,down,0,-16.7101,0.528,1w
2023-07-18,chop,down,down,1,-2.0956,0.448,1w
2023-07-27,chop,down,down,1,-1.0007,0.3653,1w
2023-08-07,trending_bear,down,up,0,1.8974,0.388,1w
2023-08-16,chop,down,down,1,-3.1136,0.4213,1w
2023-08-25,chop,down,neutral,0,-0.0086,0.4093,1w
2023-09-06,chop,neutral,up,0,14.4496,0.4707,1w
2023-09-15,chop,down,up,0,13.3566,0.4013,1w
2023-09-26,chop,down,up,0,8.4756,0.336,1w
2023-10-05,chop,down,up,0,2.5985,0.4213,1w
2023-10-16,trending_bull,up,up,1,1.9444,0.5613,1w
2023-10-25,trending_bull,neutral,up,0,22.2986,0.544,1w
2023-11-03,chop,up,up,1,32.6509,0.6987,1w
2023-11-14,chop,up,up,1,16.4346,0.6347,1w
2023-11-24,crisis,up,down,0,-5.2544,0.784,1w
2023-12-05,crisis,up,down,0,-10.5969,0.9147,1w
2023-12-14,crisis,up,down,0,-12.2128,0.784,1w
2023-12-26,high_volatility,up,up,1,2.9344,0.7413,1w
2024-01-05,chop,up,up,1,2.4399,0.668,1w
2024-01-17,chop,up,down,0,-5.6142,0.5693,1w
2024-01-26,chop,up,down,0,-22.0903,0.668,1w
2024-02-06,chop,up,down,0,-28.7417,0.6227,1w
2024-02-15,crisis,neutral,down,0,-18.9523,0.4653,1w
2024-02-27,high_volatility,down,down,1,-13.2561,0.1533,1w
2024-03-07,high_volatility,down,down,1,-14.6724,0.076,1w
2024-03-18,trending_bear,down,down,1,-11.6216,0.112,1w
2024-03-27,trending_bear,down,up,0,3.1247,0.1373,1w
2024-04-08,high_volatility,down,up,0,12.0895,0.0907,1w
2024-04-17,trending_bear,down,up,0,30.9717,0.156,1w
2024-04-26,trending_bear,down,up,0,14.5262,0.1867,1w
2024-05-07,chop,down,up,0,12.3192,0.248,1w
2024-05-16,chop,down,up,0,11.8239,0.3787,1w
2024-05-28,chop,neutral,up,0,13.9549,0.4733,1w
2024-06-06,trending_bull,up,up,1,14.661,0.6413,1w
2024-06-17,trending_bull,up,up,1,13.9373,0.6987,1w
2024-06-27,trending_bull,up,up,1,12.5066,0.7613,1w
2024-07-09,high_volatility,up,down,0,-4.7026,0.788,1w
2024-07-18,trending_bull,up,down,0,-10.9738,0.9133,1w
2024-07-29,trending_bull,up,up,1,0.7001,0.8373,1w
2024-08-07,crisis,up,up,1,9.0274,0.668,1w
2024-08-16,chop,up,up,1,6.5001,0.5827,1w
2024-08-27,chop,up,up,1,6.2774,0.6493,1w
2024-09-06,chop,up,up,1,17.9616,0.6173,1w
2024-09-17,chop,neutral,up,0,10.121,0.5453,1w
2024-09-26,chop,up,up,1,10.4424,0.5693,1w
2024-10-07,high_volatility,up,up,1,16.304,0.668,1w
2024-10-16,crisis,neutral,up,0,15.3332,0.5293,1w
2024-10-25,chop,up,up,1,1.5385,0.5933,1w
2024-11-05,crisis,up,down,0,-19.3265,0.76,1w
2024-11-14,crisis,up,down,0,-22.5264,0.728,1w
2024-11-25,high_volatility,up,down,0,-13.7929,0.588,1w
