date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-11.1941,0.7573,1w
2021-01-13,high_volatility,up,down,0,-11.5923,0.6613,1w
2021-01-25,crisis,down,down,1,-11.3769,0.3693,1w
2021-02-03,high_volatility,down,neutral,0,-0.1935,0.356,1w
2021-02-12,trending_bear,down,up,0,4.0173,0.2973,1w
2021-02-24,trending_bear,down,up,0,17.633,0.2013,1w
2021-03-05,trending_bear,down,up,0,7.2613,0.3853,1w
2021-03-16,chop,down,up,0,14.0836,0.344,1w
2021-03-25,high_volatility,neutral,up,0,12.9091,0.4733,1w
2021-04-06,trending_bull,down,up,0,4.7244,0.4067,1w
2021-04-15,trending_bull,up,down,0,-5.5137,0.5653,1w
2021-04-26,trending_bull,up,down,0,-21.7594,0.6693,1w
2021-05-05,trending_bull,up,down,0,-7.106,0.6693,1w
2021-05-14,high_volatility,up,down,0,-0.6026,0.676,1w
2021-05-25,crisis,neutral,up,0,24.3225,0.5053,1w
2021-06-04,crisis,neutral,up,0,10.4259,0.5387,1w
2021-06-15,chop,neutral,up,0,8.2114,0.5467,1w
2021-06-24,chop,up,neutral,0,0.1518,0.5773,1w
2021-07-06,chop,up,neutral,0,-0.47,0.58,1w
2021-07-15,trending_bull,neutral,up,0,3.7519,0.4907,1w
2021-07-26,chop,neutral,up,0,2.5726,0.4693,1w
2021-08-04,chop,neutral,down,0,-3.3866,0.516,1w
2021-08-13,chop,up,down,0,-4.9854,0.5693,1w
2021-08-24,chop,up,down,0,-2.9299,0.764,1w
2021-09-02,chop,up,up,1,1.8328,0.6067,1w
2021-09-14,chop,up,down,0,-1.1797,0.5587,1w
2021-09-23,chop,down,down,1,-0.7035,0.3787,1w
2021-10-04,chop,down,up,0,3.6841,0.392,1w
2021-10-13,chop,down,up,0,4.8646,0.3893,1w
2021-10-22,chop,down,up,0,5.1963,0.428,1w
2021-11-02,chop,neutral,down,0,-5.3428,0.488,1w
2021-11-11,chop,neutral,down,0,-1.738,0.4693,1w
2021-11-22,chop,neutral,down,0,-5.0183,0.5427,1w
2021-12-02,chop,down,up,0,1.3561,0.4213,1w
2021-12-13,chop,neutral,down,0,-4.2648,0.492,1w
2021-12-22,chop,neutral,down,0,-4.4352,0.4907,1w
2022-01-03,chop,neutral,down,0,-5.0062,0.4773,1w
2022-01-12,chop,down,neutral,0,-0.0043,0.4013,1w
2022-01-24,trending_bear,down,down,1,-8.938,0.392,1w
2022-02-02,chop,down,down,1,-3.845,0.3467,1w
2022-02-11,chop,down,down,1,-5.5407,0.352,1w
2022-02-23,trending_bear,down,down,1,-3.9393,0.1947,1w
2022-03-04,trending_bear,down,down,1,-2.3257,0.2267,1w
2022-03-15,trending_bear,down,up,0,0.8175,0.2253,1w
2022-03-24,trending_bear,down,up,0,6.8157,0.1413,1w
2022-04-04,trending_bear,down,up,0,2.4353,0.1947,1w
2022-04-13,chop,down,up,0,2.1169,0.256,1w
2022-04-25,chop,down,down,1,-4.7478,0.2573,1w
2022-05-04,chop,down,down,1,-27.44,0.3213,1w
2022-05-13,chop,down,down,1,-24.5743,0.2973,1w
2022-05-24,chop,down,down,1,-17.6416,0.3787,1w
2022-06-03,trending_bear,down,up,0,7.4152,0.1947,1w
2022-06-14,trending_bear,down,down,1,-1.2138,0.232,1w
2022-06-24,trending_bear,down,down,1,-2.3279,0.2853,1w
2022-07-06,trending_bear,down,down,1,-0.5748,0.2693,1w
2022-07-15,trending_bear,down,down,1,-1.1794,0.2253,1w
2022-07-26,chop,down,down,1,-8.9134,0.2253,1w
2022-08-04,chop,down,down,1,-23.8021,0.2347,1w
2022-08-15,chop,down,down,1,-28.0364,0.2267,1w
2022-08-24,chop,down,down,1,-30.4039,0.2253,1w
2022-09-02,trending_bear,down,down,1,-15.3646,0.224,1w
2022-09-14,trending_bear,down,down,1,-3.3714,0.1387,1w
2022-09-23,trending_bear,down,up,0,10.7655,0.0707,1w
2022-10-04,trending_bear,down,up,0,11.0029,0.0707,1w
2022-10-13,trending_bear,down,up,0,3.3636,0.1373,1w
2022-10-24,trending_bear,down,up,0,4.6037,0.1493,1w
2022-11-02,trending_bear,down,up,0,13.0745,0.156,1w
2022-11-11,trending_bull,down,up,0,7.426,0.1693,1w
