date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-17.3521,0.8093,1w
2021-01-13,crisis,up,down,0,-8.7297,0.656,1w
2021-01-25,crisis,down,down,1,-5.6038,0.3787,1w
2021-02-03,high_volatility,down,neutral,0,-0.0883,0.376,1w
2021-02-12,high_volatility,down,up,0,4.3363,0.3147,1w
2021-02-24,trending_bear,down,up,0,10.2797,0.2613,1w
2021-03-05,trending_bear,down,down,1,-0.959,0.268,1w
2021-03-16,chop,down,down,1,-2.6144,0.216,1w
2021-03-25,trending_bull,down,down,1,-2.9042,0.216,1w
2021-04-06,chop,down,neutral,0,-0.0747,0.1733,1w
2021-04-15,chop,down,down,1,-0.7005,0.3173,1w
2021-04-26,chop,down,up,0,2.1373,0.4467,1w
2021-05-05,chop,down,neutral,0,-0.2805,0.4253,1w
2021-05-14,chop,neutral,down,0,-6.3054,0.5213,1w
2021-05-25,chop,up,down,0,-1.9059,0.612,1w
2021-06-04,chop,neutral,down,0,-1.4477,0.484,1w
2021-06-15,chop,down,up,0,5.3565,0.2907,1w
2021-06-24,chop,down,down,1,-6.1465,0.4093,1w
2021-07-06,chop,neutral,up,0,1.4639,0.4653,1w
2021-07-15,chop,down,up,0,3.4521,0.4147,1w
2021-07-26,chop,down,down,1,-2.3649,0.392,1w
2021-08-04,chop,neutral,down,0,-8.6352,0.452,1w
2021-08-13,chop,neutral,down,0,-10.7583,0.524,1w
2021-08-24,chop,down,down,1,-4.5829,0.3253,1w
2021-09-02,trending_bear,down,up,0,0.7899,0.312,1w
2021-09-14,chop,down,up,0,0.8652,0.4467,1w
2021-09-23,chop,down,up,0,12.374,0.22,1w
2021-10-04,chop,down,up,0,11.4598,0.296,1w
2021-10-13,chop,down,up,0,21.295,0.288,1w
2021-10-22,chop,neutral,up,0,5.426,0.5187,1w
2021-11-02,trending_bull,neutral,up,0,8.6347,0.5293,1w
2021-11-11,trending_bull,up,down,0,-1.3441,0.5907,1w
2021-11-22,chop,up,up,1,5.8623,0.6773,1w
2021-12-02,chop,up,up,1,3.5292,0.768,1w
2021-12-13,chop,up,down,0,-1.0885,0.768,1w
2021-12-22,chop,up,down,0,-7.1228,0.836,1w
2022-01-03,chop,up,down,0,-5.4717,0.784,1w
2022-01-12,chop,up,down,0,-0.6858,0.7427,1w
2022-01-24,chop,neutral,down,0,-1.7045,0.5453,1w
2022-02-02,chop,neutral,down,0,-1.7366,0.5453,1w
2022-02-11,chop,down,down,1,-8.1195,0.376,1w
2022-02-23,chop,down,neutral,0,0.05,0.3867,1w
2022-03-04,trending_bear,down,up,0,2.5269,0.2947,1w
2022-03-15,trending_bear,down,up,0,6.7528,0.2013,1w
2022-03-24,trending_bear,down,up,0,5.5938,0.2293,1w
2022-04-04,trending_bull,down,down,1,-5.0421,0.2667,1w
2022-04-13,trending_bull,down,down,1,-7.4708,0.3787,1w
2022-04-25,chop,neutral,down,0,-10.079,0.4907,1w
2022-05-04,trending_bear,down,down,1,-1.6775,0.34,1w
2022-05-13,trending_bear,down,up,0,4.3581,0.2627,1w
2022-05-24,trending_bear,down,up,0,6.5566,0.312,1w
2022-06-03,chop,down,up,0,4.7465,0.3893,1w
2022-06-14,chop,neutral,up,0,2.4987,0.5013,1w
2022-06-24,chop,neutral,down,0,-3.9426,0.5013,1w
2022-07-06,trending_bull,down,down,1,-1.909,0.376,1w
2022-07-15,trending_bull,down,down,1,-4.8661,0.388,1w
2022-07-26,trending_bear,down,down,1,-0.8485,0.296,1w
2022-08-04,trending_bear,down,down,1,-6.8589,0.4453,1w
2022-08-15,chop,neutral,down,0,-3.7851,0.52,1w
2022-08-24,chop,neutral,down,0,-6.1107,0.4707,1w
2022-09-02,chop,down,down,1,-3.5866,0.352,1w
2022-09-14,trending_bear,down,down,1,-2.3818,0.2813,1w
2022-09-23,trending_bear,down,neutral,0,-0.2248,0.1653,1w
2022-10-04,trending_bear,down,up,0,6.781,0.18,1w
2022-10-13,chop,down,up,0,7.7681,0.176,1w
2022-10-24,chop,down,up,0,8.1932,0.2187,1w
2022-11-02,chop,down,up,0,2.6735,0.3707,1w
2022-11-11,trending_bull,neutral,up,0,5.4866,0.4653,1w
2022-11-22,trending_bull,neutral,up,0,0.8853,0.5253,1w
2022-12-02,trending_bull,up,up,1,4.2034,0.6627,1w
2022-12-13,trending_bull,up,down,0,-1.9699,0.7267,1w
2022-12-22,trending_bull,up,down,0,-4.3313,0.6747,1w
2023-01-04,trending_bull,up,down,0,-12.3588,0.7427,1w
2023-01-13,trending_bear,up,down,0,-4.487,0.656,1w
2023-01-25,chop,neutral,down,0,-3.2505,0.5467,1w
2023-02-03,trending_bear,down,up,0,0.5227,0.2587,1w
2023-02-14,trending_bear,down,up,0,2.0282,0.3467,1w
2023-02-24,chop,down,up,0,1.9299,0.296,1w
2023-03-07,chop,down,up,0,3.1316,0.3187,1w
2023-03-16,chop,down,neutral,0,0.0085,0.296,1w
2023-03-27,chop,down,up,0,3.9194,0.312,1w
2023-04-05,chop,down,up,0,4.3064,0.2747,1w
2023-04-17,chop,down,up,0,10.8679,0.3453,1w
2023-04-26,crisis,up,up,1,5.2287,0.5533,1w
2023-05-05,high_volatility,up,up,1,4.1989,0.6173,1w
2023-05-16,trending_bull,up,down,0,-3.2156,0.7067,1w
2023-05-25,trending_bull,up,neutral,0,-0.2232,0.7067,1w
2023-06-06,trending_bull,up,down,0,-2.0851,0.708,1w
2023-06-15,trending_bull,up,up,1,8.9455,0.6227,1w
2023-06-27,chop,up,up,1,6.5761,0.588,1w
