date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-3.1385,0.676,1w
2021-01-13,chop,up,down,0,-2.7932,0.6307,1w
2021-01-25,crisis,down,down,1,-2.1208,0.3067,1w
2021-02-03,crisis,down,down,1,-4.884,0.388,1w
2021-02-12,high_volatility,down,down,1,-4.8147,0.3893,1w
2021-02-24,high_volatility,down,up,0,3.8185,0.292,1w
2021-03-05,crisis,down,up,0,3.6615,0.3787,1w
2021-03-16,crisis,down,up,0,2.0216,0.2413,1w
2021-03-25,high_volatility,down,down,1,-2.4972,0.3507,1w
2021-04-06,chop,down,down,1,-5.1166,0.324,1w
2021-04-15,chop,down,down,1,-8.0993,0.2973,1w
2021-04-26,chop,down,down,1,-6.1545,0.412,1w
2021-05-05,high_volatility,down,down,1,-2.063,0.2933,1w
2021-05-14,crisis,down,down,1,-4.941,0.2733,1w
2021-05-25,crisis,down,down,1,-3.7386,0.38,1w
2021-06-04,crisis,down,down,1,-5.7458,0.436,1w
2021-06-15,high_volatility,down,up,0,0.923,0.2747,1w
2021-06-24,high_volatility,down,up,0,1.6106,0.2253,1w
2021-07-06,high_volatility,down,up,0,5.7624,0.236,1w
2021-07-15,chop,down,up,0,8.0503,0.2347,1w
2021-07-26,chop,down,up,0,3.8436,0.3467,1w
2021-08-04,chop,down,down,1,-2.9595,0.3813,1w
2021-08-13,chop,up,down,0,-7.9672,0.58,1w
2021-08-24,trending_bull,neutral,down,0,-8.6525,0.54,1w
2021-09-02,chop,down,down,1,-5.7962,0.3733,1w
2021-09-14,chop,neutral,down,0,-6.1281,0.52,1w
2021-09-23,chop,down,up,0,5.1398,0.3413,1w
2021-10-04,trending_bear,down,up,0,7.7409,0.344,1w
2021-10-13,trending_bear,down,up,0,12.2779,0.3027,1w
2021-10-22,high_volatility,down,up,0,7.2002,0.412,1w
2021-11-02,trending_bull,neutral,up,0,7.3902,0.4587,1w
