date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-7.8272,0.2627,1w
2021-01-13,chop,down,down,1,-3.5741,0.296,1w
2021-01-25,chop,down,up,0,7.7332,0.1733,1w
2021-02-03,trending_bear,down,up,0,2.0684,0.2307,1w
2021-02-12,trending_bull,down,down,1,-13.675,0.3627,1w
2021-02-24,chop,down,down,1,-5.642,0.396,1w
2021-03-05,chop,down,down,1,-2.6436,0.4413,1w
2021-03-16,trending_bear,down,down,1,-2.5038,0.2413,1w
2021-03-25,trending_bear,down,down,1,-14.8892,0.3213,1w
2021-04-06,chop,down,down,1,-18.0618,0.2747,1w
2021-04-15,chop,down,down,1,-21.1862,0.224,1w
2021-04-26,trending_bear,down,down,1,-11.7716,0.2613,1w
2021-05-05,trending_bear,down,down,1,-4.5787,0.18,1w
2021-05-14,trending_bear,down,down,1,-10.8264,0.0787,1w
2021-05-25,trending_bear,down,down,1,-7.1759,0.132,1w
2021-06-04,trending_bear,down,down,1,-10.5733,0.1907,1w
2021-06-15,trending_bear,down,down,1,-2.526,0.1227,1w
2021-06-24,trending_bear,down,up,0,5.0215,0.0787,1w
2021-07-06,trending_bear,down,up,0,13.4679,0.1093,1w
2021-07-15,trending_bear,down,up,0,27.6996,0.0987,1w
2021-07-26,chop,down,up,0,15.1133,0.2693,1w
2021-08-04,chop,down,up,0,4.0788,0.3813,1w
2021-08-13,trending_bull,up,down,0,-10.0596,0.6173,1w
2021-08-24,trending_bull,up,down,0,-12.2412,0.624,1w
2021-09-02,trending_bull,neutral,down,0,-12.6529,0.5147,1w
2021-09-14,chop,up,down,0,-16.9689,0.6987,1w
2021-09-23,chop,neutral,up,0,2.5528,0.528,1w
2021-10-04,trending_bear,neutral,up,0,4.4953,0.4827,1w
2021-10-13,trending_bear,down,down,1,-6.3949,0.4387,1w
2021-10-22,chop,neutral,down,0,-4.07,0.4987,1w
2021-11-02,chop,down,down,1,-3.1723,0.432,1w
2021-11-11,chop,down,neutral,0,-0.3684,0.1747,1w
2021-11-22,chop,down,down,1,-9.656,0.296,1w
2021-12-02,chop,down,down,1,-10.52,0.3547,1w
2021-12-13,chop,down,up,0,5.396,0.2987,1w
2021-12-22,chop,down,up,0,22.303,0.3467,1w
2022-01-03,chop,down,up,0,23.0811,0.3467,1w
2022-01-12,chop,neutral,up,0,8.3099,0.5013,1w
2022-01-24,trending_bull,neutral,down,0,-5.9101,0.5133,1w
2022-02-02,trending_bull,up,down,0,-9.0778,0.5813,1w
2022-02-11,trending_bull,up,down,0,-13.5241,0.6307,1w
2022-02-23,trending_bull,neutral,down,0,-6.2014,0.5467,1w
2022-03-04,chop,neutral,up,0,0.5148,0.4853,1w
2022-03-15,chop,down,up,0,5.9497,0.428,1w
2022-03-24,chop,up,up,1,2.4995,0.5907,1w
2022-04-04,chop,up,down,0,-2.4622,0.5933,1w
2022-04-13,chop,neutral,down,0,-7.4177,0.4693,1w
2022-04-25,chop,down,down,1,-7.8046,0.2747,1w
2022-05-04,chop,down,down,1,-9.4708,0.2347,1w
2022-05-13,chop,down,up,0,1.6157,0.26,1w
2022-05-24,chop,down,up,0,0.6354,0.296,1w
2022-06-03,trending_bear,down,down,1,-3.7109,0.3467,1w
