date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-15.6205,0.8307,1w
2021-01-13,high_volatility,up,down,0,-11.7898,0.6627,1w
2021-01-25,trending_bear,down,down,1,-11.6367,0.436,1w
2021-02-03,high_volatility,down,down,1,-8.0346,0.336,1w
2021-02-12,trending_bear,down,down,1,-1.8321,0.3,1w
2021-02-24,high_volatility,down,up,0,4.2803,0.1773,1w
2021-03-05,high_volatility,down,up,0,5.7338,0.1733,1w
2021-03-16,trending_bear,down,up,0,7.673,0.124,1w
2021-03-25,trending_bear,down,up,0,8.7977,0.1453,1w
2021-04-06,chop,down,down,1,-2.9273,0.1973,1w
2021-04-15,chop,down,down,1,-13.6188,0.3213,1w
2021-04-26,trending_bull,down,down,1,-11.9029,0.424,1w
2021-05-05,crisis,down,down,1,-4.3481,0.396,1w
2021-05-14,high_volatility,down,down,1,-3.0566,0.3733,1w
2021-05-25,high_volatility,neutral,up,0,0.9759,0.4933,1w
2021-06-04,chop,neutral,down,0,-3.4834,0.4693,1w
2021-06-15,chop,down,down,1,-2.8418,0.376,1w
2021-06-24,chop,neutral,down,0,-8.415,0.4693,1w
2021-07-06,crisis,down,up,0,0.7632,0.312,1w
2021-07-15,chop,down,up,0,8.6295,0.2347,1w
2021-07-26,chop,down,down,1,-1.8116,0.2573,1w
2021-08-04,chop,down,down,1,-5.7479,0.3387,1w
2021-08-13,chop,neutral,down,0,-9.7145,0.484,1w
2021-08-24,chop,down,down,1,-13.6329,0.3507,1w
2021-09-02,chop,down,down,1,-14.2034,0.3347,1w
2021-09-14,chop,down,down,1,-23.1392,0.4093,1w
2021-09-23,trending_bear,down,down,1,-6.2705,0.156,1w
2021-10-04,trending_bear,down,down,1,-5.2246,0.168,1w
2021-10-13,trending_bear,down,up,0,17.9045,0.144,1w
2021-10-22,trending_bear,down,up,0,13.4955,0.1707,1w
2021-11-02,trending_bear,down,up,0,18.5397,0.1533,1w
2021-11-11,trending_bull,down,down,1,-2.9127,0.2667,1w
2021-11-22,trending_bull,down,down,1,-7.2462,0.3467,1w
2021-12-02,trending_bull,down,down,1,-6.2049,0.4133,1w
2021-12-13,chop,down,down,1,-2.3573,0.3893,1w
2021-12-22,chop,down,up,0,7.15,0.448,1w
2022-01-03,chop,neutral,up,0,15.697,0.4907,1w
2022-01-12,chop,up,up,1,6.5755,0.656,1w
2022-01-24,chop,up,up,1,1.4647,0.588,1w
2022-02-02,trending_bull,up,down,0,-8.5843,0.7467,1w
2022-02-11,trending_bull,neutral,down,0,-5.6223,0.5013,1w
2022-02-23,chop,neutral,down,0,-9.1113,0.4693,1w
2022-03-04,chop,down,down,1,-8.8286,0.4013,1w
2022-03-15,chop,down,down,1,-12.9111,0.412,1w
2022-03-24,trending_bear,down,up,0,3.8723,0.4013,1w
2022-04-04,trending_bear,down,up,0,6.2853,0.3467,1w
2022-04-13,trending_bear,down,up,0,2.2661,0.268,1w
2022-04-25,chop,down,down,1,-11.4467,0.3733,1w
2022-05-04,chop,down,up,0,8.7119,0.26,1w
2022-05-13,chop,down,up,0,14.0281,0.312,1w
