date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-4.909,0.8227,1w
2021-01-13,trending_bull,up,up,1,0.7524,0.8,1w
2021-01-25,chop,up,up,1,5.7813,0.684,1w
2021-02-03,chop,up,up,1,9.5341,0.668,1w
2021-02-12,chop,up,up,1,9.9323,0.6733,1w
2021-02-24,chop,neutral,up,0,13.9134,0.544,1w
2021-03-05,crisis,up,up,1,11.1243,0.5907,1w
2021-03-16,crisis,up,up,1,10.6713,0.576,1w
2021-03-25,high_volatility,up,up,1,6.7836,0.656,1w
2021-04-06,chop,up,up,1,5.1859,0.64,1w
2021-04-15,chop,up,down,0,-6.9445,0.7427,1w
2021-04-26,trending_bull,up,down,0,-23.4678,0.7933,1w
2021-05-05,chop,up,down,0,-4.0468,0.768,1w
2021-05-14,high_volatility,up,down,0,-2.7541,0.6947,1w
2021-05-25,crisis,down,up,0,19.4393,0.4133,1w
2021-06-04,high_volatility,up,up,1,3.1023,0.5587,1w
2021-06-15,chop,neutral,up,0,8.1656,0.4947,1w
2021-06-24,chop,neutral,up,0,7.1306,0.4667,1w
2021-07-06,chop,neutral,neutral,0,-0.4222,0.5147,1w
2021-07-15,chop,neutral,down,0,-0.7145,0.4653,1w
2021-07-26,chop,neutral,up,0,5.2528,0.468,1w
2021-08-04,chop,neutral,down,0,-15.2812,0.4707,1w
2021-08-13,chop,neutral,down,0,-16.5311,0.508,1w
2021-08-24,chop,up,down,0,-16.0561,0.6987,1w
2021-09-02,trending_bear,down,up,0,3.7121,0.2827,1w
2021-09-14,trending_bear,down,up,0,0.5072,0.3307,1w
2021-09-23,trending_bear,down,up,0,1.642,0.3227,1w
2021-10-04,chop,down,up,0,11.2346,0.2813,1w
2021-10-13,chop,down,up,0,16.0831,0.2413,1w
2021-10-22,chop,down,up,0,10.8993,0.3507,1w
2021-11-02,chop,down,down,1,-2.2715,0.4267,1w
2021-11-11,chop,down,down,1,-12.9159,0.4467,1w
2021-11-22,chop,neutral,down,0,-8.0003,0.4653,1w
2021-12-02,chop,up,down,0,-7.2355,0.5853,1w
2021-12-13,trending_bear,neutral,up,0,1.425,0.528,1w
2021-12-22,trending_bear,neutral,up,0,4.6198,0.456,1w
2022-01-03,trending_bear,down,up,0,11.7421,0.4453,1w
2022-01-12,chop,neutral,up,0,0.8081,0.5267,1w
2022-01-24,chop,down,down,1,-5.4827,0.436,1w
2022-02-02,chop,neutral,down,0,-3.9023,0.5013,1w
2022-02-11,chop,down,down,1,-4.512,0.296,1w
2022-02-23,chop,down,down,1,-4.5903,0.3187,1w
2022-03-04,chop,down,up,0,4.8373,0.3733,1w
2022-03-15,chop,down,up,0,6.3952,0.4013,1w
2022-03-24,chop,down,up,0,9.8248,0.4213,1w
2022-04-04,chop,up,up,1,2.004,0.5653,1w
2022-04-13,chop,neutral,up,0,8.5015,0.468,1w
2022-04-25,chop,neutral,up,0,1.3835,0.4947,1w
2022-05-04,chop,neutral,down,0,-16.2282,0.4813,1w
2022-05-13,chop,up,down,0,-13.2414,0.6173,1w
2022-05-24,trending_bull,up,up,1,4.9393,0.6133,1w
2022-06-03,trending_bear,down,up,0,9.8865,0.3613,1w
2022-06-14,trending_bear,neutral,up,0,7.7073,0.456,1w
2022-06-24,trending_bear,neutral,up,0,3.4429,0.508,1w
2022-07-06,chop,down,up,0,4.6468,0.424,1w
2022-07-15,chop,neutral,down,0,-2.942,0.4907,1w
2022-07-26,chop,neutral,down,0,-18.0959,0.456,1w
2022-08-04,trending_bull,down,down,1,-22.3832,0.416,1w
2022-08-15,chop,down,down,1,-21.4281,0.3467,1w
2022-08-24,chop,down,down,1,-15.3353,0.3467,1w
2022-09-02,trending_bear,down,down,1,-10.7353,0.2987,1w
2022-09-14,trending_bear,down,down,1,-3.9252,0.22,1w
2022-09-23,trending_bear,down,up,0,1.5797,0.1093,1w
2022-10-04,trending_bear,down,up,0,7.1422,0.1307,1w
2022-10-13,trending_bear,down,up,0,1.9619,0.128,1w
2022-10-24,trending_bear,down,up,0,6.7128,0.132,1w
2022-11-02,chop,down,up,0,10.202,0.1693,1w
2022-11-11,chop,down,up,0,11.7985,0.1867,1w
2022-11-22,chop,down,up,0,16.3996,0.352,1w
2022-12-02,chop,up,up,1,6.5905,0.6027,1w
2022-12-13,trending_bull,up,up,1,4.7135,0.696,1w
2022-12-22,trending_bull,up,down,0,-5.5567,0.8333,1w
2023-01-04,trending_bull,up,up,1,0.6384,0.8147,1w
2023-01-13,trending_bull,up,up,1,3.3087,0.7787,1w
2023-01-25,trending_bull,up,up,1,9.8245,0.7787,1w
2023-02-03,chop,up,up,1,8.2607,0.7293,1w
2023-02-14,trending_bull,up,down,0,-10.3623,0.756,1w
2023-02-24,trending_bull,up,down,0,-14.3519,0.82,1w
2023-03-07,trending_bull,up,down,0,-12.8716,0.744,1w
2023-03-16,high_volatility,down,down,1,-2.5069,0.4453,1w
2023-03-27,trending_bear,down,down,1,-8.1585,0.356,1w
2023-04-05,trending_bear,down,down,1,-6.2705,0.412,1w
2023-04-17,trending_bear,down,down,1,-4.0,0.3707,1w
2023-04-26,trending_bear,down,down,1,-5.2325,0.3707,1w
2023-05-05,trending_bear,down,down,1,-5.9916,0.3,1w
2023-05-16,trending_bear,down,down,1,-12.5886,0.256,1w
2023-05-25,trending_bear,down,down,1,-8.4852,0.1933,1w
2023-06-06,chop,down,down,1,-5.028,0.1867,1w
2023-06-15,trending_bear,down,down,1,-3.0465,0.1733,1w
2023-06-27,trending_bear,down,down,1,-1.2166,0.1093,1w
2023-07-07,trending_bear,down,down,1,-7.1614,0.1613,1w
2023-07-18,trending_bear,down,down,1,-8.8872,0.2013,1w
2023-07-27,chop,down,down,1,-6.9308,0.216,1w
2023-08-07,chop,down,down,1,-27.9491,0.152,1w
2023-08-16,trending_bear,down,down,1,-27.2019,0.168,1w
2023-08-25,chop,down,down,1,-26.0482,0.2253,1w
2023-09-06,crisis,down,up,0,6.6165,0.1653,1w
2023-09-15,trending_bear,down,down,1,-7.8503,0.2093,1w
2023-09-26,trending_bear,down,down,1,-8.1367,0.2173,1w
2023-10-05,trending_bear,down,down,1,-3.8151,0.2253,1w
2023-10-16,trending_bear,down,down,1,-4.2193,0.1867,1w
2023-10-25,trending_bear,down,neutral,0,-0.0752,0.1933,1w
2023-11-03,trending_bear,down,up,0,10.5736,0.2333,1w
2023-11-14,trending_bear,down,up,0,6.7306,0.2133,1w
2023-11-24,chop,down,up,0,5.1591,0.2347,1w
2023-12-05,trending_bull,up,up,1,5.5816,0.5933,1w
2023-12-14,trending_bull,down,up,0,1.4994,0.4013,1w
2023-12-26,chop,neutral,down,0,-1.6275,0.4733,1w
2024-01-05,trending_bull,up,down,0,-0.6533,0.588,1w
2024-01-17,chop,neutral,up,0,3.3995,0.524,1w
2024-01-26,chop,up,down,0,-1.4016,0.6093,1w
2024-02-06,chop,up,down,0,-7.1841,0.5933,1w
2024-02-15,chop,up,down,0,-14.9696,0.6227,1w
2024-02-27,chop,neutral,neutral,0,-0.151,0.536,1w
2024-03-07,chop,down,up,0,6.1044,0.3733,1w
2024-03-18,chop,down,up,0,22.5267,0.3733,1w
2024-03-27,high_volatility,down,up,0,7.7528,0.4213,1w
2024-04-08,crisis,down,up,0,17.6519,0.4093,1w
2024-04-17,high_volatility,neutral,up,0,8.7382,0.548,1w
2024-04-26,chop,neutral,up,0,10.7741,0.5453,1w
2024-05-07,chop,up,up,1,9.8046,0.596,1w
2024-05-16,chop,up,up,1,7.6252,0.5827,1w
2024-05-28,trending_bull,up,up,1,9.7275,0.636,1w
2024-06-06,trending_bull,up,up,1,16.3767,0.7253,1w
2024-06-17,trending_bull,up,up,1,13.7777,0.7573,1w
2024-06-27,trending_bull,up,up,1,12.4631,0.7,1w
2024-07-09,trending_bull,up,up,1,6.1814,0.848,1w
2024-07-18,trending_bull,up,down,0,-1.9953,0.8213,1w
2024-07-29,trending_bull,up,down,0,-0.9247,0.82,1w
2024-08-07,trending_bull,up,down,0,-15.7407,0.7947,1w
2024-08-16,trending_bull,up,down,0,-13.3127,0.7307,1w
2024-08-27,trending_bull,up,down,0,-13.7034,0.7427,1w
2024-09-06,trending_bear,neutral,down,0,-11.1482,0.5173,1w
2024-09-17,trending_bear,neutral,up,0,1.2387,0.456,1w
2024-09-26,trending_bear,down,up,0,8.827,0.3467,1w
2024-10-07,trending_bear,down,up,0,14.5473,0.172,1w
2024-10-16,trending_bear,down,up,0,4.696,0.2333,1w
2024-10-25,trending_bull,down,up,0,8.3095,0.3347,1w
2024-11-05,trending_bull,down,up,0,13.798,0.32,1w
2024-11-14,trending_bull,down,up,0,26.3661,0.3573,1w
2024-11-25,chop,neutral,up,0,11.8401,0.4707,1w
