date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-18.543,0.4467,1w
2021-01-13,chop,down,down,1,-9.7902,0.376,1w
2021-01-25,chop,down,up,0,2.4793,0.2187,1w
2021-02-03,chop,down,up,0,26.6667,0.26,1w
2021-02-12,chop,down,up,0,14.8438,0.2253,1w
2021-02-24,chop,down,up,0,35.2,0.312,1w
2021-03-05,chop,neutral,up,0,13.8889,0.4827,1w
2021-03-16,high_volatility,neutral,up,0,17.5676,0.5107,1w
2021-03-25,high_volatility,up,down,0,-16.8605,0.588,1w
2021-04-06,high_volatility,neutral,down,0,-20.2454,0.5293,1w
2021-04-15,chop,up,down,0,-43.0168,0.5907,1w
2021-04-26,chop,up,down,0,-15.942,0.58,1w
2021-05-05,chop,neutral,down,0,-6.6176,0.5267,1w
2021-05-14,trending_bear,down,neutral,0,0.0,0.3507,1w
2021-05-25,chop,down,down,1,-11.5044,0.428,1w
2021-06-04,chop,down,down,1,-23.3871,0.4053,1w
2021-06-15,chop,down,up,0,2.9412,0.2987,1w
2021-06-24,chop,down,up,0,2.7523,0.1947,1w
2021-07-06,chop,down,up,0,26.5958,0.212,1w
2021-07-15,chop,down,up,0,16.3462,0.2173,1w
2021-07-26,chop,down,down,1,-2.6549,0.3707,1w
2021-08-04,chop,down,up,0,13.0435,0.404,1w
2021-08-13,chop,neutral,up,0,18.8034,0.5453,1w
2021-08-24,chop,neutral,down,0,-9.375,0.4653,1w
2021-09-02,chop,neutral,down,0,-9.7744,0.5013,1w
2021-09-14,trending_bull,up,down,0,-17.9856,0.656,1w
2021-09-23,chop,neutral,up,0,13.8889,0.516,1w
2021-10-04,chop,up,down,0,-3.937,0.6173,1w
2021-10-13,chop,neutral,up,0,5.0848,0.5387,1w
2021-10-22,chop,neutral,down,0,-3.3614,0.5293,1w
2021-11-02,chop,neutral,up,0,5.3097,0.5147,1w
2021-11-11,chop,neutral,down,0,-7.874,0.512,1w
2021-11-22,chop,down,down,1,-1.6393,0.4013,1w
2021-12-02,chop,down,down,1,-5.9322,0.392,1w
2021-12-13,chop,down,up,0,18.4211,0.3573,1w
2021-12-22,chop,up,up,1,22.2222,0.5533,1w
2022-01-03,chop,down,up,0,26.5487,0.376,1w
2022-01-12,chop,up,down,0,-1.4815,0.58,1w
2022-01-24,trending_bull,up,down,0,-13.986,0.612,1w
2022-02-02,trending_bull,up,down,0,-10.219,0.6613,1w
2022-02-11,trending_bull,neutral,down,0,-25.5474,0.5133,1w
2022-02-23,chop,neutral,down,0,-19.1667,0.4827,1w
2022-03-04,chop,neutral,down,0,-11.9658,0.5053,1w
2022-03-15,trending_bear,down,up,0,2.9703,0.3787,1w
2022-03-24,trending_bear,down,up,0,4.0404,0.304,1w
2022-04-04,trending_bear,down,up,0,1.9802,0.3893,1w
2022-04-13,trending_bear,down,up,0,9.7087,0.2413,1w
2022-04-25,chop,down,up,0,7.9208,0.1787,1w
2022-05-04,chop,down,up,0,12.2642,0.216,1w
2022-05-13,chop,down,up,0,11.0092,0.2933,1w
2022-05-24,chop,down,up,0,12.1495,0.376,1w
2022-06-03,chop,neutral,down,0,-0.8475,0.4907,1w
2022-06-14,trending_bull,up,up,1,0.8065,0.6573,1w
2022-06-24,trending_bull,up,up,1,4.1667,0.6667,1w
2022-07-06,trending_bull,up,up,1,4.918,0.6187,1w
2022-07-15,chop,up,up,1,6.4,0.672,1w
2022-07-26,chop,up,up,1,14.0496,0.688,1w
2022-08-04,chop,up,up,1,13.1783,0.6707,1w
2022-08-15,chop,up,up,1,18.797,0.684,1w
2022-08-24,trending_bull,up,up,1,21.1268,0.736,1w
2022-09-02,trending_bull,up,up,1,9.1549,0.724,1w
2022-09-14,trending_bull,up,down,0,-11.5151,0.7427,1w
2022-09-23,trending_bull,up,down,0,-3.6585,0.828,1w
2022-10-04,crisis,up,up,1,5.7692,0.724,1w
2022-10-13,crisis,up,up,1,13.6986,0.6173,1w
2022-10-24,high_volatility,up,up,1,17.0886,0.7253,1w
2022-11-02,chop,up,up,1,16.25,0.7107,1w
2022-11-11,chop,up,up,1,5.9172,0.6893,1w
2022-11-22,trending_bull,up,down,0,-6.4865,0.728,1w
2022-12-02,trending_bull,up,down,0,-7.1429,0.7253,1w
2022-12-13,trending_bull,up,up,1,8.6957,0.5573,1w
2022-12-22,high_volatility,neutral,up,0,7.3446,0.524,1w
2023-01-04,chop,up,up,1,25.3012,0.5573,1w
2023-01-13,crisis,up,down,0,-2.9851,0.7573,1w
2023-01-25,crisis,up,down,0,-6.7708,0.656,1w
2023-02-03,crisis,up,down,0,-10.7843,0.7173,1w
2023-02-14,crisis,up,down,0,-2.5907,0.608,1w
2023-02-24,high_volatility,down,up,0,4.2781,0.436,1w
2023-03-07,crisis,neutral,up,0,9.1837,0.4707,1w
2023-03-16,crisis,neutral,up,0,7.4074,0.4933,1w
2023-03-27,high_volatility,up,up,1,1.0256,0.5613,1w
2023-04-05,high_volatility,up,up,1,5.7971,0.692,1w
2023-04-17,crisis,neutral,up,0,1.9802,0.484,1w
2023-04-26,high_volatility,neutral,up,0,14.2857,0.4987,1w
2023-05-05,crisis,neutral,up,0,1.4019,0.5427,1w
2023-05-16,high_volatility,neutral,down,0,-1.9048,0.536,1w
2023-05-25,trending_bull,up,down,0,-15.8333,0.668,1w
2023-06-06,high_volatility,up,down,0,-7.7273,0.58,1w
2023-06-15,high_volatility,up,down,0,-2.9126,0.5587,1w
2023-06-27,chop,neutral,down,0,-8.0952,0.5053,1w
2023-07-07,chop,down,down,1,-23.7864,0.448,1w
2023-07-18,high_volatility,neutral,down,0,-17.4359,0.4653,1w
2023-07-27,chop,down,down,1,-7.5676,0.4213,1w
2023-08-07,crisis,down,down,1,-0.6667,0.2333,1w
2023-08-16,trending_bear,down,down,1,-0.641,0.2733,1w
2023-08-25,high_volatility,down,up,0,9.9415,0.2347,1w
2023-09-06,trending_bear,down,up,0,36.1111,0.22,1w
2023-09-15,chop,down,up,0,25.3247,0.2773,1w
2023-09-26,chop,down,up,0,18.2796,0.396,1w
2023-10-05,trending_bull,down,up,0,8.9474,0.436,1w
2023-10-16,chop,neutral,down,0,-4.5872,0.4667,1w
2023-10-25,crisis,up,up,1,9.1324,0.588,1w
2023-11-03,high_volatility,up,up,1,9.2233,0.7133,1w
2023-11-14,crisis,up,neutral,0,0.4831,0.692,1w
2023-11-24,crisis,up,down,0,-18.9655,0.728,1w
2023-12-05,crisis,up,down,0,-10.3448,0.8,1w
2023-12-14,high_volatility,up,down,0,-9.2683,0.724,1w
2023-12-26,trending_bear,neutral,down,0,-6.3158,0.4853,1w
2024-01-05,trending_bear,neutral,down,0,-9.1371,0.5467,1w
2024-01-17,chop,down,down,1,-13.2979,0.3467,1w
2024-01-26,chop,down,down,1,-21.6216,0.324,1w
2024-02-06,chop,down,down,1,-28.1768,0.376,1w
2024-02-15,chop,down,down,1,-6.875,0.3067,1w
2024-02-27,trending_bear,down,down,1,-10.7383,0.1733,1w
2024-03-07,trending_bear,down,down,1,-15.4412,0.1453,1w
2024-03-18,trending_bear,down,down,1,-9.8039,0.268,1w
2024-03-27,trending_bear,down,up,0,9.2308,0.2373,1w
2024-04-08,trending_bear,down,up,0,16.9231,0.1413,1w
2024-04-17,trending_bear,down,up,0,11.0236,0.2733,1w
2024-04-26,trending_bull,down,up,0,13.4752,0.2853,1w
2024-05-07,chop,down,up,0,11.6883,0.3467,1w
2024-05-16,chop,down,up,0,26.8965,0.376,1w
2024-05-28,chop,neutral,up,0,14.4654,0.528,1w
2024-06-06,trending_bull,up,up,1,9.4937,0.6387,1w
2024-06-17,trending_bull,up,up,1,21.2644,0.5907,1w
2024-06-27,trending_bull,up,up,1,18.8571,0.6933,1w
2024-07-09,trending_bull,up,up,1,19.1011,0.6693,1w
2024-07-18,trending_bull,up,down,0,-10.6482,0.7933,1w
2024-07-29,trending_bull,up,up,1,6.2802,0.74,1w
2024-08-07,high_volatility,up,up,1,12.7359,0.6987,1w
2024-08-16,high_volatility,up,up,1,33.8542,0.6693,1w
2024-08-27,chop,up,up,1,20.2586,0.7067,1w
2024-09-06,trending_bull,up,up,1,16.7347,0.7693,1w
2024-09-17,high_volatility,up,up,1,9.3633,0.7707,1w
2024-09-26,crisis,up,up,1,11.6364,0.8227,1w
2024-10-07,crisis,up,down,0,-9.5406,0.8427,1w
2024-10-16,crisis,up,down,0,-18.43,0.7293,1w
2024-10-25,crisis,up,down,0,-19.2429,0.768,1w
2024-11-05,crisis,up,up,1,7.0588,0.6173,1w
2024-11-14,trending_bear,up,up,1,4.2017,0.6533,1w
2024-11-25,chop,up,up,1,5.4688,0.5587,1w
