date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-06-24,chop,down,neutral,0,0.1205,0.3227,1w
2021-07-06,chop,down,up,0,9.292,0.2827,1w
2021-07-15,chop,down,down,1,-11.9202,0.3467,1w
2021-07-26,chop,down,down,1,-18.3976,0.4093,1w
2021-08-04,chop,neutral,down,0,-18.9035,0.4987,1w
2021-08-13,chop,up,down,0,-10.5249,0.584,1w
2021-08-24,chop,neutral,down,0,-11.3703,0.5013,1w
2021-09-02,chop,down,down,1,-6.7931,0.376,1w
2021-09-14,chop,neutral,down,0,-18.9197,0.4693,1w
2021-09-23,chop,down,down,1,-18.021,0.2493,1w
2021-10-04,chop,down,down,1,-18.0313,0.2973,1w
2021-10-13,chop,down,up,0,2.3319,0.1667,1w
2021-10-22,trending_bear,down,up,0,25.2915,0.156,1w
2021-11-02,trending_bear,down,up,0,38.0159,0.18,1w
2021-11-11,chop,down,neutral,0,0.4007,0.2093,1w
2021-11-22,trending_bull,down,up,0,13.2507,0.424,1w
2021-12-02,trending_bull,neutral,down,0,-7.3865,0.5133,1w
2021-12-13,trending_bull,neutral,down,0,-10.5937,0.508,1w
2021-12-22,trending_bull,up,down,0,-5.9227,0.5693,1w
2022-01-03,chop,neutral,up,0,18.4588,0.4947,1w
2022-01-12,chop,up,up,1,1.0703,0.616,1w
2022-01-24,chop,up,up,1,1.8198,0.6347,1w
2022-02-02,chop,up,down,0,-10.5746,0.728,1w
2022-02-11,chop,down,down,1,-7.748,0.4253,1w
2022-02-23,chop,neutral,down,0,-0.9747,0.528,1w
2022-03-04,chop,down,down,1,-5.6069,0.436,1w
2022-03-15,chop,down,up,0,8.3492,0.332,1w
2022-03-24,chop,down,up,0,5.9183,0.412,1w
2022-04-04,chop,down,up,0,11.3165,0.424,1w
2022-04-13,chop,neutral,down,0,-1.1008,0.5053,1w
2022-04-25,chop,neutral,down,0,-12.8652,0.516,1w
2022-05-04,chop,down,neutral,0,-0.4106,0.3867,1w
2022-05-13,chop,neutral,down,0,-4.4877,0.5013,1w
2022-05-24,chop,down,up,0,2.2756,0.408,1w
2022-06-03,chop,neutral,down,0,-7.2813,0.488,1w
2022-06-14,chop,neutral,up,0,10.0773,0.5013,1w
2022-06-24,chop,down,up,0,5.9369,0.428,1w
2022-07-06,chop,neutral,up,0,4.0716,0.4987,1w
2022-07-15,chop,neutral,down,0,-36.7848,0.5053,1w
2022-07-26,chop,down,down,1,-31.9217,0.412,1w
2022-08-04,chop,neutral,down,0,-29.7823,0.4547,1w
2022-08-15,trending_bear,down,down,1,-4.0214,0.2173,1w
2022-08-24,trending_bear,down,down,1,-13.9932,0.2733,1w
2022-09-02,trending_bear,down,down,1,-11.7207,0.2347,1w
2022-09-14,trending_bear,down,up,0,1.7908,0.2013,1w
2022-09-23,trending_bear,down,up,0,14.9043,0.1693,1w
2022-10-04,trending_bear,down,down,1,-1.7314,0.1907,1w
2022-10-13,trending_bear,down,up,0,7.3741,0.1533,1w
2022-10-24,chop,down,up,0,12.6838,0.2,1w
2022-11-02,chop,down,up,0,11.9526,0.156,1w
2022-11-11,chop,neutral,down,0,-2.9134,0.544,1w
2022-11-22,chop,neutral,up,0,13.6808,0.5173,1w
2022-12-02,chop,neutral,up,0,17.6965,0.492,1w
2022-12-13,chop,up,up,1,10.6038,0.6173,1w
2022-12-22,trending_bull,up,up,1,5.3824,0.7653,1w
2023-01-04,trending_bull,up,down,0,-3.0249,0.724,1w
2023-01-13,trending_bull,up,neutral,0,-0.2037,0.7253,1w
2023-01-25,trending_bull,up,down,0,-3.6157,0.7467,1w
2023-02-03,trending_bull,up,up,1,2.4044,0.6693,1w
2023-02-14,trending_bull,up,down,0,-8.1081,0.6333,1w
2023-02-24,chop,up,down,0,-5.8269,0.616,1w
2023-03-07,chop,up,down,0,-10.0383,0.6653,1w
2023-03-16,chop,neutral,down,0,-10.1148,0.536,1w
2023-03-27,chop,down,down,1,-12.5973,0.4067,1w
2023-04-05,chop,down,down,1,-4.5772,0.3547,1w
2023-04-17,chop,down,down,1,-5.3196,0.268,1w
2023-04-26,chop,down,up,0,16.8346,0.204,1w
2023-05-05,chop,down,up,0,16.906,0.2973,1w
2023-05-16,chop,down,up,0,25.7793,0.1173,1w
2023-05-25,trending_bull,down,down,1,-3.5889,0.428,1w
2023-06-06,trending_bull,neutral,down,0,-6.9178,0.4653,1w
2023-06-15,trending_bull,neutral,up,0,3.2407,0.5467,1w
2023-06-27,trending_bull,neutral,up,0,1.1858,0.4987,1w
2023-07-07,chop,neutral,down,0,-4.0921,0.5267,1w
2023-07-18,chop,up,up,1,26.7488,0.6107,1w
2023-07-27,chop,up,up,1,29.745,0.6333,1w
2023-08-07,chop,neutral,up,0,40.0,0.5467,1w
2023-08-16,crisis,up,up,1,10.3217,0.6933,1w
2023-08-25,trending_bull,up,up,1,13.963,0.6227,1w
2023-09-06,trending_bull,up,up,1,20.6109,0.6,1w
2023-09-15,trending_bull,up,up,1,9.2131,0.6893,1w
2023-09-26,trending_bull,up,down,0,-2.4924,0.7253,1w
2023-10-05,trending_bull,up,down,0,-3.2392,0.752,1w
2023-10-16,trending_bull,up,up,1,19.0272,0.752,1w
2023-10-25,trending_bull,up,up,1,16.8485,0.7173,1w
