date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-01,chop,neutral,down,0,-14.8919,0.5467,1w
2021-01-08,trending_bear,up,up,1,1.2474,0.6387,1w
2021-01-15,trending_bear,neutral,up,0,10.8961,0.548,1w
2021-01-22,trending_bear,neutral,up,0,8.6906,0.4693,1w
2021-01-29,trending_bear,up,up,1,23.2092,0.5587,1w
2021-02-05,chop,down,up,0,12.6177,0.3693,1w
2021-02-12,chop,down,up,0,6.9388,0.2973,1w
2021-02-19,chop,neutral,down,0,-23.0916,0.4907,1w
2021-02-26,chop,down,down,1,-17.2639,0.412,1w
2021-03-05,chop,neutral,down,0,-19.1539,0.5253,1w
2021-03-12,chop,down,down,1,-27.2944,0.4253,1w
2021-03-19,chop,neutral,down,0,-13.6559,0.4987,1w
2021-03-26,trending_bear,down,down,1,-7.7518,0.4333,1w
2021-04-02,trending_bear,down,up,0,4.191,0.2747,1w
2021-04-09,trending_bear,down,down,1,-5.205,0.3147,1w
2021-04-16,trending_bear,down,down,1,-7.812,0.3267,1w
2021-04-23,chop,down,down,1,-8.9691,0.1653,1w
2021-04-30,chop,down,down,1,-8.8864,0.1707,1w
2021-05-07,trending_bear,down,down,1,-25.0658,0.2187,1w
2021-05-14,chop,down,up,0,6.4842,0.2173,1w
2021-05-21,chop,down,down,1,-2.1912,0.2493,1w
2021-05-28,trending_bear,down,down,1,-16.0607,0.2333,1w
2021-06-04,chop,down,down,1,-10.5194,0.4147,1w
2021-06-11,chop,down,down,1,-15.7695,0.3307,1w
2021-06-18,chop,down,down,1,-8.6803,0.2013,1w
2021-06-25,chop,down,up,0,11.3866,0.2773,1w
2021-07-02,chop,down,up,0,19.2246,0.2747,1w
2021-07-09,chop,down,up,0,22.4599,0.1653,1w
2021-07-16,chop,down,up,0,9.8517,0.4293,1w
2021-07-23,trending_bull,down,down,1,-3.5028,0.448,1w
2021-07-30,trending_bull,neutral,down,0,-3.638,0.4707,1w
2021-08-06,trending_bull,neutral,down,0,-12.0499,0.4707,1w
2021-08-13,trending_bull,neutral,down,0,-39.3885,0.4653,1w
2021-08-20,trending_bull,neutral,down,0,-35.7736,0.52,1w
2021-08-27,trending_bear,neutral,down,0,-38.8183,0.5013,1w
2021-09-03,trending_bear,down,down,1,-6.2934,0.332,1w
2021-09-10,trending_bear,down,down,1,-5.5265,0.3453,1w
2021-09-17,trending_bear,down,down,1,-32.3428,0.26,1w
2021-09-24,trending_bear,down,down,1,-20.3998,0.256,1w
2021-10-01,trending_bear,down,down,1,-12.4155,0.2147,1w
2021-10-08,trending_bear,down,up,0,23.9074,0.1373,1w
2021-10-15,trending_bear,down,down,1,-7.0467,0.1973,1w
2021-10-22,chop,down,up,0,5.7197,0.1987,1w
