date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-01,trending_bull,up,down,0,-2.1726,0.752,1w
2021-01-08,trending_bull,up,up,1,2.8865,0.8867,1w
2021-01-15,chop,up,up,1,32.1401,0.8,1w
2021-01-22,chop,up,up,1,34.0261,0.708,1w
2021-01-29,chop,up,up,1,25.4362,0.6787,1w
2021-02-05,chop,up,up,1,24.8502,0.7,1w
2021-02-12,chop,up,up,1,9.6624,0.6413,1w
2021-02-19,trending_bull,up,down,0,-11.4074,0.6613,1w
2021-02-26,trending_bull,up,down,0,-25.8962,0.6693,1w
2021-03-05,trending_bull,up,down,0,-22.0635,0.6933,1w
2021-03-12,trending_bear,up,down,0,-34.6795,0.5587,1w
2021-03-19,trending_bear,up,down,0,-24.2623,0.5933,1w
2021-03-26,trending_bear,neutral,down,0,-13.4617,0.5453,1w
2021-04-02,trending_bear,down,up,0,4.2106,0.3733,1w
2021-04-09,trending_bear,down,up,0,8.5058,0.2253,1w
2021-04-16,trending_bear,down,down,1,-8.2113,0.2747,1w
2021-04-23,trending_bear,down,down,1,-13.9777,0.2453,1w
2021-04-30,chop,down,down,1,-27.2432,0.168,1w
2021-05-07,chop,down,down,1,-32.1163,0.2093,1w
2021-05-14,chop,down,up,0,5.0328,0.1947,1w
2021-05-21,trending_bear,down,down,1,-1.2523,0.184,1w
2021-05-28,trending_bear,down,down,1,-20.8265,0.2093,1w
2021-06-04,trending_bear,down,down,1,-4.9736,0.3467,1w
2021-06-11,chop,down,down,1,-4.856,0.3027,1w
2021-06-18,chop,down,up,0,8.7038,0.1867,1w
2021-06-25,chop,down,up,0,26.7852,0.256,1w
2021-07-02,chop,down,up,0,20.1196,0.256,1w
2021-07-09,chop,down,up,0,7.5532,0.2413,1w
2021-07-16,chop,neutral,down,0,-12.734,0.5307,1w
2021-07-23,chop,up,down,0,-17.4002,0.5827,1w
2021-07-30,chop,neutral,down,0,-12.3931,0.4733,1w
2021-08-06,chop,down,down,1,-20.5433,0.428,1w
2021-08-13,chop,neutral,down,0,-52.2091,0.4907,1w
2021-08-20,chop,neutral,down,0,-37.8721,0.4653,1w
2021-08-27,trending_bear,down,down,1,-35.8558,0.3867,1w
2021-09-03,trending_bear,down,down,1,-5.6762,0.1773,1w
2021-09-10,trending_bear,down,down,1,-4.6739,0.2253,1w
2021-09-17,trending_bear,down,down,1,-22.2508,0.1787,1w
2021-09-24,trending_bear,down,down,1,-16.9548,0.18,1w
2021-10-01,trending_bear,down,down,1,-18.6409,0.1947,1w
2021-10-08,trending_bear,down,neutral,0,0.2199,0.1653,1w
2021-10-15,trending_bear,down,down,1,-18.125,0.1867,1w
2021-10-22,chop,down,up,0,11.8771,0.1907,1w
2021-10-29,chop,down,up,0,11.1719,0.2253,1w
2021-11-05,chop,down,up,0,18.8647,0.2573,1w
2021-11-12,chop,down,up,0,25.9888,0.3427,1w
