date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-1.1282,0.3027,1w
2021-01-13,chop,down,up,0,11.3228,0.3733,1w
2021-01-25,chop,down,up,0,10.0735,0.3587,1w
2021-02-03,chop,down,up,0,38.3474,0.3747,1w
2021-02-12,chop,neutral,up,0,18.3073,0.464,1w
2021-02-24,chop,neutral,up,0,40.0,0.5,1w
2021-03-05,trending_bull,up,up,1,5.6886,0.7347,1w
2021-03-16,trending_bull,up,up,1,7.9823,0.7827,1w
2021-03-25,trending_bull,up,up,1,5.0385,0.7933,1w
2021-04-06,crisis,up,up,1,8.0612,0.7253,1w
2021-04-15,high_volatility,up,down,0,-29.1917,0.756,1w
2021-04-26,high_volatility,up,down,0,-22.4585,0.764,1w
2021-05-05,high_volatility,up,down,0,-19.3527,0.7827,1w
2021-05-14,crisis,neutral,up,0,8.0855,0.4653,1w
2021-05-25,trending_bear,up,down,0,-5.675,0.5733,1w
2021-06-04,chop,down,down,1,-27.2142,0.4213,1w
2021-06-15,chop,down,down,1,-12.8893,0.3733,1w
2021-06-24,chop,down,down,1,-12.1995,0.2947,1w
2021-07-06,trending_bear,down,up,0,36.8557,0.1533,1w
2021-07-15,trending_bear,down,up,0,11.5653,0.2387,1w
2021-07-26,chop,down,up,0,6.3852,0.2253,1w
2021-08-04,chop,down,down,1,-5.2481,0.2453,1w
2021-08-13,chop,neutral,down,0,-6.3393,0.504,1w
2021-08-24,chop,down,down,1,-1.3359,0.3813,1w
2021-09-02,chop,down,down,1,-4.5817,0.3027,1w
2021-09-14,chop,down,down,1,-6.5777,0.4067,1w
2021-09-23,chop,down,up,0,3.2008,0.4093,1w
2021-10-04,chop,up,up,1,10.4126,0.6613,1w
2021-10-13,chop,down,neutral,0,0.4004,0.436,1w
2021-10-22,chop,up,down,0,-8.2418,0.5787,1w
2021-11-02,trending_bull,neutral,down,0,-10.7407,0.5467,1w
2021-11-11,chop,down,up,0,15.6823,0.3587,1w
2021-11-22,chop,down,up,0,21.6617,0.4213,1w
2021-12-02,chop,down,up,0,25.0258,0.4293,1w
2021-12-13,trending_bull,neutral,up,0,9.9145,0.5467,1w
2021-12-22,trending_bull,up,up,1,4.2468,0.62,1w
2022-01-03,trending_bull,up,up,1,8.4288,0.62,1w
2022-01-12,trending_bull,up,up,1,3.0326,0.6947,1w
2022-01-24,trending_bull,up,up,1,1.6229,0.628,1w
2022-02-02,trending_bull,up,down,0,-1.728,0.6627,1w
2022-02-11,trending_bull,up,down,0,-9.1244,0.7627,1w
2022-02-23,chop,up,down,0,-1.9832,0.7253,1w
2022-03-04,chop,up,up,1,1.9878,0.804,1w
2022-03-15,chop,up,up,1,16.2055,0.5547,1w
2022-03-24,chop,neutral,up,0,16.3424,0.508,1w
2022-04-04,chop,up,up,1,12.0438,0.584,1w
2022-04-13,chop,up,up,1,6.6852,0.6053,1w
2022-04-25,chop,up,down,0,-0.8802,0.6533,1w
2022-05-04,chop,up,up,1,1.0807,0.656,1w
2022-05-13,chop,up,up,1,10.9199,0.6147,1w
2022-05-24,chop,up,up,1,15.5571,0.5987,1w
2022-06-03,chop,up,up,1,3.625,0.6933,1w
2022-06-14,chop,up,up,1,1.8321,0.764,1w
2022-06-24,trending_bull,up,up,1,0.5942,0.736,1w
2022-07-06,trending_bull,up,up,1,2.6442,0.7307,1w
2022-07-15,chop,up,down,0,-1.8594,0.7333,1w
