date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-04-21,chop,neutral,down,0,-11.2134,0.4707,1w
2021-04-30,chop,down,up,0,5.7471,0.4213,1w
2021-05-11,chop,down,up,0,24.6171,0.2307,1w
2021-05-20,chop,down,down,1,-3.4608,0.3147,1w
2021-06-01,chop,down,neutral,0,0.1798,0.3467,1w
2021-06-10,chop,neutral,up,0,4.2198,0.4707,1w
2021-06-21,chop,down,up,0,12.2411,0.32,1w
2021-06-30,chop,down,up,0,1.1469,0.372,1w
2021-07-12,chop,down,up,0,17.7669,0.4467,1w
2021-07-21,chop,neutral,up,0,9.5449,0.492,1w
2021-07-30,chop,neutral,up,0,14.3236,0.516,1w
2021-08-10,chop,up,up,1,3.3455,0.744,1w
2021-08-19,chop,up,up,1,2.4599,0.6653,1w
2021-08-30,chop,up,up,1,9.6025,0.6133,1w
2021-09-09,chop,up,down,0,-7.1429,0.676,1w
2021-09-20,chop,up,up,1,6.3053,0.7,1w
2021-09-29,chop,up,up,1,9.33,0.6947,1w
2021-10-08,chop,up,down,0,-13.3138,0.684,1w
2021-10-19,chop,up,down,0,-6.9124,0.6413,1w
2021-10-28,chop,up,down,0,-14.8387,0.7693,1w
2021-11-08,chop,down,up,0,5.1194,0.3173,1w
2021-11-17,chop,neutral,down,0,-10.1869,0.456,1w
2021-11-29,chop,neutral,down,0,-13.861,0.4653,1w
2021-12-08,chop,down,down,1,-8.36,0.3333,1w
2021-12-17,chop,down,up,0,1.3729,0.3587,1w
2021-12-29,chop,down,up,0,22.9471,0.2693,1w
2022-01-07,chop,down,up,0,13.6271,0.3267,1w
2022-01-19,chop,down,up,0,16.5106,0.296,1w
2022-01-28,trending_bull,down,down,1,-4.3398,0.396,1w
2022-02-08,trending_bull,up,down,0,-9.8025,0.6227,1w
2022-02-17,trending_bull,neutral,down,0,-0.5848,0.52,1w
2022-03-01,chop,neutral,up,0,6.6031,0.52,1w
2022-03-10,chop,down,up,0,23.8389,0.4493,1w
2022-03-21,chop,up,up,1,8.0685,0.6747,1w
2022-03-30,chop,up,down,0,-4.1128,0.76,1w
2022-04-08,trending_bull,up,down,0,-7.8626,0.704,1w
2022-04-20,trending_bull,up,down,0,-1.0492,0.752,1w
2022-04-29,chop,up,up,1,28.1043,0.5533,1w
2022-05-10,trending_bear,neutral,up,0,21.5944,0.4947,1w
2022-05-19,trending_bull,up,up,1,19.9177,0.5853,1w
2022-05-31,trending_bull,up,up,1,12.0,0.7347,1w
2022-06-09,trending_bull,up,up,1,13.908,0.868,1w
2022-06-21,trending_bull,up,up,1,8.2238,0.8147,1w
2022-06-30,trending_bull,up,down,0,-7.3309,0.7707,1w
2022-07-12,trending_bull,up,down,0,-20.104,0.8213,1w
2022-07-21,trending_bull,up,down,0,-18.702,0.7933,1w
2022-08-01,crisis,up,down,0,-1.3727,0.7267,1w
2022-08-10,trending_bear,up,down,0,-1.9521,0.5573,1w
2022-08-19,trending_bear,neutral,down,0,-15.3453,0.5107,1w
2022-08-30,trending_bear,down,down,1,-17.3322,0.436,1w
2022-09-09,trending_bear,down,down,1,-5.0465,0.3147,1w
2022-09-20,trending_bear,down,up,0,1.9679,0.2093,1w
2022-09-29,trending_bear,down,down,1,-3.6227,0.184,1w
2022-10-10,trending_bear,down,up,0,3.4107,0.168,1w
2022-10-19,chop,down,up,0,11.3531,0.1533,1w
2022-10-28,chop,down,up,0,18.1459,0.1667,1w
2022-11-08,chop,down,up,0,15.2572,0.3693,1w
2022-11-17,trending_bull,down,up,0,14.2269,0.3787,1w
2022-11-29,trending_bull,down,up,0,10.7831,0.424,1w
2022-12-08,trending_bull,up,up,1,6.5237,0.6053,1w
2022-12-19,trending_bull,up,up,1,13.8513,0.8147,1w
2022-12-29,trending_bull,up,up,1,10.831,0.804,1w
2023-01-10,trending_bull,up,up,1,13.6537,0.752,1w
2023-01-20,trending_bull,up,up,1,3.5332,0.8947,1w
2023-01-31,trending_bull,up,down,0,-22.6513,0.904,1w
2023-02-09,trending_bull,up,down,0,-20.9353,0.924,1w
2023-02-21,trending_bull,up,down,0,-20.5486,0.848,1w
2023-03-02,crisis,down,up,0,8.752,0.424,1w
2023-03-13,high_volatility,down,neutral,0,0.1821,0.4493,1w
2023-03-22,trending_bear,down,down,1,-11.9465,0.424,1w
2023-03-31,trending_bear,down,down,1,-10.9647,0.412,1w
2023-04-12,chop,down,down,1,-41.6255,0.3893,1w
2023-04-21,chop,down,down,1,-38.3404,0.248,1w
2023-05-02,chop,down,down,1,-40.0132,0.2413,1w
2023-05-11,high_volatility,down,down,1,-6.6874,0.1947,1w
2023-05-22,trending_bear,down,up,0,2.9567,0.1867,1w
2023-06-01,trending_bear,down,up,0,9.7778,0.256,1w
2023-06-12,trending_bear,down,up,0,6.9132,0.2253,1w
2023-06-22,trending_bear,down,up,0,6.9291,0.248,1w
2023-07-03,trending_bear,down,up,0,4.9327,0.256,1w
2023-07-13,chop,down,down,1,-7.9198,0.2733,1w
2023-07-24,chop,down,neutral,0,-0.1522,0.2973,1w
2023-08-02,chop,down,down,1,-3.2416,0.3173,1w
2023-08-11,chop,down,down,1,-2.0207,0.3947,1w
2023-08-22,chop,neutral,down,0,-10.0471,0.52,1w
2023-08-31,chop,up,down,0,-13.5261,0.5893,1w
2023-09-12,chop,down,down,1,-4.119,0.4067,1w
2023-09-21,trending_bear,down,up,0,0.577,0.3067,1w
2023-10-02,trending_bear,down,up,0,1.3026,0.224,1w
2023-10-11,trending_bear,down,up,0,13.1733,0.2333,1w
2023-10-20,chop,down,up,0,16.4955,0.296,1w
2023-10-31,chop,down,up,0,19.2375,0.2267,1w
2023-11-09,chop,neutral,up,0,1.6385,0.5453,1w
2023-11-20,trending_bull,neutral,up,0,1.8624,0.48,1w
2023-11-30,trending_bull,neutral,down,0,-7.3324,0.5347,1w
2023-12-11,trending_bull,up,down,0,-8.1849,0.6747,1w
2023-12-20,trending_bull,up,down,0,-1.1022,0.632,1w
2024-01-02,chop,up,up,1,11.5265,0.6387,1w
2024-01-11,chop,up,up,1,19.0848,0.612,1w
