date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-16.4654,0.4933,1w
2021-01-13,high_volatility,down,down,1,-9.8108,0.34,1w
2021-01-25,high_volatility,down,down,1,-8.4038,0.216,1w
2021-02-03,crisis,down,down,1,-2.6901,0.1587,1w
2021-02-12,high_volatility,down,down,1,-3.1553,0.1733,1w
2021-02-24,high_volatility,down,up,0,19.3989,0.144,1w
2021-03-05,high_volatility,down,up,0,23.0315,0.248,1w
2021-03-16,high_volatility,down,up,0,17.8692,0.2253,1w
2021-03-25,chop,down,down,1,-5.9224,0.2747,1w
2021-04-06,trending_bull,neutral,down,0,-24.2819,0.492,1w
2021-04-15,trending_bull,neutral,down,0,-37.5461,0.4707,1w
2021-04-26,chop,neutral,down,0,-26.7961,0.5013,1w
2021-05-05,trending_bear,down,down,1,-23.2003,0.3787,1w
2021-05-14,crisis,down,down,1,-18.6712,0.2253,1w
2021-05-25,high_volatility,down,up,0,4.4112,0.3507,1w
2021-06-04,crisis,down,up,0,7.1894,0.2387,1w
2021-06-15,trending_bear,down,up,0,10.3737,0.1933,1w
2021-06-24,trending_bear,down,up,0,6.3474,0.184,1w
2021-07-06,chop,down,up,0,15.3669,0.1533,1w
2021-07-15,chop,down,up,0,13.5077,0.1667,1w
2021-07-26,chop,down,up,0,1.1245,0.268,1w
2021-08-04,chop,down,down,1,-7.2147,0.388,1w
2021-08-13,chop,neutral,down,0,-3.3911,0.5293,1w
2021-08-24,chop,up,down,0,-5.7728,0.6,1w
2021-09-02,chop,up,up,1,3.6342,0.5907,1w
2021-09-14,chop,up,up,1,8.5569,0.708,1w
2021-09-23,chop,neutral,up,0,18.6214,0.5133,1w
2021-10-04,chop,up,up,1,30.8563,0.5573,1w
2021-10-13,chop,up,up,1,17.8136,0.668,1w
2021-10-22,chop,up,up,1,13.8325,0.6027,1w
2021-11-02,high_volatility,up,up,1,1.7939,0.692,1w
2021-11-11,high_volatility,up,up,1,0.7071,0.6747,1w
2021-11-22,chop,up,up,1,3.3781,0.68,1w
2021-12-02,chop,up,down,0,-2.8617,0.7413,1w
2021-12-13,chop,up,down,0,-10.3881,0.6747,1w
2021-12-22,chop,up,down,0,-6.7294,0.7413,1w
2022-01-03,chop,up,down,0,-5.5104,0.668,1w
2022-01-12,chop,neutral,up,0,9.044,0.52,1w
2022-01-24,chop,neutral,up,0,7.5673,0.54,1w
2022-02-02,chop,down,up,0,4.4453,0.376,1w
2022-02-11,chop,neutral,down,0,-4.0742,0.4947,1w
2022-02-23,chop,neutral,up,0,3.6334,0.4787,1w
2022-03-04,chop,down,up,0,1.6079,0.4213,1w
2022-03-15,chop,down,up,0,0.9951,0.412,1w
2022-03-24,chop,neutral,up,0,6.7976,0.4707,1w
2022-04-04,chop,neutral,up,0,4.0773,0.4853,1w
2022-04-13,chop,neutral,up,0,0.8091,0.5467,1w
2022-04-25,chop,up,down,0,-6.5637,0.668,1w
2022-05-04,chop,up,up,1,3.1783,0.5653,1w
2022-05-13,chop,neutral,up,0,7.1242,0.48,1w
2022-05-24,chop,neutral,up,0,8.734,0.5467,1w
2022-06-03,chop,up,up,1,1.8504,0.612,1w
2022-06-14,chop,up,up,1,4.9397,0.628,1w
2022-06-24,chop,up,up,1,5.8219,0.584,1w
2022-07-06,chop,up,down,0,-5.0351,0.6693,1w
2022-07-15,chop,up,down,0,-16.9796,0.7013,1w
2022-07-26,chop,neutral,down,0,-21.9388,0.544,1w
2022-08-04,chop,neutral,down,0,-17.0621,0.456,1w
2022-08-15,chop,down,down,1,-8.6452,0.4147,1w
2022-08-24,trending_bear,down,down,1,-14.5891,0.312,1w
2022-09-02,trending_bear,down,down,1,-17.9454,0.216,1w
2022-09-14,chop,down,down,1,-20.9237,0.1907,1w
2022-09-23,trending_bear,down,down,1,-2.5615,0.14,1w
2022-10-04,trending_bear,down,up,0,11.5119,0.1467,1w
2022-10-13,trending_bear,down,up,0,24.5725,0.0573,1w
2022-10-24,chop,down,up,0,31.3574,0.1493,1w
2022-11-02,chop,down,up,0,21.3216,0.2627,1w
2022-11-11,chop,down,up,0,20.6254,0.368,1w
2022-11-22,trending_bull,up,up,1,8.1629,0.56,1w
2022-12-02,trending_bull,up,up,1,3.9505,0.5733,1w
2022-12-13,trending_bull,up,up,1,1.1048,0.696,1w
2022-12-22,trending_bull,up,up,1,2.3958,0.752,1w
2023-01-04,chop,up,down,0,-2.2181,0.7947,1w
2023-01-13,chop,up,down,0,-6.935,0.8867,1w
2023-01-25,chop,up,down,0,-4.7475,0.8587,1w
2023-02-03,chop,up,up,1,7.0445,0.7547,1w
2023-02-14,chop,up,up,1,10.8505,0.668,1w
2023-02-24,chop,neutral,up,0,21.3406,0.5053,1w
2023-03-07,chop,up,up,1,4.2705,0.628,1w
2023-03-16,trending_bull,neutral,up,0,1.3361,0.5453,1w
2023-03-27,high_volatility,up,down,0,-1.0539,0.62,1w
2023-04-05,high_volatility,up,down,0,-7.3532,0.6067,1w
2023-04-17,chop,up,down,0,-3.1002,0.58,1w
2023-04-26,chop,up,up,1,2.4369,0.6173,1w
2023-05-05,chop,neutral,down,0,-9.239,0.512,1w
2023-05-16,chop,up,down,0,-12.0992,0.584,1w
2023-05-25,chop,up,down,0,-10.8887,0.584,1w
2023-06-06,trending_bear,down,down,1,-3.7554,0.3213,1w
2023-06-15,trending_bear,down,down,1,-1.6476,0.2867,1w
2023-06-27,trending_bear,down,down,1,-44.1243,0.2267,1w
2023-07-07,trending_bear,down,down,1,-32.1093,0.208,1w
2023-07-18,chop,down,down,1,-34.6341,0.2747,1w
2023-07-27,crisis,down,up,0,9.1731,0.224,1w
2023-08-07,high_volatility,down,neutral,0,-0.3895,0.2613,1w
2023-08-16,trending_bear,down,down,1,-6.1085,0.2413,1w
2023-08-25,trending_bear,down,down,1,-7.6273,0.268,1w
2023-09-06,trending_bear,down,down,1,-0.7288,0.2747,1w
2023-09-15,trending_bear,down,down,1,-2.669,0.2747,1w
2023-09-26,chop,down,up,0,10.8396,0.2693,1w
2023-10-05,chop,down,up,0,1.5739,0.2867,1w
2023-10-16,chop,down,up,0,3.7625,0.28,1w
