date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-3.7125,0.3347,1w
2021-01-13,chop,down,up,0,1.8717,0.3813,1w
2021-01-25,chop,down,down,1,-5.9985,0.428,1w
2021-02-03,crisis,down,down,1,-6.8018,0.3413,1w
2021-02-12,high_volatility,down,down,1,-11.0435,0.3547,1w
2021-02-24,chop,neutral,down,0,-1.5088,0.4707,1w
2021-03-05,chop,neutral,down,0,-0.8626,0.5453,1w
2021-03-16,chop,down,up,0,2.293,0.3507,1w
2021-03-25,chop,down,up,0,2.0068,0.3733,1w
2021-04-06,chop,down,down,1,-4.304,0.3347,1w
2021-04-15,chop,down,down,1,-2.1598,0.336,1w
2021-04-26,chop,down,up,0,4.3855,0.3653,1w
2021-05-05,chop,down,up,0,14.3712,0.256,1w
2021-05-14,high_volatility,down,up,0,3.1972,0.312,1w
2021-05-25,crisis,neutral,down,0,-5.5203,0.5467,1w
2021-06-04,trending_bull,up,down,0,-11.4049,0.6227,1w
2021-06-15,trending_bull,up,down,0,-3.9884,0.564,1w
2021-06-24,chop,neutral,neutral,0,-0.215,0.5053,1w
2021-07-06,chop,down,up,0,7.1813,0.424,1w
2021-07-15,chop,down,up,0,6.6661,0.448,1w
2021-07-26,chop,neutral,down,0,-3.0746,0.4907,1w
2021-08-04,chop,up,down,0,-4.0322,0.584,1w
2021-08-13,chop,up,down,0,-2.9048,0.5693,1w
2021-08-24,chop,down,down,1,-6.3829,0.2973,1w
2021-09-02,chop,down,down,1,-4.3645,0.2747,1w
2021-09-14,chop,neutral,down,0,-6.3347,0.4653,1w
2021-09-23,chop,down,up,0,8.0854,0.2733,1w
2021-10-04,chop,down,up,0,2.4919,0.3893,1w
2021-10-13,chop,down,up,0,7.4905,0.392,1w
2021-10-22,chop,down,up,0,1.7427,0.3773,1w
2021-11-02,chop,down,up,0,2.4523,0.3653,1w
2021-11-11,chop,down,down,1,-4.1483,0.4453,1w
