date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-16.6079,0.6733,1w
2021-01-13,chop,up,down,0,-17.2811,0.588,1w
2021-01-25,crisis,down,down,1,-8.255,0.2693,1w
2021-02-03,crisis,down,down,1,-11.0973,0.2093,1w
2021-02-12,trending_bear,down,down,1,-10.2258,0.1587,1w
2021-02-24,trending_bear,down,up,0,0.7163,0.1053,1w
2021-03-05,trending_bear,down,up,0,7.6384,0.128,1w
2021-03-16,high_volatility,down,up,0,6.8585,0.1093,1w
2021-03-25,high_volatility,down,down,1,-0.6014,0.1653,1w
2021-04-06,chop,down,down,1,-7.6026,0.1867,1w
2021-04-15,chop,down,down,1,-11.3448,0.1933,1w
2021-04-26,chop,down,down,1,-8.3025,0.3293,1w
2021-05-05,chop,down,neutral,0,-0.4256,0.2733,1w
2021-05-14,high_volatility,down,down,1,-5.6794,0.2827,1w
2021-05-25,trending_bear,down,down,1,-2.2524,0.376,1w
2021-06-04,chop,neutral,down,0,-6.9721,0.5053,1w
2021-06-15,chop,down,up,0,2.6418,0.3453,1w
2021-06-24,chop,down,up,0,1.9543,0.296,1w
2021-07-06,chop,down,up,0,4.7933,0.2973,1w
2021-07-15,chop,down,up,0,12.1858,0.2747,1w
2021-07-26,chop,down,up,0,5.7776,0.376,1w
2021-08-04,chop,down,down,1,-2.6495,0.4093,1w
2021-08-13,chop,up,down,0,-5.8111,0.5773,1w
2021-08-24,chop,up,down,0,-11.2219,0.556,1w
2021-09-02,chop,down,down,1,-7.44,0.388,1w
2021-09-14,chop,up,down,0,-14.367,0.6187,1w
2021-09-23,chop,down,down,1,-2.2444,0.368,1w
2021-10-04,trending_bear,down,down,1,-6.8838,0.3733,1w
2021-10-13,trending_bear,down,up,0,5.138,0.3253,1w
2021-10-22,trending_bear,down,neutral,0,-0.0741,0.356,1w
2021-11-02,chop,down,up,0,10.7192,0.2933,1w
2021-11-11,trending_bull,down,down,1,-3.3209,0.3067,1w
2021-11-22,chop,down,down,1,-2.7445,0.336,1w
2021-12-02,chop,down,down,1,-2.3826,0.4067,1w
2021-12-13,chop,down,up,0,0.803,0.3733,1w
2021-12-22,chop,down,up,0,7.424,0.4253,1w
2022-01-03,chop,down,up,0,6.3836,0.4173,1w
2022-01-12,chop,neutral,down,0,-4.2349,0.5467,1w
2022-01-24,chop,neutral,up,0,4.1995,0.516,1w
2022-02-02,chop,up,up,1,5.0297,0.692,1w
2022-02-11,chop,down,up,0,0.524,0.376,1w
2022-02-23,chop,up,up,1,1.4704,0.5733,1w
2022-03-04,chop,up,up,1,4.8265,0.5733,1w
2022-03-15,chop,neutral,up,0,3.8833,0.5387,1w
2022-03-24,chop,up,up,1,2.5529,0.644,1w
2022-04-04,chop,up,up,1,3.7688,0.6173,1w
2022-04-13,chop,up,up,1,5.9775,0.58,1w
2022-04-25,chop,up,up,1,3.1185,0.5933,1w
2022-05-04,trending_bull,up,neutral,0,-0.1555,0.6747,1w
2022-05-13,trending_bull,up,up,1,4.2014,0.6733,1w
2022-05-24,trending_bull,up,up,1,8.5145,0.5907,1w
2022-06-03,chop,up,up,1,6.0539,0.688,1w
2022-06-14,trending_bull,up,up,1,3.2363,0.748,1w
2022-06-24,trending_bull,up,up,1,4.4497,0.752,1w
