date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,neutral,0,-0.122,0.4293,1w
2021-01-13,chop,down,down,1,-2.7139,0.412,1w
2021-01-25,chop,down,down,1,-0.5796,0.312,1w
2021-02-03,chop,down,down,1,-7.1749,0.3893,1w
2021-02-12,chop,down,down,1,-14.7373,0.3653,1w
2021-02-24,chop,down,down,1,-4.8452,0.3653,1w
2021-03-05,chop,down,up,0,2.8687,0.2773,1w
2021-03-16,crisis,down,up,0,6.3221,0.1693,1w
2021-03-25,high_volatility,down,down,1,-6.6725,0.3467,1w
2021-04-06,chop,down,down,1,-8.7347,0.3467,1w
2021-04-15,chop,down,down,1,-12.0732,0.236,1w
2021-04-26,chop,down,down,1,-1.4737,0.252,1w
2021-05-05,chop,down,neutral,0,-0.0464,0.2333,1w
2021-05-14,trending_bear,down,down,1,-1.1428,0.1667,1w
2021-05-25,trending_bear,down,down,1,-1.6758,0.26,1w
2021-06-04,chop,down,down,1,-5.8862,0.4053,1w
2021-06-15,chop,down,down,1,-4.498,0.3947,1w
2021-06-24,chop,down,down,1,-2.6814,0.2293,1w
2021-07-06,chop,down,up,0,1.1196,0.184,1w
2021-07-15,chop,down,up,0,6.2646,0.2093,1w
2021-07-26,chop,down,up,0,1.2994,0.3573,1w
2021-08-04,chop,down,down,1,-2.2489,0.3147,1w
2021-08-13,chop,neutral,down,0,-6.1184,0.5013,1w
2021-08-24,chop,down,down,1,-7.195,0.4093,1w
2021-09-02,chop,down,down,1,-8.5397,0.2827,1w
2021-09-14,chop,down,down,1,-10.1686,0.3347,1w
2021-09-23,chop,down,down,1,-1.9733,0.2013,1w
2021-10-04,trending_bear,down,down,1,-4.8894,0.216,1w
2021-10-13,trending_bear,down,up,0,6.9681,0.2133,1w
2021-10-22,trending_bear,down,up,0,10.669,0.2253,1w
2021-11-02,trending_bear,down,up,0,14.0747,0.1867,1w
2021-11-11,chop,down,up,0,1.9392,0.2827,1w
2021-11-22,trending_bull,down,up,0,3.0076,0.3613,1w
2021-12-02,chop,neutral,down,0,-1.8651,0.4907,1w
2021-12-13,trending_bull,neutral,up,0,6.3229,0.472,1w
2021-12-22,chop,up,up,1,11.1229,0.5933,1w
2022-01-03,chop,up,up,1,5.715,0.5787,1w
2022-01-12,trending_bull,up,down,0,-1.8886,0.7693,1w
2022-01-24,trending_bull,up,down,0,-6.9359,0.872,1w
2022-02-02,trending_bull,up,down,0,-3.6203,0.8347,1w
2022-02-11,trending_bull,up,down,0,-7.8615,0.6347,1w
2022-02-23,chop,up,up,1,0.9661,0.5907,1w
2022-03-04,chop,neutral,up,0,2.065,0.4787,1w
2022-03-15,chop,down,up,0,4.9683,0.3653,1w
2022-03-24,chop,neutral,down,0,-0.702,0.5013,1w
2022-04-04,chop,neutral,down,0,-0.9177,0.456,1w
2022-04-13,chop,down,down,1,-1.5793,0.3293,1w
2022-04-25,chop,down,neutral,0,-0.026,0.1867,1w
2022-05-04,chop,down,neutral,0,0.3554,0.292,1w
2022-05-13,chop,down,up,0,5.0754,0.352,1w
2022-05-24,chop,down,up,0,3.3609,0.4467,1w
2022-06-03,chop,neutral,down,0,-1.5668,0.5013,1w
2022-06-14,chop,up,neutral,0,0.0975,0.696,1w
2022-06-24,chop,neutral,up,0,4.4081,0.5373,1w
2022-07-06,chop,down,up,0,2.9195,0.4387,1w
2022-07-15,chop,up,down,0,-4.5142,0.5533,1w
2022-07-26,chop,up,down,0,-5.0562,0.6853,1w
2022-08-04,chop,neutral,down,0,-2.8903,0.5467,1w
2022-08-15,chop,neutral,up,0,1.8408,0.4653,1w
2022-08-24,chop,neutral,down,0,-1.5677,0.5053,1w
2022-09-02,chop,down,down,1,-4.9629,0.4213,1w
2022-09-14,chop,down,down,1,-3.2456,0.32,1w
2022-09-23,chop,down,down,1,-1.4036,0.3427,1w
2022-10-04,chop,down,up,0,1.0727,0.272,1w
2022-10-13,chop,down,up,0,0.5244,0.2253,1w
2022-10-24,chop,down,up,0,7.5667,0.184,1w
2022-11-02,chop,down,up,0,2.1321,0.2253,1w
2022-11-11,chop,down,up,0,0.7114,0.412,1w
2022-11-22,chop,neutral,up,0,1.4789,0.4907,1w
2022-12-02,chop,neutral,up,0,2.8046,0.456,1w
2022-12-13,chop,neutral,down,0,-3.0995,0.4827,1w
2022-12-22,chop,up,down,0,-2.0912,0.62,1w
2023-01-04,chop,up,down,0,-1.8763,0.6653,1w
2023-01-13,chop,neutral,up,0,5.3609,0.5053,1w
2023-01-25,chop,up,up,1,3.9342,0.6667,1w
2023-02-03,chop,neutral,up,0,2.6023,0.52,1w
2023-02-14,chop,neutral,up,0,2.2061,0.528,1w
2023-02-24,chop,up,up,1,0.8889,0.5773,1w
2023-03-07,chop,up,up,1,0.9545,0.6173,1w
2023-03-16,chop,neutral,down,0,-2.6934,0.5453,1w
2023-03-27,chop,neutral,down,0,-0.5619,0.54,1w
2023-04-05,chop,up,up,1,2.3844,0.588,1w
2023-04-17,chop,up,up,1,9.5694,0.6173,1w
2023-04-26,chop,up,up,1,4.4936,0.5907,1w
2023-05-05,chop,up,neutral,0,0.0946,0.6747,1w
2023-05-16,chop,up,down,0,-2.4734,0.7307,1w
2023-05-25,trending_bull,up,neutral,0,-0.4346,0.652,1w
2023-06-06,chop,up,up,1,3.3427,0.5587,1w
2023-06-15,chop,up,up,1,2.5176,0.58,1w
2023-06-27,chop,up,neutral,0,-0.3528,0.588,1w
2023-07-07,chop,up,down,0,-7.2341,0.6227,1w
2023-07-18,trending_bull,up,down,0,-0.5792,0.7653,1w
2023-07-27,chop,up,up,1,2.9607,0.5613,1w
2023-08-07,crisis,down,up,0,4.0587,0.3387,1w
2023-08-16,high_volatility,down,down,1,-1.0136,0.4093,1w
2023-08-25,chop,neutral,up,0,3.4918,0.5,1w
2023-09-06,chop,neutral,up,0,12.4222,0.4653,1w
2023-09-15,chop,neutral,up,0,5.0442,0.4707,1w
2023-09-26,chop,up,down,0,-3.2976,0.5907,1w
2023-10-05,crisis,up,down,0,-5.5321,0.6093,1w
2023-10-16,crisis,up,down,0,-5.1603,0.5587,1w
2023-10-25,chop,up,down,0,-4.078,0.6027,1w
2023-11-03,chop,up,down,0,-3.7927,0.668,1w
2023-11-14,high_volatility,down,up,0,2.5145,0.4293,1w
2023-11-24,chop,down,neutral,0,0.1151,0.428,1w
2023-12-05,chop,up,down,0,-2.0626,0.5613,1w
2023-12-14,chop,neutral,down,0,-3.0258,0.5053,1w
2023-12-26,chop,down,neutral,0,-0.0235,0.236,1w
2024-01-05,chop,down,up,0,2.9524,0.1787,1w
2024-01-17,chop,down,up,0,6.1772,0.2253,1w
2024-01-26,chop,down,up,0,3.1066,0.3013,1w
2024-02-06,chop,down,neutral,0,0.3704,0.3507,1w
2024-02-15,chop,up,up,1,1.3447,0.6267,1w
2024-02-27,chop,neutral,up,0,1.296,0.5293,1w
2024-03-07,crisis,neutral,down,0,-11.8939,0.456,1w
2024-03-18,high_volatility,up,down,0,-6.4286,0.5827,1w
2024-03-27,chop,neutral,neutral,0,-0.1144,0.5293,1w
2024-04-08,crisis,down,up,0,8.303,0.2773,1w
2024-04-17,high_volatility,neutral,up,0,10.618,0.4533,1w
2024-04-26,chop,neutral,up,0,5.3016,0.5053,1w
2024-05-07,chop,neutral,up,0,5.3663,0.5173,1w
2024-05-16,chop,neutral,up,0,1.601,0.528,1w
2024-05-28,chop,up,up,1,7.002,0.58,1w
2024-06-06,chop,up,up,1,2.7297,0.6013,1w
2024-06-17,chop,up,up,1,6.6264,0.5533,1w
2024-06-27,chop,up,up,1,1.0552,0.656,1w
2024-07-09,chop,up,up,1,2.4451,0.8773,1w
2024-07-18,trending_bull,up,up,1,0.789,0.9253,1w
2024-07-29,chop,up,up,1,3.1713,0.8,1w
2024-08-07,chop,up,up,1,3.8337,0.792,1w
2024-08-16,chop,up,up,1,6.794,0.7293,1w
2024-08-27,chop,up,up,1,6.6787,0.78,1w
2024-09-06,chop,up,up,1,5.7237,0.7253,1w
2024-09-17,trending_bull,up,up,1,2.2071,0.8867,1w
2024-09-26,trending_bull,up,up,1,4.2884,0.788,1w
2024-10-07,trending_bull,up,up,1,1.4463,0.872,1w
2024-10-16,trending_bull,up,down,0,-1.1107,0.7213,1w
2024-10-25,chop,up,down,0,-3.1601,0.804,1w
2024-11-05,chop,up,neutral,0,0.1283,0.7293,1w
2024-11-14,chop,up,down,0,-1.2718,0.6933,1w
2024-11-25,chop,up,up,1,2.0659,0.684,1w
