date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-3.3464,0.5733,1w
2021-01-13,chop,neutral,down,0,-3.54,0.52,1w
2021-01-25,high_volatility,down,down,1,-1.5348,0.3133,1w
2021-02-03,crisis,down,down,1,-7.8071,0.2973,1w
2021-02-12,high_volatility,down,down,1,-8.4567,0.3347,1w
2021-02-24,crisis,down,down,1,-1.0432,0.2933,1w
2021-03-05,crisis,down,up,0,7.6199,0.2747,1w
2021-03-16,crisis,down,up,0,2.3449,0.2307,1w
2021-03-25,high_volatility,down,down,1,-4.4086,0.3187,1w
2021-04-06,chop,down,down,1,-7.5211,0.3253,1w
2021-04-15,chop,down,down,1,-9.9102,0.2453,1w
2021-04-26,chop,down,down,1,-1.7254,0.312,1w
2021-05-05,trending_bear,down,up,0,0.7409,0.2427,1w
2021-05-14,trending_bear,down,down,1,-4.5622,0.2093,1w
2021-05-25,chop,down,down,1,-8.0223,0.3387,1w
2021-06-04,chop,neutral,down,0,-10.106,0.5027,1w
2021-06-15,chop,down,down,1,-2.4532,0.2827,1w
2021-06-24,trending_bear,down,neutral,0,0.1882,0.18,1w
2021-07-06,trending_bear,down,up,0,6.1777,0.1587,1w
2021-07-15,trending_bear,down,up,0,8.7296,0.1787,1w
2021-07-26,chop,down,up,0,0.9841,0.32,1w
2021-08-04,chop,down,down,1,-7.0261,0.356,1w
2021-08-13,chop,neutral,down,0,-7.9114,0.4947,1w
2021-08-24,chop,down,down,1,-7.9592,0.332,1w
2021-09-02,chop,down,down,1,-5.5399,0.224,1w
2021-09-14,chop,down,down,1,-9.1339,0.416,1w
2021-09-23,chop,down,up,0,2.167,0.2573,1w
2021-10-04,trending_bear,down,up,0,0.6228,0.2973,1w
2021-10-13,trending_bear,down,up,0,12.8737,0.2667,1w
2021-10-22,chop,down,up,0,11.4828,0.2947,1w
2021-11-02,chop,down,up,0,15.0399,0.2747,1w
2021-11-11,chop,down,up,0,2.5206,0.4013,1w
2021-11-22,trending_bull,neutral,up,0,1.3811,0.4907,1w
2021-12-02,trending_bull,up,down,0,-1.8229,0.6573,1w
2021-12-13,trending_bull,up,up,1,3.4961,0.6173,1w
2021-12-22,trending_bull,up,up,1,8.4526,0.736,1w
2022-01-03,chop,up,up,1,7.4366,0.68,1w
2022-01-12,chop,up,up,1,1.2051,0.8467,1w
2022-01-24,trending_bull,up,down,0,-2.0508,0.8533,1w
2022-02-02,trending_bull,up,down,0,-1.0081,0.86,1w
2022-02-11,trending_bull,up,down,0,-6.3767,0.724,1w
2022-02-23,trending_bull,up,neutral,0,-0.3187,0.6693,1w
2022-03-04,chop,up,up,1,3.7112,0.588,1w
2022-03-15,chop,down,up,0,7.6923,0.4067,1w
2022-03-24,chop,up,up,1,4.7791,0.5827,1w
2022-04-04,chop,up,up,1,1.6899,0.656,1w
2022-04-13,chop,up,up,1,0.8346,0.5613,1w
2022-04-25,trending_bull,neutral,down,0,-1.6497,0.4907,1w
2022-05-04,chop,neutral,down,0,-2.2333,0.5013,1w
2022-05-13,chop,neutral,up,0,1.5262,0.54,1w
2022-05-24,chop,up,up,1,1.2772,0.5573,1w
2022-06-03,chop,up,down,0,-1.6066,0.5653,1w
2022-06-14,chop,up,neutral,0,0.2991,0.7293,1w
2022-06-24,chop,up,up,1,3.3626,0.584,1w
2022-07-06,chop,down,up,0,1.7772,0.4267,1w
2022-07-15,chop,neutral,down,0,-4.4848,0.5293,1w
2022-07-26,chop,up,down,0,-5.6149,0.5653,1w
2022-08-04,chop,down,down,1,-2.6109,0.412,1w
2022-08-15,chop,down,up,0,1.706,0.3973,1w
2022-08-24,chop,down,down,1,-0.9113,0.412,1w
2022-09-02,chop,down,down,1,-5.0057,0.4013,1w
2022-09-14,chop,down,down,1,-4.1328,0.3387,1w
2022-09-23,chop,down,down,1,-2.4603,0.3267,1w
2022-10-04,chop,down,up,0,1.7117,0.2413,1w
2022-10-13,chop,down,up,0,0.5078,0.168,1w
2022-10-24,chop,down,up,0,8.2532,0.152,1w
