date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-14.9261,0.752,1w
2021-01-13,high_volatility,up,down,0,-8.6645,0.584,1w
2021-01-25,crisis,down,down,1,-2.0246,0.324,1w
2021-02-03,crisis,down,down,1,-8.2623,0.368,1w
2021-02-12,high_volatility,down,down,1,-16.5829,0.3507,1w
2021-02-24,trending_bear,down,down,1,-5.8225,0.256,1w
2021-03-05,high_volatility,down,down,1,-3.9484,0.2947,1w
2021-03-16,crisis,down,up,0,1.4678,0.1387,1w
2021-03-25,high_volatility,down,down,1,-4.5685,0.1867,1w
2021-04-06,trending_bear,down,down,1,-11.88,0.1787,1w
2021-04-15,chop,down,down,1,-13.3468,0.1867,1w
2021-04-26,chop,down,down,1,-11.7888,0.3147,1w
2021-05-05,crisis,down,up,0,3.0325,0.2187,1w
2021-05-14,crisis,down,down,1,-0.6381,0.2187,1w
2021-05-25,high_volatility,down,up,0,11.6982,0.2747,1w
2021-06-04,high_volatility,down,down,1,-1.9643,0.3973,1w
2021-06-15,chop,down,up,0,1.329,0.3867,1w
2021-06-24,chop,down,down,1,-4.2598,0.4013,1w
2021-07-06,chop,down,up,0,4.7893,0.3973,1w
2021-07-15,chop,down,up,0,12.1528,0.3813,1w
2021-07-26,chop,down,up,0,5.4563,0.428,1w
2021-08-04,chop,neutral,down,0,-7.8843,0.524,1w
2021-08-13,chop,up,down,0,-11.0512,0.6267,1w
2021-08-24,chop,up,down,0,-11.2935,0.6347,1w
2021-09-02,chop,down,down,1,-11.7711,0.4027,1w
2021-09-14,chop,neutral,down,0,-12.6107,0.4947,1w
2021-09-23,chop,down,down,1,-11.8854,0.26,1w
2021-10-04,chop,down,down,1,-9.0205,0.2413,1w
2021-10-13,chop,down,up,0,2.64,0.2867,1w
2021-10-22,trending_bear,down,up,0,11.2455,0.1867,1w
2021-11-02,trending_bear,down,up,0,22.4819,0.1493,1w
2021-11-11,chop,down,up,0,7.4335,0.2347,1w
2021-11-22,chop,down,up,0,10.0423,0.288,1w
2021-12-02,chop,down,up,0,6.2341,0.408,1w
2021-12-13,chop,neutral,up,0,5.6778,0.4693,1w
2021-12-22,chop,neutral,up,0,14.4249,0.5387,1w
2022-01-03,chop,up,up,1,2.4818,0.5827,1w
2022-01-12,trending_bull,up,down,0,-4.4645,0.668,1w
2022-01-24,trending_bull,up,down,0,-8.8632,0.7693,1w
2022-02-02,trending_bull,up,down,0,-6.3678,0.792,1w
2022-02-11,chop,up,down,0,-7.0736,0.6053,1w
2022-02-23,chop,up,neutral,0,-0.1528,0.62,1w
2022-03-04,chop,up,neutral,0,-0.3666,0.5547,1w
2022-03-15,chop,down,up,0,7.0733,0.384,1w
2022-03-24,chop,neutral,up,0,2.1417,0.4653,1w
2022-04-04,chop,down,down,1,-16.0506,0.3347,1w
2022-04-13,chop,down,down,1,-20.5568,0.3733,1w
2022-04-25,chop,down,down,1,-21.1551,0.2693,1w
2022-05-04,chop,down,down,1,-10.7267,0.1973,1w
2022-05-13,trending_bear,down,down,1,-1.0954,0.2333,1w
2022-05-24,trending_bear,down,up,0,1.9053,0.2307,1w
2022-06-03,trending_bear,down,up,0,5.3712,0.1973,1w
2022-06-14,trending_bear,down,down,1,-3.39,0.2747,1w
2022-06-24,trending_bear,down,down,1,-9.3653,0.2733,1w
2022-07-06,chop,down,down,1,-11.327,0.2773,1w
2022-07-15,chop,down,down,1,-13.1045,0.2253,1w
2022-07-26,chop,down,down,1,-13.0989,0.216,1w
2022-08-04,trending_bear,down,down,1,-4.9426,0.2253,1w
2022-08-15,trending_bear,down,down,1,-4.4706,0.2253,1w
2022-08-24,trending_bear,down,down,1,-4.6375,0.1707,1w
2022-09-02,trending_bear,down,down,1,-9.0688,0.2747,1w
2022-09-14,trending_bear,down,down,1,-11.5735,0.132,1w
2022-09-23,chop,down,down,1,-1.146,0.0787,1w
2022-10-04,trending_bear,down,down,1,-19.1032,0.0893,1w
2022-10-13,chop,down,down,1,-18.886,0.0853,1w
2022-10-24,chop,down,down,1,-8.8592,0.152,1w
2022-11-02,trending_bear,down,up,0,25.8845,0.18,1w
2022-11-11,trending_bear,down,up,0,17.068,0.2133,1w
2022-11-22,chop,down,up,0,17.174,0.2973,1w
2022-12-02,chop,down,up,0,4.9557,0.3813,1w
2022-12-13,trending_bull,down,down,1,-11.1598,0.4093,1w
2022-12-22,trending_bull,neutral,down,0,-11.2751,0.504,1w
2023-01-04,trending_bull,neutral,up,0,9.4537,0.4653,1w
2023-01-13,chop,down,up,0,12.9633,0.4133,1w
2023-01-25,chop,down,up,0,10.8716,0.444,1w
2023-02-03,chop,up,neutral,0,-0.1032,0.764,1w
2023-02-14,chop,up,up,1,3.5084,0.6333,1w
2023-02-24,chop,up,down,0,-5.7761,0.644,1w
2023-03-07,chop,up,down,0,-2.5241,0.5867,1w
2023-03-16,chop,neutral,down,0,-7.3671,0.5013,1w
2023-03-27,chop,down,neutral,0,-0.0345,0.4213,1w
2023-04-05,chop,neutral,down,0,-10.5549,0.536,1w
2023-04-17,chop,up,down,0,-1.4778,0.5733,1w
2023-04-26,chop,up,down,0,-14.5066,0.588,1w
2023-05-05,chop,down,down,1,-4.5238,0.36,1w
2023-05-16,chop,down,down,1,-17.1566,0.4053,1w
2023-05-25,chop,down,down,1,-9.6946,0.304,1w
2023-06-06,trending_bear,down,down,1,-13.7722,0.2933,1w
2023-06-15,trending_bear,down,down,1,-12.3607,0.2253,1w
2023-06-27,trending_bear,down,down,1,-9.1467,0.2267,1w
2023-07-07,trending_bear,down,down,1,-10.4021,0.1747,1w
2023-07-18,trending_bear,down,down,1,-1.8163,0.168,1w
2023-07-27,trending_bear,down,down,1,-6.1849,0.132,1w
2023-08-07,trending_bear,down,down,1,-0.9161,0.072,1w
2023-08-16,trending_bear,down,down,1,-9.7032,0.0733,1w
2023-08-25,trending_bear,down,down,1,-0.6326,0.1373,1w
2023-09-06,chop,down,up,0,9.5543,0.1107,1w
2023-09-15,trending_bear,down,up,0,3.7798,0.124,1w
2023-09-26,chop,down,down,1,-12.056,0.2253,1w
2023-10-05,trending_bull,down,down,1,-30.8101,0.376,1w
2023-10-16,chop,down,down,1,-30.809,0.404,1w
2023-10-25,chop,down,down,1,-19.851,0.32,1w
2023-11-03,chop,down,up,0,20.9642,0.2413,1w
2023-11-14,trending_bear,down,up,0,24.0484,0.1907,1w
2023-11-24,trending_bear,down,up,0,3.3808,0.2733,1w
2023-12-05,trending_bear,down,down,1,-5.8846,0.4027,1w
2023-12-14,trending_bull,down,down,1,-1.8851,0.4067,1w
2023-12-26,chop,down,up,0,10.6267,0.2547,1w
2024-01-05,chop,down,down,1,-13.3612,0.2747,1w
2024-01-17,chop,down,down,1,-7.2823,0.3653,1w
2024-01-26,chop,down,down,1,-11.315,0.428,1w
2024-02-06,trending_bear,neutral,up,0,11.3136,0.456,1w
2024-02-15,chop,up,down,0,-4.8658,0.58,1w
2024-02-27,chop,neutral,down,0,-9.0252,0.4773,1w
2024-03-07,chop,down,down,1,-28.0747,0.4013,1w
2024-03-18,chop,down,down,1,-19.9206,0.3347,1w
2024-03-27,chop,down,down,1,-9.7121,0.3573,1w
2024-04-08,chop,down,up,0,9.0456,0.224,1w
2024-04-17,trending_bear,down,up,0,20.1508,0.256,1w
2024-04-26,chop,down,up,0,14.5264,0.2747,1w
2024-05-07,chop,down,up,0,13.7129,0.4253,1w
2024-05-16,chop,down,up,0,13.6543,0.4093,1w
2024-05-28,chop,down,up,0,20.7051,0.4333,1w
2024-06-06,trending_bull,neutral,up,0,30.7125,0.4707,1w
2024-06-17,trending_bull,up,up,1,14.4301,0.5507,1w
2024-06-27,trending_bull,up,up,1,10.0458,0.62,1w
2024-07-09,trending_bull,up,neutral,0,-0.4282,0.9027,1w
2024-07-18,trending_bull,up,up,1,0.9775,0.8867,1w
2024-07-29,trending_bull,up,down,0,-1.682,0.8667,1w
2024-08-07,trending_bull,up,neutral,0,-0.1125,0.8333,1w
2024-08-16,chop,up,up,1,2.0412,0.764,1w
2024-08-27,chop,up,down,0,-2.4623,0.7667,1w
2024-09-06,chop,up,up,1,9.5276,0.704,1w
2024-09-17,chop,up,up,1,14.7836,0.6533,1w
2024-09-26,chop,neutral,up,0,12.0744,0.528,1w
2024-10-07,chop,neutral,down,0,-6.5872,0.5387,1w
2024-10-16,chop,up,down,0,-16.0261,0.608,1w
2024-10-25,chop,neutral,down,0,-3.7592,0.5427,1w
2024-11-05,high_volatility,neutral,up,0,17.5673,0.4587,1w
2024-11-14,chop,neutral,up,0,20.0259,0.4667,1w
2024-11-25,chop,neutral,up,0,13.4262,0.5013,1w
