date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-5.5845,0.8107,1w
2021-01-13,high_volatility,up,up,1,1.277,0.756,1w
2021-01-25,crisis,neutral,down,0,-1.2213,0.5013,1w
2021-02-03,crisis,up,up,1,5.5971,0.5507,1w
2021-02-12,crisis,up,up,1,2.6144,0.58,1w
2021-02-24,high_volatility,up,up,1,4.7321,0.576,1w
2021-03-05,crisis,up,up,1,5.0112,0.732,1w
2021-03-16,crisis,up,up,1,8.9632,0.58,1w
2021-03-25,high_volatility,neutral,up,0,6.1005,0.4987,1w
2021-04-06,high_volatility,up,up,1,1.8678,0.584,1w
2021-04-15,high_volatility,up,down,0,-5.406,0.668,1w
2021-04-26,high_volatility,up,down,0,-2.3714,0.6507,1w
2021-05-05,high_volatility,up,down,0,-2.6181,0.6573,1w
2021-05-14,crisis,up,down,0,-4.5982,0.596,1w
2021-05-25,crisis,up,down,0,-6.2803,0.6467,1w
2021-06-04,high_volatility,neutral,down,0,-3.0596,0.5387,1w
2021-06-15,high_volatility,down,up,0,1.3011,0.4467,1w
2021-06-24,crisis,neutral,neutral,0,0.2107,0.4653,1w
2021-07-06,crisis,down,down,1,-0.9788,0.4173,1w
2021-07-15,high_volatility,down,up,0,0.5686,0.3067,1w
2021-07-26,crisis,down,up,0,5.1753,0.3707,1w
2021-08-04,high_volatility,down,up,0,3.2154,0.3787,1w
2021-08-13,chop,neutral,down,0,-2.309,0.488,1w
2021-08-24,chop,down,down,1,-5.9374,0.4253,1w
2021-09-02,chop,neutral,down,0,-2.2171,0.4587,1w
2021-09-14,chop,neutral,down,0,-1.038,0.5387,1w
2021-09-23,chop,down,up,0,12.6011,0.4427,1w
2021-10-04,chop,down,up,0,13.626,0.4133,1w
2021-10-13,chop,down,up,0,10.0688,0.3813,1w
2021-10-22,chop,up,down,0,-5.0503,0.6267,1w
2021-11-02,trending_bull,up,down,0,-2.3916,0.7213,1w
2021-11-11,trending_bull,up,up,1,8.9802,0.58,1w
2021-11-22,high_volatility,neutral,up,0,1.3915,0.4907,1w
2021-12-02,chop,up,down,0,-4.0871,0.6053,1w
2021-12-13,chop,up,down,0,-8.1337,0.676,1w
2021-12-22,chop,up,down,0,-6.1836,0.668,1w
2022-01-03,chop,up,down,0,-1.0362,0.5507,1w
2022-01-12,chop,neutral,up,0,2.528,0.472,1w
2022-01-24,chop,down,down,1,-1.9109,0.2933,1w
2022-02-02,chop,down,down,1,-1.0194,0.2747,1w
2022-02-11,chop,neutral,down,0,-6.8258,0.4787,1w
2022-02-23,chop,down,down,1,-4.1602,0.3853,1w
2022-03-04,chop,down,up,0,2.175,0.256,1w
2022-03-15,chop,down,up,0,3.4066,0.216,1w
2022-03-24,chop,down,down,1,-0.6681,0.26,1w
2022-04-04,chop,down,down,1,-5.7769,0.42,1w
2022-04-13,chop,neutral,down,0,-6.5501,0.4693,1w
2022-04-25,chop,down,up,0,0.9306,0.336,1w
2022-05-04,chop,down,up,0,3.4362,0.3787,1w
2022-05-13,chop,down,down,1,-1.826,0.312,1w
2022-05-24,chop,down,neutral,0,0.0307,0.376,1w
2022-06-03,chop,neutral,down,0,-5.1404,0.5173,1w
2022-06-14,chop,down,down,1,-3.2232,0.3653,1w
2022-06-24,chop,down,up,0,5.6398,0.412,1w
2022-07-06,chop,down,up,0,7.8668,0.3093,1w
2022-07-15,chop,down,up,0,5.4385,0.3213,1w
2022-07-26,chop,neutral,down,0,-3.1209,0.524,1w
2022-08-04,chop,neutral,down,0,-4.3902,0.4653,1w
2022-08-15,chop,neutral,down,0,-4.1514,0.5453,1w
2022-08-24,chop,neutral,up,0,0.6699,0.4907,1w
2022-09-02,chop,down,down,1,-1.478,0.412,1w
2022-09-14,chop,down,up,0,2.7584,0.4253,1w
2022-09-23,chop,neutral,up,0,0.9885,0.504,1w
2022-10-04,chop,neutral,up,0,1.7212,0.5013,1w
2022-10-13,chop,neutral,neutral,0,-0.2659,0.5133,1w
2022-10-24,chop,down,up,0,6.6434,0.3653,1w
2022-11-02,chop,down,up,0,7.389,0.3547,1w
2022-11-11,chop,down,up,0,6.0227,0.4253,1w
2022-11-22,chop,up,down,0,-2.2364,0.6027,1w
2022-12-02,chop,up,up,1,0.5788,0.6627,1w
2022-12-13,chop,up,down,0,-1.3712,0.704,1w
2022-12-22,chop,up,up,1,2.9581,0.5613,1w
2023-01-04,chop,up,up,1,2.1457,0.692,1w
2023-01-13,chop,neutral,up,0,6.2988,0.5173,1w
2023-01-25,chop,up,up,1,4.7024,0.6267,1w
2023-02-03,chop,up,up,1,2.2153,0.6933,1w
2023-02-14,chop,up,up,1,1.1619,0.708,1w
