date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,neutral,0,0.1672,0.716,1w
2021-01-13,chop,up,neutral,0,-0.2278,0.6987,1w
2021-01-25,chop,up,up,1,1.5599,0.6227,1w
2021-02-03,crisis,up,down,0,-2.9482,0.6173,1w
2021-02-12,chop,up,down,0,-12.3675,0.5827,1w
2021-02-24,chop,up,down,0,-7.4568,0.5653,1w
2021-03-05,high_volatility,up,down,0,-2.3256,0.668,1w
2021-03-16,high_volatility,down,up,0,1.4057,0.368,1w
2021-03-25,trending_bear,down,down,1,-3.8142,0.3787,1w
2021-04-06,chop,down,down,1,-5.9672,0.3693,1w
2021-04-15,chop,down,down,1,-6.7903,0.2747,1w
2021-04-26,chop,down,down,1,-2.4466,0.296,1w
2021-05-05,chop,down,up,0,3.1097,0.2733,1w
2021-05-14,chop,down,down,1,-5.0946,0.224,1w
2021-05-25,chop,down,down,1,-16.0059,0.28,1w
2021-06-04,chop,down,down,1,-19.2052,0.424,1w
2021-06-15,chop,down,down,1,-10.0789,0.344,1w
2021-06-24,high_volatility,down,up,0,1.9145,0.184,1w
2021-07-06,high_volatility,down,up,0,5.2294,0.216,1w
2021-07-15,trending_bear,down,up,0,14.0973,0.224,1w
2021-07-26,chop,down,up,0,4.4597,0.3387,1w
2021-08-04,chop,down,down,1,-3.6247,0.2947,1w
2021-08-13,chop,neutral,down,0,-16.7557,0.4533,1w
2021-08-24,chop,down,down,1,-21.9401,0.3893,1w
2021-09-02,chop,down,down,1,-16.0534,0.24,1w
2021-09-14,chop,down,down,1,-12.7862,0.3213,1w
2021-09-23,trending_bear,down,up,0,2.2286,0.2253,1w
2021-10-04,trending_bear,down,up,0,1.9385,0.2747,1w
2021-10-13,trending_bear,down,up,0,15.1339,0.2347,1w
2021-10-22,trending_bear,down,up,0,14.4228,0.2347,1w
2021-11-02,chop,down,up,0,13.7405,0.2853,1w
2021-11-11,chop,down,down,1,-3.3635,0.3013,1w
2021-11-22,chop,down,down,1,-5.0417,0.348,1w
2021-12-02,chop,down,down,1,-5.3095,0.4413,1w
2021-12-13,chop,neutral,up,0,4.5241,0.536,1w
2021-12-22,chop,up,up,1,11.3282,0.6173,1w
2022-01-03,chop,up,up,1,6.3474,0.5587,1w
2022-01-12,chop,up,down,0,-3.1407,0.7307,1w
2022-01-24,chop,up,down,0,-7.5881,0.7293,1w
2022-02-02,chop,up,down,0,-6.8403,0.708,1w
2022-02-11,chop,neutral,down,0,-8.3604,0.4627,1w
2022-02-23,chop,down,down,1,-4.1307,0.4213,1w
2022-03-04,chop,down,up,0,0.6091,0.412,1w
2022-03-15,chop,down,up,0,1.0493,0.368,1w
2022-03-24,chop,down,down,1,-0.955,0.4467,1w
2022-04-04,chop,down,down,1,-3.7363,0.4093,1w
2022-04-13,chop,down,down,1,-3.7926,0.3387,1w
2022-04-25,chop,down,up,0,1.5246,0.2947,1w
2022-05-04,chop,down,up,0,1.5689,0.2787,1w
2022-05-13,chop,down,up,0,5.016,0.3347,1w
2022-05-24,chop,down,up,0,1.0302,0.424,1w
2022-06-03,chop,neutral,up,0,0.686,0.472,1w
2022-06-14,chop,neutral,up,0,4.2289,0.48,1w
2022-06-24,chop,neutral,up,0,7.7224,0.48,1w
2022-07-06,chop,neutral,down,0,-0.6238,0.488,1w
2022-07-15,chop,neutral,down,0,-6.7735,0.5387,1w
2022-07-26,chop,up,down,0,-6.5746,0.6173,1w
2022-08-04,chop,neutral,down,0,-3.6034,0.5467,1w
2022-08-15,chop,neutral,down,0,-1.0394,0.5453,1w
2022-08-24,chop,neutral,down,0,-5.9431,0.5013,1w
2022-09-02,chop,neutral,down,0,-7.4042,0.4653,1w
2022-09-14,chop,down,down,1,-8.038,0.404,1w
2022-09-23,chop,down,down,1,-5.4448,0.3547,1w
2022-10-04,chop,down,up,0,2.1193,0.2693,1w
2022-10-13,trending_bear,down,up,0,4.6866,0.156,1w
2022-10-24,trending_bear,down,up,0,17.9632,0.144,1w
2022-11-02,trending_bear,down,up,0,10.1908,0.2747,1w
