date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,up,0,0.7847,0.456,1w
2021-01-13,chop,up,neutral,0,0.4742,0.5587,1w
2021-01-25,chop,down,neutral,0,0.2019,0.4013,1w
2021-02-03,high_volatility,down,down,1,-3.9459,0.3213,1w
2021-02-12,high_volatility,neutral,down,0,-2.5544,0.4653,1w
2021-02-24,high_volatility,down,up,0,7.0179,0.428,1w
2021-03-05,crisis,neutral,up,0,7.4689,0.524,1w
2021-03-16,crisis,neutral,neutral,0,0.1835,0.4693,1w
2021-03-25,high_volatility,up,down,0,-4.2651,0.6093,1w
2021-04-06,chop,up,down,0,-7.9552,0.5907,1w
2021-04-15,chop,down,down,1,-10.7643,0.3813,1w
2021-04-26,chop,neutral,down,0,-7.2772,0.4813,1w
2021-05-05,chop,down,down,1,-0.985,0.3227,1w
2021-05-14,crisis,down,up,0,1.9121,0.2333,1w
2021-05-25,high_volatility,down,down,1,-7.2714,0.3507,1w
2021-06-04,trending_bear,down,down,1,-12.3504,0.4253,1w
2021-06-15,chop,down,down,1,-8.2999,0.312,1w
2021-06-24,trending_bear,down,up,0,2.6332,0.148,1w
2021-07-06,trending_bear,down,up,0,12.627,0.1747,1w
2021-07-15,chop,down,up,0,12.7488,0.216,1w
2021-07-26,chop,down,up,0,3.7746,0.3347,1w
2021-08-04,trending_bull,down,down,1,-7.919,0.4453,1w
2021-08-13,trending_bull,up,down,0,-7.1477,0.58,1w
2021-08-24,trending_bull,neutral,down,0,-13.124,0.5253,1w
2021-09-02,chop,down,down,1,-7.5963,0.3227,1w
2021-09-14,chop,down,down,1,-5.8323,0.424,1w
2021-09-23,trending_bear,down,up,0,12.6219,0.324,1w
2021-10-04,trending_bear,down,up,0,9.7124,0.3787,1w
2021-10-13,chop,down,up,0,17.0178,0.4213,1w
2021-10-22,chop,neutral,up,0,13.4969,0.456,1w
2021-11-02,trending_bull,down,up,0,13.2291,0.404,1w
2021-11-11,trending_bull,up,up,1,0.7439,0.56,1w
2021-11-22,trending_bull,up,up,1,0.7915,0.5987,1w
2021-12-02,trending_bull,up,down,0,-0.7846,0.7133,1w
2021-12-13,trending_bull,up,neutral,0,-0.0204,0.72,1w
2021-12-22,trending_bull,up,down,0,-5.8898,0.8653,1w
2022-01-03,chop,up,down,0,-4.1291,0.7947,1w
2022-01-12,chop,up,down,0,-11.2439,0.7933,1w
2022-01-24,chop,up,down,0,-7.0438,0.584,1w
2022-02-02,chop,up,down,0,-4.0655,0.5933,1w
2022-02-11,chop,down,down,1,-5.7859,0.2973,1w
2022-02-23,chop,down,up,0,0.864,0.2253,1w
2022-03-04,chop,down,down,1,-0.7689,0.296,1w
2022-03-15,chop,down,up,0,5.4199,0.184,1w
2022-03-24,chop,down,up,0,2.1513,0.256,1w
2022-04-04,chop,down,neutral,0,-0.4212,0.2947,1w
2022-04-13,chop,down,down,1,-3.3872,0.2747,1w
2022-04-25,chop,down,down,1,-3.6725,0.3733,1w
2022-05-04,chop,down,down,1,-2.0006,0.292,1w
2022-05-13,chop,down,up,0,5.7794,0.408,1w
2022-05-24,chop,down,up,0,11.7565,0.3787,1w
2022-06-03,chop,down,up,0,6.9058,0.3787,1w
2022-06-14,chop,up,up,1,3.7374,0.5733,1w
2022-06-24,chop,up,up,1,3.0793,0.6027,1w
2022-07-06,trending_bull,up,up,1,7.432,0.5933,1w
2022-07-15,trending_bull,up,up,1,4.564,0.5853,1w
2022-07-26,trending_bull,up,up,1,4.825,0.7213,1w
2022-08-04,trending_bull,up,up,1,1.227,0.728,1w
2022-08-15,trending_bull,up,up,1,2.6976,0.792,1w
2022-08-24,trending_bull,up,neutral,0,0.4711,0.8587,1w
2022-09-02,trending_bull,up,down,0,-4.064,0.86,1w
2022-09-14,trending_bull,up,down,0,-4.1473,0.756,1w
2022-09-23,trending_bull,up,down,0,-5.0837,0.7147,1w
2022-10-04,chop,up,down,0,-2.5964,0.6307,1w
2022-10-13,chop,up,down,0,-10.1193,0.5533,1w
2022-10-24,trending_bear,down,up,0,0.609,0.424,1w
2022-11-02,trending_bear,down,down,1,-2.7494,0.2867,1w
2022-11-11,trending_bear,down,up,0,4.7783,0.26,1w
2022-11-22,trending_bear,down,up,0,8.9594,0.2853,1w
2022-12-02,chop,down,up,0,7.6401,0.2733,1w
2022-12-13,chop,down,down,1,-3.3976,0.3347,1w
2022-12-22,trending_bull,neutral,down,0,-1.3125,0.4907,1w
2023-01-04,trending_bull,neutral,down,0,-2.1682,0.5013,1w
2023-01-13,chop,down,up,0,14.9535,0.4067,1w
2023-01-25,chop,up,up,1,12.2631,0.6173,1w
2023-02-03,chop,neutral,up,0,17.0648,0.5013,1w
2023-02-14,high_volatility,up,up,1,4.6164,0.752,1w
2023-02-24,trending_bull,up,up,1,5.4838,0.752,1w
2023-03-07,trending_bull,up,up,1,3.8629,0.788,1w
2023-03-16,trending_bull,up,neutral,0,0.3872,0.704,1w
2023-03-27,trending_bull,up,down,0,-3.3936,0.7133,1w
2023-04-05,trending_bull,up,down,0,-7.3515,0.768,1w
2023-04-17,trending_bull,up,up,1,4.5624,0.7747,1w
2023-04-26,trending_bear,up,up,1,3.6864,0.7253,1w
2023-05-05,trending_bear,up,up,1,1.2825,0.6987,1w
2023-05-16,trending_bull,up,down,0,-5.6373,0.688,1w
2023-05-25,chop,up,down,0,-5.2923,0.6467,1w
2023-06-06,chop,down,up,0,3.7746,0.4093,1w
2023-06-15,chop,down,up,0,10.1332,0.364,1w
2023-06-27,chop,down,up,0,7.8955,0.2987,1w
2023-07-07,chop,down,down,1,-1.6516,0.3733,1w
2023-07-18,chop,up,down,0,-10.5114,0.6173,1w
2023-07-27,crisis,up,down,0,-10.4917,0.5867,1w
2023-08-07,crisis,neutral,up,0,0.9401,0.4707,1w
2023-08-16,high_volatility,down,down,1,-0.679,0.3467,1w
2023-08-25,trending_bear,down,up,0,0.5199,0.3733,1w
2023-09-06,trending_bear,down,up,0,13.4943,0.3787,1w
2023-09-15,trending_bear,down,up,0,5.1492,0.392,1w
2023-09-26,trending_bear,down,down,1,-0.5877,0.4093,1w
2023-10-05,chop,neutral,down,0,-2.4085,0.4987,1w
2023-10-16,chop,down,up,0,17.696,0.376,1w
2023-10-25,chop,down,up,0,20.7848,0.3453,1w
2023-11-03,chop,up,up,1,14.6274,0.668,1w
2023-11-14,high_volatility,up,up,1,1.345,0.7933,1w
2023-11-24,trending_bull,up,down,0,-4.9115,0.7867,1w
2023-12-05,trending_bull,up,down,0,-8.3064,0.9053,1w
2023-12-14,trending_bull,up,down,0,-5.3,0.7933,1w
2023-12-26,trending_bull,up,up,1,2.8562,0.704,1w
