date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-7.1123,0.6507,1w
2021-01-13,trending_bear,up,down,0,-2.5304,0.5987,1w
2021-01-25,trending_bear,down,up,0,3.3423,0.3067,1w
2021-02-03,crisis,down,down,1,-7.3708,0.3573,1w
2021-02-12,high_volatility,down,down,1,-3.7998,0.3467,1w
2021-02-24,high_volatility,down,up,0,6.3842,0.3067,1w
2021-03-05,crisis,down,up,0,7.5832,0.2773,1w
2021-03-16,high_volatility,down,down,1,-11.1621,0.32,1w
2021-03-25,chop,neutral,down,0,-17.3185,0.4653,1w
2021-04-06,chop,down,down,1,-6.3368,0.3867,1w
2021-04-15,chop,down,down,1,-9.0683,0.3027,1w
2021-04-26,chop,down,down,1,-6.8573,0.4013,1w
2021-05-05,chop,down,down,1,-4.2393,0.3653,1w
2021-05-14,high_volatility,down,down,1,-10.2984,0.3147,1w
2021-05-25,high_volatility,down,down,1,-7.4645,0.3507,1w
2021-06-04,chop,neutral,down,0,-18.7411,0.4693,1w
2021-06-15,chop,down,down,1,-4.3135,0.2827,1w
2021-06-24,chop,down,down,1,-2.6083,0.2013,1w
2021-07-06,chop,down,up,0,13.6793,0.256,1w
2021-07-15,chop,down,up,0,8.6334,0.3387,1w
2021-07-26,chop,down,up,0,0.859,0.3787,1w
2021-08-04,chop,down,down,1,-12.692,0.372,1w
2021-08-13,chop,down,down,1,-9.4886,0.4333,1w
2021-08-24,chop,neutral,down,0,-13.7125,0.4707,1w
2021-09-02,chop,down,down,1,-6.06,0.32,1w
2021-09-14,chop,down,down,1,-19.9159,0.4453,1w
2021-09-23,chop,down,down,1,-11.4066,0.312,1w
2021-10-04,chop,down,down,1,-10.2994,0.4093,1w
2021-10-13,chop,down,down,1,-4.6587,0.2733,1w
2021-10-22,trending_bear,down,down,1,-7.9487,0.2547,1w
2021-11-02,chop,down,up,0,20.3905,0.2307,1w
2021-11-11,trending_bear,down,down,1,-5.0425,0.2693,1w
2021-11-22,chop,down,down,1,-8.9446,0.2747,1w
2021-12-02,chop,down,down,1,-15.4069,0.3707,1w
2021-12-13,chop,down,up,0,7.0166,0.3173,1w
2021-12-22,chop,down,up,0,23.0078,0.32,1w
2022-01-03,chop,down,up,0,30.8619,0.2813,1w
2022-01-12,chop,neutral,up,0,6.8467,0.488,1w
2022-01-24,chop,neutral,up,0,8.3811,0.4947,1w
2022-02-02,trending_bull,up,neutral,0,0.1419,0.6987,1w
2022-02-11,trending_bull,up,down,0,-5.2502,0.56,1w
2022-02-23,chop,up,down,0,-5.8284,0.6053,1w
2022-03-04,chop,up,down,0,-6.5339,0.5773,1w
2022-03-15,chop,up,down,0,-14.126,0.5507,1w
2022-03-24,chop,up,down,0,-11.4162,0.64,1w
2022-04-04,chop,up,down,0,-1.3066,0.5907,1w
2022-04-13,chop,down,up,0,27.9137,0.3813,1w
2022-04-25,chop,down,up,0,31.7907,0.344,1w
2022-05-04,chop,down,up,0,34.7975,0.3413,1w
2022-05-13,chop,neutral,up,0,23.6001,0.54,1w
2022-05-24,trending_bull,up,up,1,4.8922,0.5867,1w
2022-06-03,trending_bull,up,down,0,-0.941,0.6733,1w
2022-06-14,trending_bull,up,up,1,1.9247,0.7173,1w
2022-06-24,trending_bull,up,down,0,-4.3175,0.712,1w
2022-07-06,trending_bull,up,down,0,-4.4575,0.7467,1w
2022-07-15,trending_bull,up,down,0,-13.2235,0.804,1w
2022-07-26,chop,up,down,0,-10.7236,0.768,1w
2022-08-04,chop,up,down,0,-1.9808,0.6893,1w
2022-08-15,chop,neutral,neutral,0,0.1482,0.524,1w
