date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,up,0,25.0681,0.5453,1w
2021-01-13,high_volatility,up,up,1,10.4293,0.6613,1w
2021-01-25,crisis,up,up,1,7.057,0.6173,1w
2021-02-03,crisis,up,up,1,2.9844,0.736,1w
2021-02-12,crisis,up,neutral,0,0.0782,0.724,1w
2021-02-24,crisis,up,up,1,12.9503,0.7693,1w
2021-03-05,high_volatility,up,up,1,2.2065,0.8533,1w
2021-03-16,crisis,up,up,1,9.4447,0.82,1w
2021-03-25,crisis,up,down,0,-3.4598,0.8507,1w
2021-04-06,high_volatility,up,up,1,0.5474,0.7827,1w
2021-04-15,high_volatility,up,down,0,-2.4684,0.708,1w
2021-04-26,chop,up,up,1,14.5836,0.6333,1w
2021-05-05,crisis,up,up,1,11.7576,0.5707,1w
2021-05-14,crisis,neutral,up,0,6.7991,0.5173,1w
2021-05-25,crisis,up,down,0,-15.9433,0.6187,1w
2021-06-04,high_volatility,up,down,0,-25.4204,0.6387,1w
2021-06-15,high_volatility,up,down,0,-26.9821,0.6173,1w
2021-06-24,crisis,down,down,1,-3.8954,0.3813,1w
2021-07-06,crisis,down,up,0,3.4563,0.3733,1w
2021-07-15,high_volatility,down,up,0,17.6912,0.28,1w
2021-07-26,trending_bear,down,up,0,17.3783,0.4427,1w
2021-08-04,chop,down,up,0,18.9241,0.3467,1w
2021-08-13,chop,down,up,0,9.4674,0.4133,1w
2021-08-24,chop,down,down,1,-3.2993,0.432,1w
2021-09-02,chop,down,neutral,0,-0.0891,0.3347,1w
2021-09-14,chop,down,down,1,-2.5803,0.4133,1w
2021-09-23,chop,up,up,1,24.45,0.5653,1w
2021-10-04,chop,up,up,1,9.5451,0.6573,1w
2021-10-13,chop,up,up,1,12.418,0.7133,1w
2021-10-22,chop,up,up,1,3.8615,0.7307,1w
2021-11-02,trending_bull,up,up,1,3.6507,0.7707,1w
2021-11-11,trending_bull,up,down,0,-15.6686,0.7253,1w
2021-11-22,trending_bull,up,down,0,-8.8427,0.6133,1w
2021-12-02,chop,up,down,0,-9.3819,0.6347,1w
2021-12-13,chop,neutral,up,0,3.5646,0.456,1w
2021-12-22,chop,up,up,1,5.7838,0.6787,1w
2022-01-03,chop,neutral,up,0,0.9521,0.4867,1w
2022-01-12,chop,neutral,up,0,2.9507,0.52,1w
2022-01-24,chop,neutral,down,0,-9.7887,0.4707,1w
2022-02-02,chop,down,down,1,-2.9771,0.3787,1w
2022-02-11,chop,down,down,1,-23.0693,0.3547,1w
2022-02-23,chop,down,down,1,-6.8222,0.2547,1w
2022-03-04,chop,down,up,0,2.0849,0.312,1w
2022-03-15,trending_bear,down,up,0,17.1859,0.2253,1w
2022-03-24,trending_bear,down,up,0,8.3801,0.2747,1w
2022-04-04,trending_bull,down,down,1,-6.8988,0.4333,1w
2022-04-13,chop,down,down,1,-7.8159,0.4093,1w
