date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-3.2506,0.656,1w
2021-01-13,chop,up,down,0,-4.4076,0.62,1w
2021-01-25,chop,neutral,down,0,-4.1657,0.5387,1w
2021-02-03,high_volatility,up,down,0,-5.7717,0.5653,1w
2021-02-12,crisis,neutral,neutral,0,0.0,0.4933,1w
2021-02-24,high_volatility,neutral,up,0,4.4309,0.4587,1w
2021-03-05,crisis,neutral,up,0,4.7494,0.5,1w
2021-03-16,high_volatility,down,up,0,4.0221,0.4253,1w
2021-03-25,chop,down,up,0,4.2012,0.4467,1w
2021-04-06,chop,neutral,down,0,-11.9165,0.4947,1w
2021-04-15,high_volatility,neutral,down,0,-17.9725,0.4587,1w
2021-04-26,chop,neutral,down,0,-16.0168,0.5293,1w
2021-05-05,crisis,down,down,1,-2.9789,0.256,1w
2021-05-14,crisis,down,down,1,-7.5107,0.2253,1w
2021-05-25,high_volatility,down,down,1,-4.6707,0.312,1w
2021-06-04,trending_bear,down,down,1,-4.1844,0.26,1w
2021-06-15,high_volatility,down,up,0,2.7301,0.1653,1w
2021-06-24,trending_bear,down,up,0,2.3392,0.2093,1w
2021-07-06,trending_bear,down,up,0,3.0425,0.156,1w
2021-07-15,chop,down,up,0,12.1144,0.1413,1w
2021-07-26,chop,down,up,0,2.434,0.1773,1w
2021-08-04,chop,down,down,1,-0.9743,0.3507,1w
2021-08-13,chop,up,down,0,-6.2391,0.5907,1w
2021-08-24,chop,down,down,1,-10.2477,0.448,1w
2021-09-02,chop,down,down,1,-6.8918,0.4213,1w
2021-09-14,chop,up,down,0,-15.7014,0.656,1w
2021-09-23,trending_bear,down,down,1,-6.112,0.3733,1w
2021-10-04,trending_bear,down,down,1,-7.6373,0.3653,1w
2021-10-13,trending_bear,down,neutral,0,0.0469,0.2413,1w
2021-10-22,trending_bear,down,down,1,-2.0888,0.2693,1w
2021-11-02,trending_bear,down,up,0,4.5271,0.2253,1w
2021-11-11,trending_bear,down,up,0,1.2106,0.1907,1w
2021-11-22,chop,down,down,1,-6.115,0.2187,1w
2021-12-02,chop,down,down,1,-7.2515,0.2947,1w
2021-12-13,chop,down,down,1,-3.1027,0.2627,1w
2021-12-22,chop,down,up,0,7.1852,0.2667,1w
2022-01-03,chop,down,up,0,10.8605,0.26,1w
2022-01-12,chop,down,up,0,9.0894,0.4173,1w
2022-01-24,chop,down,up,0,4.0393,0.436,1w
2022-02-02,chop,up,down,0,-3.1361,0.588,1w
2022-02-11,trending_bull,up,down,0,-9.5475,0.5773,1w
2022-02-23,trending_bull,neutral,down,0,-10.9982,0.5267,1w
2022-03-04,chop,down,down,1,-1.7192,0.4293,1w
2022-03-15,trending_bear,down,up,0,3.1513,0.368,1w
2022-03-24,trending_bear,down,up,0,7.7252,0.4093,1w
2022-04-04,trending_bear,neutral,up,0,4.8146,0.4693,1w
2022-04-13,chop,neutral,up,0,1.8591,0.4653,1w
2022-04-25,chop,down,down,1,-1.029,0.424,1w
2022-05-04,chop,down,neutral,0,0.0473,0.4093,1w
2022-05-13,chop,down,up,0,8.5719,0.3653,1w
2022-05-24,chop,down,up,0,9.5222,0.3507,1w
2022-06-03,chop,up,up,1,5.9593,0.5587,1w
2022-06-14,chop,up,up,1,3.3282,0.7347,1w
2022-06-24,chop,up,up,1,3.2807,0.764,1w
2022-07-06,chop,up,down,0,-1.7133,0.744,1w
2022-07-15,chop,up,down,0,-4.9733,0.724,1w
2022-07-26,chop,up,down,0,-2.3907,0.732,1w
2022-08-04,chop,up,down,0,-3.5234,0.5587,1w
2022-08-15,chop,up,down,0,-1.0024,0.588,1w
2022-08-24,chop,up,down,0,-6.7768,0.6627,1w
2022-09-02,chop,neutral,down,0,-7.7233,0.4693,1w
2022-09-14,chop,down,down,1,-4.1202,0.348,1w
2022-09-23,trending_bear,down,down,1,-2.6437,0.2213,1w
2022-10-04,trending_bear,down,down,1,-7.32,0.152,1w
2022-10-13,chop,down,down,1,-9.8353,0.1867,1w
2022-10-24,chop,down,up,0,1.3274,0.152,1w
2022-11-02,trending_bear,down,up,0,5.3302,0.1173,1w
2022-11-11,trending_bear,down,up,0,7.9908,0.168,1w
2022-11-22,chop,down,up,0,7.584,0.2267,1w
2022-12-02,chop,down,up,0,5.41,0.3213,1w
2022-12-13,chop,down,neutral,0,-0.339,0.4093,1w
2022-12-22,trending_bull,neutral,down,0,-3.1248,0.5427,1w
2023-01-04,trending_bull,neutral,down,0,-3.6079,0.5493,1w
2023-01-13,chop,neutral,down,0,-2.5748,0.52,1w
2023-01-25,chop,up,down,0,-0.5747,0.584,1w
2023-02-03,chop,up,up,1,5.7959,0.5827,1w
2023-02-14,chop,up,up,1,4.4408,0.5733,1w
2023-02-24,chop,up,up,1,4.1176,0.5573,1w
2023-03-07,chop,up,down,0,-0.7557,0.6227,1w
2023-03-16,chop,neutral,down,0,-3.2996,0.5013,1w
2023-03-27,chop,neutral,up,0,3.6919,0.4973,1w
2023-04-05,chop,neutral,up,0,4.5768,0.5187,1w
2023-04-17,chop,neutral,up,0,11.8524,0.4587,1w
2023-04-26,chop,up,up,1,0.8597,0.6667,1w
2023-05-05,chop,up,down,0,-1.4393,0.724,1w
2023-05-16,trending_bull,up,down,0,-0.5664,0.7227,1w
2023-05-25,chop,up,up,1,5.229,0.6987,1w
2023-06-06,chop,up,up,1,5.1913,0.5827,1w
2023-06-15,chop,up,up,1,4.9916,0.6307,1w
2023-06-27,chop,up,up,1,4.6197,0.656,1w
2023-07-07,trending_bull,up,up,1,5.1067,0.6387,1w
2023-07-18,trending_bull,up,up,1,1.6698,0.8387,1w
2023-07-27,trending_bull,up,up,1,2.3004,0.7213,1w
2023-08-07,crisis,up,up,1,7.6528,0.66,1w
2023-08-16,trending_bull,up,up,1,8.9063,0.6307,1w
2023-08-25,trending_bull,up,up,1,3.2832,0.7693,1w
2023-09-06,trending_bull,up,neutral,0,-0.2199,0.8347,1w
2023-09-15,trending_bull,up,down,0,-3.5294,0.8307,1w
2023-09-26,trending_bull,up,up,1,2.355,0.7413,1w
2023-10-05,trending_bull,up,down,0,-3.663,0.68,1w
2023-10-16,chop,up,neutral,0,-0.0669,0.6173,1w
2023-10-25,chop,up,up,1,1.4999,0.6413,1w
2023-11-03,chop,neutral,up,0,2.4434,0.4773,1w
2023-11-14,high_volatility,up,neutral,0,0.2874,0.58,1w
2023-11-24,chop,neutral,down,0,-5.4836,0.5467,1w
2023-12-05,chop,neutral,down,0,-5.9152,0.456,1w
2023-12-14,chop,down,down,1,-3.4617,0.3507,1w
2023-12-26,chop,down,down,1,-3.3886,0.3893,1w
2024-01-05,chop,down,up,0,6.9237,0.3507,1w
2024-01-17,high_volatility,down,up,0,2.1356,0.3653,1w
2024-01-26,high_volatility,down,up,0,7.5934,0.3387,1w
2024-02-06,high_volatility,neutral,down,0,-0.6309,0.4787,1w
2024-02-15,chop,down,down,1,-1.8982,0.412,1w
2024-02-27,chop,down,down,1,-3.7616,0.3893,1w
2024-03-07,crisis,down,down,1,-10.5387,0.396,1w
2024-03-18,high_volatility,down,down,1,-1.7971,0.3707,1w
2024-03-27,chop,down,down,1,-2.8639,0.4387,1w
2024-04-08,crisis,down,up,0,4.2178,0.3187,1w
2024-04-17,high_volatility,down,up,0,5.7037,0.4453,1w
2024-04-26,chop,neutral,neutral,0,-0.3985,0.5013,1w
2024-05-07,chop,down,down,1,-0.8865,0.4387,1w
2024-05-16,chop,neutral,down,0,-3.15,0.4867,1w
2024-05-28,chop,down,down,1,-2.8028,0.3893,1w
2024-06-06,chop,neutral,down,0,-3.2001,0.4693,1w
2024-06-17,chop,down,down,1,-1.9294,0.448,1w
2024-06-27,chop,down,down,1,-2.9141,0.3893,1w
2024-07-09,chop,neutral,down,0,-5.3751,0.4867,1w
2024-07-18,chop,neutral,down,0,-5.6792,0.456,1w
2024-07-29,chop,down,up,0,3.307,0.304,1w
2024-08-07,trending_bear,down,up,0,6.9342,0.26,1w
2024-08-16,trending_bear,down,up,0,0.6048,0.2693,1w
2024-08-27,chop,down,down,1,-1.9823,0.304,1w
2024-09-06,chop,down,down,1,-4.3425,0.3733,1w
2024-09-17,chop,down,down,1,-3.3378,0.3467,1w
2024-09-26,chop,down,down,1,-5.0518,0.3707,1w
2024-10-07,chop,down,down,1,-5.2768,0.3213,1w
2024-10-16,chop,down,down,1,-5.2927,0.2693,1w
2024-10-25,chop,down,up,0,4.5323,0.4013,1w
2024-11-05,trending_bear,down,up,0,1.4905,0.3467,1w
2024-11-14,trending_bear,down,up,0,4.7313,0.2747,1w
2024-11-25,chop,down,up,0,2.4777,0.312,1w
