date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,neutral,0,-0.1375,0.4907,1w
2021-01-13,chop,up,down,0,-12.1249,0.6333,1w
2021-01-25,chop,down,up,0,5.3048,0.4253,1w
2021-02-03,chop,neutral,up,0,12.8405,0.544,1w
2021-02-12,chop,neutral,up,0,10.8591,0.4947,1w
2021-02-24,chop,neutral,up,0,31.5307,0.512,1w
2021-03-05,chop,up,up,1,36.6844,0.7533,1w
2021-03-16,crisis,up,up,1,56.3962,0.704,1w
2021-03-25,high_volatility,up,up,1,29.2778,0.7267,1w
2021-04-06,crisis,up,up,1,15.6766,0.8587,1w
2021-04-15,crisis,up,down,0,-9.5184,0.8507,1w
2021-04-26,crisis,up,up,1,12.4248,0.9307,1w
2021-05-05,crisis,up,up,1,14.1739,0.9173,1w
2021-05-14,crisis,up,up,1,17.9843,0.816,1w
2021-05-25,crisis,up,down,0,-26.5514,0.9133,1w
2021-06-04,crisis,up,down,0,-32.861,0.868,1w
2021-06-15,crisis,up,down,0,-11.5356,0.8453,1w
2021-06-24,crisis,neutral,up,0,28.1847,0.5307,1w
2021-07-06,high_volatility,down,up,0,35.1975,0.392,1w
2021-07-15,high_volatility,down,up,0,26.5823,0.3787,1w
2021-07-26,high_volatility,up,up,1,5.3551,0.5693,1w
2021-08-04,high_volatility,neutral,up,0,12.6664,0.4733,1w
2021-08-13,high_volatility,up,up,1,5.8785,0.608,1w
2021-08-24,high_volatility,neutral,down,0,-10.1831,0.5213,1w
2021-09-02,high_volatility,down,down,1,-11.6963,0.448,1w
2021-09-14,high_volatility,up,down,0,-13.9328,0.5933,1w
2021-09-23,crisis,up,down,0,-8.192,0.668,1w
2021-10-04,high_volatility,up,down,0,-9.263,0.6987,1w
2021-10-13,high_volatility,up,down,0,-2.9836,0.6173,1w
2021-10-22,high_volatility,down,up,0,8.1941,0.3227,1w
2021-11-02,high_volatility,neutral,up,0,2.944,0.4667,1w
2021-11-11,high_volatility,down,down,1,-13.3975,0.4253,1w
2021-11-22,chop,down,down,1,-16.3088,0.3347,1w
2021-12-02,chop,down,down,1,-20.3105,0.376,1w
2021-12-13,chop,down,down,1,-5.7936,0.2347,1w
2021-12-22,chop,down,down,1,-2.2571,0.376,1w
2022-01-03,chop,down,down,1,-4.1253,0.216,1w
2022-01-12,trending_bear,down,down,1,-11.3473,0.2933,1w
2022-01-24,chop,down,down,1,-1.7344,0.3787,1w
2022-02-02,chop,down,up,0,5.9053,0.2747,1w
2022-02-11,trending_bear,down,down,1,-6.8002,0.1947,1w
2022-02-23,chop,down,down,1,-12.0069,0.216,1w
2022-03-04,chop,down,down,1,-1.4264,0.2973,1w
2022-03-15,chop,down,up,0,10.0266,0.248,1w
2022-03-24,chop,down,up,0,4.1721,0.3547,1w
2022-04-04,chop,neutral,down,0,-4.7852,0.452,1w
2022-04-13,chop,down,up,0,7.667,0.416,1w
2022-04-25,chop,down,up,0,17.0617,0.416,1w
2022-05-04,chop,neutral,up,0,11.9265,0.4693,1w
