date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-11.2565,0.7107,1w
2021-01-13,chop,up,down,0,-16.4361,0.5573,1w
2021-01-25,chop,neutral,down,0,-18.5833,0.456,1w
2021-02-03,trending_bear,down,down,1,-9.5532,0.2693,1w
2021-02-12,high_volatility,down,neutral,0,-0.2726,0.1773,1w
2021-02-24,trending_bear,down,up,0,4.6682,0.1373,1w
2021-03-05,trending_bear,down,down,1,-0.6648,0.2013,1w
2021-03-16,trending_bear,down,down,1,-9.4822,0.1453,1w
2021-03-25,trending_bear,down,down,1,-8.2516,0.2013,1w
2021-04-06,trending_bear,down,down,1,-12.6016,0.1627,1w
2021-04-15,trending_bear,down,neutral,0,-0.2616,0.1373,1w
2021-04-26,trending_bear,down,down,1,-1.1956,0.1467,1w
2021-05-05,trending_bear,down,up,0,5.2412,0.156,1w
2021-05-14,trending_bear,down,up,0,0.9974,0.372,1w
2021-05-25,chop,down,up,0,0.5635,0.388,1w
2021-06-04,chop,down,up,0,0.5769,0.412,1w
2021-06-15,chop,down,up,0,2.0123,0.3307,1w
2021-06-24,chop,down,up,0,6.9971,0.3187,1w
2021-07-06,chop,down,up,0,17.4439,0.4013,1w
2021-07-15,chop,neutral,up,0,32.6025,0.4707,1w
2021-07-26,chop,up,up,1,16.2753,0.5893,1w
2021-08-04,trending_bull,up,up,1,1.5455,0.7227,1w
2021-08-13,trending_bull,up,down,0,-9.4178,0.872,1w
2021-08-24,trending_bull,up,down,0,-11.5001,0.8213,1w
2021-09-02,trending_bull,up,down,0,-4.3533,0.704,1w
2021-09-14,chop,up,down,0,-4.3445,0.7693,1w
2021-09-23,chop,up,up,1,4.5498,0.6573,1w
2021-10-04,chop,up,up,1,10.1575,0.6653,1w
2021-10-13,chop,up,up,1,19.1761,0.616,1w
2021-10-22,chop,up,up,1,17.1278,0.58,1w
2021-11-02,chop,up,up,1,13.6423,0.6093,1w
2021-11-11,high_volatility,neutral,up,0,2.1111,0.4933,1w
2021-11-22,crisis,up,down,0,-4.0819,0.58,1w
2021-12-02,high_volatility,up,down,0,-9.0814,0.7,1w
2021-12-13,trending_bull,up,up,1,4.0133,0.6627,1w
2021-12-22,chop,up,up,1,7.6132,0.7147,1w
2022-01-03,chop,up,up,1,14.8127,0.5907,1w
2022-01-12,chop,up,up,1,1.7921,0.7347,1w
2022-01-24,chop,up,neutral,0,-0.2796,0.708,1w
2022-02-02,trending_bull,up,down,0,-8.3425,0.7133,1w
2022-02-11,crisis,up,down,0,-7.6139,0.5853,1w
2022-02-23,high_volatility,down,down,1,-2.3722,0.436,1w
2022-03-04,trending_bear,down,up,0,0.5969,0.392,1w
2022-03-15,trending_bear,down,up,0,7.6201,0.4093,1w
2022-03-24,trending_bear,neutral,up,0,4.7348,0.5053,1w
2022-04-04,chop,up,up,1,2.6319,0.56,1w
2022-04-13,chop,neutral,up,0,0.7848,0.4893,1w
2022-04-25,chop,neutral,down,0,-1.1307,0.5013,1w
2022-05-04,chop,down,down,1,-4.8575,0.3733,1w
2022-05-13,chop,neutral,up,0,3.3907,0.5013,1w
2022-05-24,chop,down,up,0,10.2789,0.4253,1w
2022-06-03,chop,neutral,up,0,3.6424,0.4707,1w
2022-06-14,chop,up,up,1,3.2149,0.6333,1w
2022-06-24,chop,up,down,0,-1.425,0.6587,1w
2022-07-06,chop,up,up,1,3.9051,0.5867,1w
2022-07-15,chop,up,up,1,2.0872,0.5733,1w
2022-07-26,chop,up,up,1,3.7315,0.62,1w
2022-08-04,chop,neutral,neutral,0,-0.2723,0.5467,1w
2022-08-15,chop,up,up,1,0.9044,0.6173,1w
2022-08-24,chop,up,up,1,0.9912,0.6733,1w
2022-09-02,trending_bull,up,up,1,4.0018,0.616,1w
2022-09-14,chop,up,down,0,-3.155,0.5907,1w
2022-09-23,chop,neutral,down,0,-5.8684,0.532,1w
2022-10-04,chop,up,down,0,-6.9174,0.6587,1w
2022-10-13,chop,neutral,down,0,-2.1386,0.4587,1w
2022-10-24,chop,down,up,0,7.1655,0.4253,1w
2022-11-02,chop,down,up,0,7.1785,0.3733,1w
2022-11-11,chop,down,up,0,4.1754,0.3973,1w
2022-11-22,chop,neutral,up,0,9.2176,0.4573,1w
2022-12-02,trending_bull,neutral,up,0,3.4525,0.548,1w
2022-12-13,trending_bull,neutral,down,0,-11.1875,0.5427,1w
2022-12-22,trending_bull,up,down,0,-11.0323,0.652,1w
2023-01-04,trending_bull,neutral,down,0,-1.5028,0.52,1w
2023-01-13,trending_bear,down,neutral,0,0.2,0.4067,1w
2023-01-25,trending_bear,up,down,0,-0.6783,0.5867,1w
2023-02-03,chop,neutral,down,0,-2.7673,0.5013,1w
2023-02-14,trending_bear,down,down,1,-2.8335,0.376,1w
2023-02-24,chop,down,up,0,1.8429,0.404,1w
2023-03-07,chop,down,up,0,2.888,0.376,1w
2023-03-16,chop,down,neutral,0,0.1262,0.2747,1w
2023-03-27,chop,down,down,1,-1.4925,0.268,1w
2023-04-05,chop,neutral,up,0,3.3327,0.4587,1w
2023-04-17,chop,down,up,0,10.3229,0.4427,1w
2023-04-26,chop,neutral,up,0,4.2529,0.4827,1w
2023-05-05,chop,neutral,down,0,-0.6505,0.544,1w
2023-05-16,high_volatility,neutral,down,0,-3.7999,0.52,1w
2023-05-25,chop,up,down,0,-2.8661,0.5933,1w
2023-06-06,chop,up,down,0,-4.3042,0.588,1w
2023-06-15,chop,up,up,1,14.3982,0.5573,1w
2023-06-27,chop,down,up,0,18.8342,0.444,1w
2023-07-07,chop,down,up,0,5.541,0.424,1w
2023-07-18,high_volatility,up,up,1,2.842,0.7747,1w
2023-07-27,crisis,up,down,0,-1.705,0.7253,1w
2023-08-07,crisis,neutral,up,0,2.4773,0.5173,1w
2023-08-16,high_volatility,up,down,0,-0.5276,0.6613,1w
2023-08-25,chop,up,up,1,5.309,0.6173,1w
2023-09-06,chop,up,up,1,8.8345,0.58,1w
2023-09-15,chop,up,up,1,1.8974,0.68,1w
2023-09-26,trending_bull,up,up,1,2.0184,0.7293,1w
2023-10-05,trending_bull,up,up,1,4.1342,0.724,1w
2023-10-16,chop,up,up,1,11.1016,0.5587,1w
2023-10-25,trending_bull,up,up,1,14.5692,0.5787,1w
2023-11-03,trending_bull,up,up,1,11.9538,0.7227,1w
2023-11-14,crisis,up,neutral,0,0.05,0.7253,1w
2023-11-24,high_volatility,up,down,0,-10.3713,0.7933,1w
2023-12-05,trending_bull,up,down,0,-8.4132,0.82,1w
2023-12-14,trending_bull,up,down,0,-4.5736,0.6787,1w
2023-12-26,trending_bear,up,down,0,-4.652,0.58,1w
2024-01-05,trending_bear,up,up,1,0.7302,0.5813,1w
2024-01-17,chop,neutral,up,0,21.7888,0.524,1w
2024-01-26,chop,neutral,up,0,22.6929,0.4707,1w
2024-02-06,chop,neutral,down,0,-1.3685,0.488,1w
2024-02-15,crisis,up,down,0,-3.6521,0.632,1w
2024-02-27,high_volatility,neutral,down,0,-5.689,0.5387,1w
