date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-01,trending_bull,up,down,0,-6.5336,0.7587,1w
2021-01-08,trending_bull,up,up,1,5.574,0.8427,1w
2021-01-15,trending_bear,up,up,1,29.1419,0.7107,1w
2021-01-22,trending_bear,up,up,1,22.5791,0.5893,1w
2021-01-29,chop,up,up,1,20.3033,0.6013,1w
2021-02-05,chop,up,up,1,17.4671,0.56,1w
2021-02-12,chop,up,up,1,19.1478,0.6053,1w
2021-02-19,chop,up,down,0,-9.3798,0.6347,1w
2021-02-26,chop,up,down,0,-4.7144,0.5733,1w
2021-03-05,chop,up,down,0,-3.3385,0.7293,1w
2021-03-12,chop,up,down,0,-4.1526,0.588,1w
2021-03-19,chop,up,down,0,-1.6979,0.752,1w
2021-03-26,chop,up,down,0,-2.6699,0.7253,1w
2021-04-02,chop,up,down,0,-4.98,0.5867,1w
2021-04-09,trending_bear,neutral,down,0,-11.885,0.4947,1w
2021-04-16,trending_bear,neutral,down,0,-19.7554,0.5013,1w
2021-04-23,trending_bear,down,down,1,-18.5061,0.3413,1w
2021-04-30,trending_bear,down,down,1,-24.1202,0.2693,1w
2021-05-07,trending_bear,down,down,1,-19.0586,0.2253,1w
2021-05-14,trending_bear,down,up,0,20.3114,0.216,1w
2021-05-21,trending_bear,down,up,0,13.1283,0.1653,1w
2021-05-28,trending_bear,down,down,1,-12.9214,0.18,1w
2021-06-04,trending_bear,down,down,1,-3.174,0.304,1w
2021-06-11,chop,down,down,1,-6.3782,0.2747,1w
2021-06-18,chop,down,up,0,1.8202,0.1987,1w
2021-06-25,chop,down,up,0,18.7572,0.304,1w
2021-07-02,chop,down,up,0,28.2111,0.3507,1w
2021-07-09,chop,down,up,0,9.7758,0.3733,1w
2021-07-16,chop,up,down,0,-2.7928,0.612,1w
2021-07-23,trending_bull,up,down,0,-13.3951,0.6613,1w
2021-07-30,trending_bull,neutral,down,0,-7.9927,0.5427,1w
2021-08-06,chop,neutral,down,0,-9.5926,0.5013,1w
2021-08-13,chop,neutral,down,0,-33.8344,0.536,1w
2021-08-20,chop,neutral,down,0,-28.316,0.524,1w
2021-08-27,chop,neutral,down,0,-33.0639,0.5187,1w
2021-09-03,trending_bear,down,down,1,-8.9489,0.2747,1w
2021-09-10,trending_bear,down,down,1,-8.7436,0.224,1w
2021-09-17,trending_bear,down,down,1,-38.0998,0.1533,1w
2021-09-24,trending_bear,down,down,1,-35.5867,0.1387,1w
2021-10-01,trending_bear,down,down,1,-35.8996,0.148,1w
2021-10-08,trending_bear,down,up,0,13.9044,0.0653,1w
2021-10-15,trending_bear,down,down,1,-2.8788,0.104,1w
2021-10-22,trending_bear,down,up,0,48.7826,0.0987,1w
2021-10-29,trending_bear,down,up,0,41.1419,0.152,1w
2021-11-05,trending_bear,down,up,0,30.4167,0.224,1w
2021-11-12,trending_bull,down,up,0,22.3636,0.3733,1w
2021-11-19,trending_bull,neutral,up,0,6.9237,0.48,1w
2021-11-26,trending_bull,down,down,1,-2.0665,0.424,1w
2021-12-03,trending_bull,neutral,down,0,-18.9588,0.544,1w
2021-12-10,trending_bull,up,up,1,1.3863,0.752,1w
2021-12-17,chop,up,down,0,-2.3935,0.668,1w
2021-12-24,chop,up,down,0,-15.8215,0.6987,1w
2021-12-31,chop,up,down,0,-22.3045,0.6387,1w
2022-01-07,chop,up,down,0,-5.6364,0.5813,1w
2022-01-14,trending_bear,down,down,1,-3.0217,0.3867,1w
2022-01-21,trending_bear,down,down,1,-3.3719,0.2987,1w
2022-01-28,trending_bear,down,up,0,13.6477,0.304,1w
2022-02-04,trending_bear,down,up,0,18.045,0.2013,1w
2022-02-11,trending_bear,down,neutral,0,-0.0371,0.2947,1w
2022-02-18,trending_bull,neutral,down,0,-22.8013,0.4787,1w
2022-02-25,trending_bull,down,down,1,-26.8137,0.4467,1w
2022-03-04,trending_bear,down,down,1,-0.8504,0.3213,1w
2022-03-11,trending_bear,down,up,0,5.6765,0.3733,1w
2022-03-18,trending_bear,down,up,0,5.624,0.412,1w
2022-03-25,trending_bear,down,down,1,-5.8813,0.4493,1w
2022-04-01,trending_bear,neutral,down,0,-4.9585,0.4533,1w
2022-04-08,chop,neutral,up,0,7.0343,0.4653,1w
2022-04-15,chop,down,up,0,16.2093,0.4293,1w
2022-04-22,chop,down,up,0,29.4625,0.3187,1w
2022-04-29,chop,down,up,0,26.2906,0.2987,1w
2022-05-06,trending_bull,up,up,1,13.2009,0.5827,1w
2022-05-13,trending_bull,up,down,0,-6.8273,0.728,1w
2022-05-20,trending_bull,up,up,1,2.6225,0.7587,1w
2022-05-27,trending_bull,up,down,0,-0.8213,0.724,1w
2022-06-03,trending_bull,up,up,1,8.7433,0.68,1w
2022-06-10,trending_bull,up,down,0,-15.1124,0.7947,1w
2022-06-17,chop,up,up,1,4.2802,0.768,1w
2022-06-24,chop,up,up,1,15.756,0.7693,1w
2022-07-01,chop,up,up,1,25.4401,0.5907,1w
2022-07-08,chop,up,up,1,4.4875,0.6053,1w
2022-07-15,chop,up,up,1,14.8735,0.56,1w
2022-07-22,trending_bull,up,up,1,6.6451,0.584,1w
2022-07-29,trending_bull,up,up,1,2.3129,0.5867,1w
2022-08-05,trending_bull,up,down,0,-10.6551,0.7387,1w
2022-08-12,trending_bull,up,down,0,-2.8924,0.6053,1w
2022-08-19,chop,up,down,0,-4.797,0.6333,1w
2022-08-26,chop,up,down,0,-9.4788,0.6547,1w
2022-09-02,chop,up,up,1,2.9967,0.6933,1w
2022-09-09,chop,neutral,up,0,1.8599,0.4707,1w
2022-09-16,chop,neutral,down,0,-8.9228,0.5053,1w
2022-09-23,chop,neutral,down,0,-1.7991,0.496,1w
2022-09-30,chop,neutral,up,0,0.6522,0.456,1w
2022-10-07,trending_bear,down,up,0,7.6874,0.212,1w
2022-10-14,trending_bull,neutral,up,0,6.0041,0.4867,1w
2022-10-21,chop,down,down,1,-2.1839,0.4293,1w
2022-10-28,chop,down,down,1,-0.5477,0.368,1w
2022-11-04,chop,up,down,0,-5.3735,0.6,1w
2022-11-11,chop,neutral,down,0,-2.1842,0.524,1w
2022-11-18,chop,neutral,down,0,-10.1247,0.4907,1w
2022-11-25,chop,down,down,1,-9.1791,0.4093,1w
2022-12-02,chop,neutral,down,0,-10.908,0.4707,1w
2022-12-09,chop,down,down,1,-0.8036,0.4267,1w
2022-12-16,trending_bear,down,down,1,-1.5706,0.2627,1w
2022-12-23,trending_bear,down,down,1,-2.7132,0.224,1w
2022-12-30,trending_bear,down,up,0,1.0234,0.26,1w
2023-01-06,trending_bear,down,down,1,-1.8374,0.176,1w
2023-01-13,trending_bear,down,down,1,-3.3677,0.1787,1w
2023-01-20,trending_bear,down,down,1,-6.0246,0.2453,1w
2023-01-27,trending_bear,down,up,0,9.6126,0.268,1w
2023-02-03,chop,down,up,0,16.0127,0.2093,1w
2023-02-10,chop,down,up,0,32.1496,0.3653,1w
2023-02-17,trending_bull,up,up,1,10.1591,0.596,1w
2023-02-24,trending_bull,up,up,1,12.5172,0.6227,1w
2023-03-03,trending_bull,up,down,0,-1.2382,0.7653,1w
2023-03-10,high_volatility,up,up,1,20.2061,0.6747,1w
2023-03-17,crisis,up,up,1,11.3123,0.736,1w
2023-03-24,trending_bull,up,up,1,7.302,0.6987,1w
2023-03-31,crisis,up,neutral,0,-0.4734,0.8093,1w
2023-04-07,crisis,up,up,1,2.2394,0.84,1w
2023-04-14,crisis,up,up,1,12.5979,0.7787,1w
2023-04-21,crisis,up,up,1,7.2295,0.7347,1w
2023-04-28,crisis,up,down,0,-2.2453,0.6747,1w
2023-05-05,crisis,up,down,0,-8.7399,0.6987,1w
2023-05-12,crisis,up,down,0,-2.7954,0.696,1w
2023-05-19,high_volatility,neutral,up,0,24.5757,0.5413,1w
2023-05-26,chop,up,up,1,28.7244,0.5773,1w
2023-06-02,chop,neutral,up,0,34.3477,0.5013,1w
2023-06-09,trending_bull,up,up,1,38.1874,0.7187,1w
2023-06-16,high_volatility,up,up,1,32.9088,0.724,1w
2023-06-23,crisis,up,up,1,1.6866,0.8133,1w
2023-06-30,crisis,up,down,0,-8.4985,0.924,1w
2023-07-07,crisis,up,down,0,-10.8475,0.8867,1w
2023-07-14,crisis,up,up,1,5.1462,0.752,1w
2023-07-21,high_volatility,up,down,0,-12.6937,0.8213,1w
2023-07-28,high_volatility,up,down,0,-4.8925,0.756,1w
2023-08-04,chop,up,down,0,-7.8589,0.7333,1w
2023-08-11,high_volatility,neutral,down,0,-0.7602,0.5453,1w
2023-08-18,chop,neutral,down,0,-5.9113,0.5387,1w
2023-08-25,chop,down,up,0,21.6973,0.3733,1w
2023-09-01,chop,down,up,0,28.767,0.2853,1w
2023-09-08,chop,down,up,0,23.1887,0.2947,1w
2023-09-15,trending_bull,up,down,0,-6.9133,0.576,1w
2023-09-22,trending_bull,neutral,down,0,-6.6207,0.524,1w
2023-09-29,trending_bull,up,down,0,-6.3564,0.5853,1w
2023-10-06,trending_bull,neutral,down,0,-12.2332,0.536,1w
2023-10-13,trending_bull,up,down,0,-11.8241,0.5907,1w
2023-10-20,trending_bear,up,up,1,1.5598,0.5653,1w
2023-10-27,chop,neutral,up,0,6.4673,0.4587,1w
2023-11-03,trending_bear,neutral,up,0,2.1507,0.5307,1w
2023-11-10,trending_bear,up,down,0,-23.4582,0.5707,1w
2023-11-17,chop,down,down,1,-21.5468,0.2813,1w
2023-11-24,chop,down,down,1,-12.1587,0.2813,1w
2023-12-01,high_volatility,down,down,1,-2.7237,0.2307,1w
2023-12-08,trending_bear,down,down,1,-8.6939,0.2413,1w
2023-12-15,trending_bear,down,down,1,-14.5659,0.252,1w
2023-12-22,trending_bear,down,down,1,-2.4178,0.268,1w
2023-12-29,trending_bear,down,up,0,18.3609,0.2973,1w
2024-01-05,trending_bear,down,down,1,-3.7605,0.2693,1w
2024-01-12,trending_bear,down,down,1,-6.9195,0.2253,1w
2024-01-19,trending_bull,down,down,1,-3.3988,0.304,1w
2024-01-26,chop,down,up,0,4.9571,0.2947,1w
2024-02-02,chop,down,up,0,3.2541,0.3787,1w
2024-02-09,chop,neutral,up,0,9.6168,0.4707,1w
2024-02-16,chop,down,up,0,25.576,0.3787,1w
2024-02-23,chop,neutral,up,0,33.806,0.4653,1w
2024-03-01,chop,up,up,1,20.8458,0.724,1w
2024-03-08,trending_bull,up,up,1,22.8153,0.6733,1w
2024-03-15,trending_bull,up,up,1,16.5536,0.704,1w
2024-03-22,trending_bull,up,down,0,-4.8857,0.7,1w
2024-03-29,trending_bull,up,down,0,-16.8402,0.804,1w
2024-04-05,high_volatility,up,down,0,-11.7563,0.7933,1w
2024-04-12,high_volatility,up,down,0,-7.2892,0.668,1w
2024-04-19,high_volatility,up,down,0,-0.618,0.704,1w
2024-04-26,chop,up,down,0,-7.4978,0.7133,1w
2024-05-03,chop,neutral,down,0,-0.6032,0.5453,1w
2024-05-10,chop,neutral,down,0,-22.6161,0.528,1w
2024-05-17,high_volatility,neutral,down,0,-19.1461,0.4707,1w
2024-05-24,trending_bear,down,down,1,-16.9143,0.3813,1w
2024-05-31,crisis,down,down,1,-12.0786,0.1787,1w
2024-06-07,trending_bear,down,down,1,-19.2075,0.1787,1w
2024-06-14,trending_bear,down,down,1,-29.9545,0.2667,1w
2024-06-21,trending_bear,down,down,1,-11.4306,0.2013,1w
2024-06-28,trending_bear,down,down,1,-6.3876,0.184,1w
2024-07-05,trending_bear,down,down,1,-4.914,0.1653,1w
2024-07-12,trending_bear,down,down,1,-22.5121,0.1587,1w
2024-07-19,trending_bear,down,down,1,-16.5104,0.1787,1w
2024-07-26,trending_bear,down,down,1,-2.5066,0.152,1w
2024-08-02,trending_bear,down,up,0,17.3609,0.1907,1w
2024-08-09,trending_bear,down,up,0,38.8684,0.1933,1w
2024-08-16,trending_bear,down,up,0,42.5505,0.2573,1w
2024-08-23,chop,down,up,0,44.5784,0.3653,1w
2024-08-30,chop,neutral,up,0,12.2424,0.4987,1w
2024-09-06,trending_bull,up,down,0,-4.7318,0.6493,1w
2024-09-13,trending_bull,up,up,1,4.9617,0.6613,1w
2024-09-20,trending_bull,up,neutral,0,-0.3277,0.6733,1w
2024-09-27,trending_bull,up,down,0,-2.4644,0.6507,1w
2024-10-04,trending_bull,up,neutral,0,0.4466,0.7973,1w
2024-10-11,chop,up,up,1,22.745,0.7693,1w
2024-10-18,chop,up,up,1,43.4396,0.6893,1w
2024-10-25,chop,up,up,1,47.8166,0.7067,1w
2024-11-01,chop,up,up,1,24.978,0.6667,1w
2024-11-08,trending_bull,up,up,1,10.2933,0.736,1w
2024-11-15,trending_bull,up,up,1,22.0242,0.78,1w
2024-11-22,trending_bull,up,up,1,21.0656,0.78,1w
2024-11-29,trending_bull,up,up,1,12.4027,0.8213,1w
2024-12-06,high_volatility,up,down,0,-3.1812,0.8773,1w
2024-12-13,high_volatility,up,down,0,-7.6607,0.864,1w
2024-12-20,crisis,up,up,1,5.2697,0.864,1w
2024-12-27,high_volatility,up,down,0,-10.1847,0.8213,1w
2025-01-03,chop,up,down,0,-4.821,0.764,1w
2025-01-10,chop,up,down,0,-2.2763,0.6733,1w
2025-01-17,chop,neutral,down,0,-3.497,0.5013,1w
2025-01-24,chop,up,down,0,-14.5928,0.6653,1w
2025-01-31,chop,neutral,down,0,-1.0053,0.5453,1w
2025-02-07,crisis,down,down,1,-13.5758,0.3787,1w
2025-02-14,high_volatility,down,down,1,-17.837,0.292,1w
2025-02-21,chop,down,down,1,-26.3915,0.3547,1w
2025-02-28,high_volatility,down,down,1,-12.2481,0.2747,1w
2025-03-07,high_volatility,down,up,0,0.9837,0.2133,1w
2025-03-14,high_volatility,down,up,0,17.043,0.1773,1w
2025-03-21,trending_bear,down,down,1,-6.7683,0.26,1w
2025-03-28,trending_bear,down,down,1,-3.9959,0.2253,1w
