date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-5.4963,0.752,1w
2021-01-13,chop,up,down,0,-9.7224,0.636,1w
2021-01-25,crisis,down,down,1,-5.5749,0.4387,1w
2021-02-03,crisis,down,down,1,-3.9899,0.3027,1w
2021-02-12,crisis,down,down,1,-0.9221,0.2853,1w
2021-02-24,high_volatility,down,up,0,2.6472,0.2413,1w
2021-03-05,crisis,down,up,0,1.9089,0.3467,1w
2021-03-16,crisis,down,down,1,-6.2887,0.2693,1w
2021-03-25,chop,down,down,1,-4.6736,0.328,1w
2021-04-06,chop,down,down,1,-2.8757,0.2973,1w
2021-04-15,chop,down,up,0,0.5644,0.1867,1w
2021-04-26,chop,down,down,1,-6.4723,0.3267,1w
2021-05-05,chop,down,down,1,-5.5327,0.3267,1w
2021-05-14,high_volatility,down,down,1,-6.0001,0.3813,1w
2021-05-25,high_volatility,down,down,1,-5.1857,0.3507,1w
2021-06-04,high_volatility,down,down,1,-9.74,0.376,1w
2021-06-15,chop,down,down,1,-4.1986,0.2827,1w
2021-06-24,trending_bear,down,up,0,3.9976,0.2133,1w
2021-07-06,trending_bear,down,up,0,16.1719,0.2253,1w
2021-07-15,trending_bear,down,up,0,18.8242,0.2853,1w
2021-07-26,chop,down,up,0,5.7265,0.3733,1w
2021-08-04,trending_bull,neutral,down,0,-6.1753,0.464,1w
2021-08-13,trending_bull,up,down,0,-6.5018,0.588,1w
2021-08-24,trending_bull,up,down,0,-7.1399,0.6173,1w
2021-09-02,trending_bull,down,neutral,0,0.3569,0.4493,1w
2021-09-14,chop,up,down,0,-5.3459,0.6133,1w
2021-09-23,chop,neutral,up,0,3.8691,0.5133,1w
2021-10-04,chop,up,up,1,5.6872,0.5907,1w
2021-10-13,chop,up,up,1,18.0047,0.5533,1w
2021-10-22,chop,neutral,up,0,16.8305,0.4707,1w
2021-11-02,chop,neutral,up,0,9.0238,0.5013,1w
2021-11-11,high_volatility,up,neutral,0,-0.4765,0.5707,1w
2021-11-22,trending_bull,up,down,0,-5.0216,0.6587,1w
2021-12-02,trending_bull,up,down,0,-3.4046,0.736,1w
2021-12-13,chop,up,up,1,0.6539,0.668,1w
2021-12-22,chop,up,up,1,3.5744,0.7293,1w
2022-01-03,chop,up,up,1,1.9771,0.6347,1w
2022-01-12,chop,up,up,1,6.0018,0.768,1w
2022-01-24,chop,up,up,1,8.5711,0.7133,1w
2022-02-02,chop,up,up,1,9.0567,0.608,1w
2022-02-11,chop,up,down,0,-7.4661,0.608,1w
2022-02-23,trending_bull,neutral,down,0,-5.0808,0.536,1w
2022-03-04,trending_bull,up,down,0,-7.5499,0.624,1w
2022-03-15,high_volatility,down,down,1,-1.5573,0.4213,1w
2022-03-24,high_volatility,neutral,neutral,0,-0.061,0.548,1w
2022-04-04,chop,neutral,up,0,6.2914,0.5027,1w
2022-04-13,chop,down,up,0,4.7418,0.4453,1w
2022-04-25,chop,neutral,up,0,4.3929,0.52,1w
2022-05-04,chop,neutral,up,0,7.3312,0.52,1w
2022-05-13,chop,down,up,0,16.0207,0.4467,1w
2022-05-24,chop,down,up,0,10.811,0.424,1w
2022-06-03,crisis,neutral,up,0,7.8127,0.54,1w
2022-06-14,high_volatility,up,up,1,4.6066,0.724,1w
2022-06-24,trending_bull,up,up,1,2.727,0.736,1w
2022-07-06,trending_bull,up,up,1,9.2203,0.7973,1w
2022-07-15,trending_bull,up,up,1,4.0253,0.82,1w
2022-07-26,trending_bull,up,up,1,9.742,0.7973,1w
2022-08-04,high_volatility,up,up,1,3.8355,0.7947,1w
2022-08-15,trending_bull,up,up,1,2.8044,0.848,1w
2022-08-24,trending_bull,up,down,0,-3.7235,0.8187,1w
2022-09-02,trending_bull,up,down,0,-9.6153,0.8587,1w
2022-09-14,crisis,up,down,0,-4.1536,0.6947,1w
2022-09-23,crisis,up,down,0,-5.4153,0.6307,1w
2022-10-04,crisis,up,up,1,6.3885,0.5733,1w
2022-10-13,crisis,down,up,0,5.5895,0.4493,1w
2022-10-24,crisis,down,up,0,17.7198,0.4467,1w
2022-11-02,crisis,down,up,0,6.2433,0.4213,1w
2022-11-11,trending_bull,neutral,up,0,3.8097,0.5173,1w
2022-11-22,trending_bull,neutral,up,0,4.3372,0.5013,1w
2022-12-02,trending_bull,down,up,0,3.9362,0.4427,1w
2022-12-13,trending_bull,up,up,1,1.6996,0.6107,1w
2022-12-22,trending_bull,up,up,1,2.3355,0.6787,1w
2023-01-04,trending_bull,up,up,1,14.7152,0.724,1w
2023-01-13,trending_bull,up,up,1,16.1679,0.7253,1w
2023-01-25,chop,up,up,1,15.6208,0.9133,1w
2023-02-03,trending_bull,up,up,1,9.4497,0.8653,1w
2023-02-14,trending_bull,up,up,1,8.3552,0.8013,1w
2023-02-24,trending_bull,up,up,1,10.3986,0.848,1w
2023-03-07,trending_bull,up,up,1,10.1003,0.9227,1w
2023-03-16,high_volatility,up,up,1,5.5565,0.8587,1w
2023-03-27,trending_bull,up,up,1,0.8588,0.904,1w
2023-04-05,crisis,up,up,1,0.7362,0.9507,1w
2023-04-17,crisis,up,up,1,9.2819,0.9107,1w
2023-04-26,crisis,up,up,1,5.43,0.8627,1w
2023-05-05,crisis,up,neutral,0,-0.2565,0.8013,1w
2023-05-16,high_volatility,up,down,0,-3.38,0.8333,1w
2023-05-25,chop,up,down,0,-6.5479,0.7947,1w
2023-06-06,crisis,up,up,1,1.7546,0.6173,1w
2023-06-15,crisis,up,down,0,-4.2511,0.5827,1w
2023-06-27,high_volatility,neutral,down,0,-5.1443,0.4707,1w
2023-07-07,chop,down,down,1,-12.59,0.4213,1w
2023-07-18,high_volatility,neutral,down,0,-1.8094,0.4707,1w
2023-07-27,crisis,down,neutral,0,0.438,0.3467,1w
2023-08-07,crisis,down,up,0,2.8954,0.2693,1w
2023-08-16,high_volatility,down,up,0,3.3268,0.3667,1w
2023-08-25,chop,down,up,0,10.9854,0.312,1w
2023-09-06,chop,down,up,0,16.8719,0.3613,1w
2023-09-15,chop,down,up,0,8.44,0.392,1w
2023-09-26,chop,neutral,up,0,3.6845,0.5293,1w
2023-10-05,trending_bull,neutral,down,0,-0.7675,0.528,1w
2023-10-16,trending_bull,up,up,1,8.6779,0.5867,1w
2023-10-25,trending_bull,up,up,1,9.8644,0.6893,1w
2023-11-03,trending_bull,up,up,1,11.8644,0.7573,1w
2023-11-14,trending_bull,up,down,0,-1.6166,0.7933,1w
2023-11-24,chop,up,down,0,-9.3289,0.8147,1w
2023-12-05,chop,up,down,0,-6.0612,0.904,1w
2023-12-14,chop,up,down,0,-2.8044,0.7067,1w
2023-12-26,trending_bear,neutral,down,0,-8.0815,0.512,1w
2024-01-05,trending_bear,neutral,down,0,-8.1591,0.5453,1w
2024-01-17,trending_bear,neutral,down,0,-9.5761,0.4907,1w
2024-01-26,crisis,down,down,1,-8.5705,0.3733,1w
2024-02-06,high_volatility,down,down,1,-10.9961,0.396,1w
2024-02-15,chop,down,down,1,-4.4569,0.3067,1w
2024-02-27,trending_bear,down,down,1,-6.1863,0.216,1w
2024-03-07,high_volatility,down,down,1,-10.9135,0.2093,1w
2024-03-18,high_volatility,down,down,1,-9.2072,0.2947,1w
2024-03-27,chop,down,up,0,6.9382,0.2747,1w
2024-04-08,crisis,down,up,0,8.646,0.22,1w
2024-04-17,high_volatility,down,up,0,27.3506,0.2813,1w
2024-04-26,chop,down,up,0,10.7249,0.388,1w
2024-05-07,chop,neutral,up,0,5.1441,0.4627,1w
2024-05-16,chop,neutral,up,0,2.0137,0.544,1w
2024-05-28,chop,up,up,1,11.4897,0.5827,1w
2024-06-06,chop,up,up,1,10.301,0.6173,1w
2024-06-17,chop,up,up,1,12.8098,0.6,1w
2024-06-27,chop,up,up,1,9.8721,0.7427,1w
2024-07-09,chop,up,up,1,0.9086,0.7947,1w
2024-07-18,chop,up,down,0,-6.0737,0.9467,1w
2024-07-29,chop,up,down,0,-7.3677,0.9133,1w
2024-08-07,chop,up,down,0,-3.299,0.7173,1w
2024-08-16,chop,up,up,1,7.2353,0.576,1w
2024-08-27,trending_bear,up,up,1,5.1584,0.6387,1w
2024-09-06,chop,up,up,1,3.989,0.588,1w
2024-09-17,chop,up,neutral,0,-0.3204,0.6587,1w
2024-09-26,chop,neutral,neutral,0,0.4703,0.524,1w
2024-10-07,chop,neutral,neutral,0,0.3319,0.544,1w
2024-10-16,chop,neutral,down,0,-9.0004,0.4693,1w
2024-10-25,chop,down,down,1,-11.6355,0.424,1w
2024-11-05,chop,up,down,0,-8.128,0.5533,1w
2024-11-14,chop,down,down,1,-6.6422,0.4467,1w
2024-11-25,trending_bear,down,down,1,-7.0658,0.4253,1w
