date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-1.2478,0.7133,1w
2021-01-13,high_volatility,up,down,0,-1.663,0.5987,1w
2021-01-25,chop,up,down,0,-2.5182,0.58,1w
2021-02-03,crisis,up,down,0,-1.4731,0.5933,1w
2021-02-12,crisis,up,up,1,4.2053,0.5653,1w
2021-02-24,high_volatility,down,up,0,5.8335,0.412,1w
2021-03-05,crisis,up,up,1,6.994,0.6213,1w
2021-03-16,high_volatility,neutral,up,0,10.8405,0.52,1w
2021-03-25,chop,neutral,up,0,9.4119,0.492,1w
2021-04-06,chop,up,down,0,-1.5744,0.62,1w
2021-04-15,high_volatility,up,down,0,-5.0199,0.724,1w
2021-04-26,trending_bull,up,down,0,-3.622,0.7307,1w
2021-05-05,crisis,up,up,1,1.4748,0.58,1w
2021-05-14,crisis,up,down,0,-6.3754,0.668,1w
2021-05-25,high_volatility,up,down,0,-11.1195,0.6987,1w
2021-06-04,high_volatility,up,down,0,-8.5333,0.64,1w
2021-06-15,crisis,down,up,0,2.2928,0.44,1w
2021-06-24,high_volatility,down,neutral,0,0.2171,0.3507,1w
2021-07-06,crisis,down,up,0,5.3964,0.332,1w
2021-07-15,trending_bear,down,up,0,10.8242,0.2747,1w
2021-07-26,chop,down,up,0,8.3004,0.2987,1w
2021-08-04,chop,down,down,1,-0.7688,0.4347,1w
2021-08-13,chop,neutral,down,0,-3.3659,0.536,1w
2021-08-24,trending_bull,neutral,down,0,-4.4856,0.4827,1w
2021-09-02,chop,down,down,1,-10.549,0.424,1w
2021-09-14,chop,up,down,0,-18.6421,0.6467,1w
2021-09-23,chop,neutral,down,0,-8.3341,0.5413,1w
2021-10-04,crisis,down,up,0,2.0443,0.3467,1w
2021-10-13,crisis,down,up,0,11.5357,0.26,1w
2021-10-22,crisis,down,up,0,11.5797,0.3467,1w
2021-11-02,trending_bear,down,up,0,8.0116,0.3307,1w
2021-11-11,high_volatility,down,up,0,7.0234,0.344,1w
2021-11-22,chop,down,up,0,1.2512,0.3973,1w
2021-12-02,trending_bull,neutral,down,0,-5.8494,0.4827,1w
2021-12-13,trending_bull,neutral,down,0,-9.7254,0.4707,1w
2021-12-22,trending_bull,neutral,down,0,-4.8181,0.5147,1w
2022-01-03,chop,neutral,up,0,1.227,0.528,1w
2022-01-12,trending_bear,up,neutral,0,0.3316,0.5853,1w
2022-01-24,trending_bear,up,up,1,0.7605,0.572,1w
2022-02-02,trending_bear,neutral,down,0,-1.0982,0.5067,1w
2022-02-11,chop,down,down,1,-0.9426,0.3867,1w
2022-02-23,chop,down,down,1,-3.3734,0.3747,1w
2022-03-04,chop,down,up,0,4.2483,0.296,1w
2022-03-15,chop,down,up,0,1.6431,0.26,1w
2022-03-24,chop,down,up,0,4.0762,0.332,1w
2022-04-04,chop,down,down,1,-3.0682,0.4467,1w
2022-04-13,chop,neutral,down,0,-2.2209,0.5013,1w
2022-04-25,chop,neutral,down,0,-4.8309,0.5013,1w
2022-05-04,chop,neutral,down,0,-7.079,0.46,1w
2022-05-13,chop,neutral,down,0,-1.6505,0.4653,1w
2022-05-24,trending_bear,down,up,0,1.7795,0.3067,1w
2022-06-03,trending_bear,down,neutral,0,-0.192,0.4013,1w
2022-06-14,chop,down,down,1,-3.3761,0.376,1w
2022-06-24,chop,down,up,0,5.6579,0.3467,1w
2022-07-06,trending_bear,down,neutral,0,0.1847,0.224,1w
2022-07-15,chop,down,down,1,-3.3571,0.256,1w
2022-07-26,chop,neutral,down,0,-7.4993,0.4627,1w
2022-08-04,chop,down,down,1,-3.6257,0.2413,1w
2022-08-15,trending_bear,down,up,0,3.3166,0.2773,1w
2022-08-24,trending_bear,down,up,0,1.4346,0.4093,1w
2022-09-02,trending_bear,down,down,1,-3.0154,0.324,1w
2022-09-14,chop,down,down,1,-4.9289,0.3933,1w
2022-09-23,chop,down,down,1,-0.8584,0.4067,1w
2022-10-04,trending_bear,down,up,0,7.5087,0.3187,1w
2022-10-13,trending_bear,down,up,0,1.056,0.3467,1w
2022-10-24,chop,down,up,0,10.6175,0.2253,1w
2022-11-02,chop,neutral,up,0,4.4917,0.508,1w
2022-11-11,chop,neutral,up,0,7.1683,0.468,1w
2022-11-22,chop,up,down,0,-0.8704,0.6133,1w
2022-12-02,trending_bull,up,up,1,2.609,0.656,1w
2022-12-13,trending_bull,up,neutral,0,-0.3002,0.62,1w
2022-12-22,chop,up,down,0,-1.2656,0.628,1w
2023-01-04,chop,up,down,0,-4.1755,0.7307,1w
2023-01-13,chop,up,down,0,-1.4842,0.6627,1w
2023-01-25,chop,up,up,1,1.8093,0.632,1w
2023-02-03,chop,neutral,up,0,4.4632,0.516,1w
2023-02-14,chop,neutral,up,0,1.96,0.4693,1w
2023-02-24,chop,down,up,0,1.5679,0.4467,1w
2023-03-07,chop,neutral,up,0,1.3516,0.5387,1w
2023-03-16,chop,down,down,1,-1.9491,0.4333,1w
2023-03-27,chop,neutral,up,0,2.5267,0.5427,1w
2023-04-05,chop,neutral,up,0,4.1861,0.488,1w
2023-04-17,chop,neutral,up,0,10.2776,0.4707,1w
2023-04-26,high_volatility,up,up,1,3.5761,0.6933,1w
2023-05-05,chop,up,neutral,0,0.2713,0.7507,1w
2023-05-16,chop,up,down,0,-5.6011,0.78,1w
2023-05-25,trending_bull,up,down,0,-1.0509,0.696,1w
2023-06-06,chop,up,down,0,-4.6427,0.6627,1w
2023-06-15,chop,up,up,1,4.0143,0.5827,1w
2023-06-27,chop,neutral,up,0,6.435,0.512,1w
2023-07-07,chop,down,up,0,10.6813,0.448,1w
2023-07-18,chop,up,up,1,6.7795,0.6467,1w
2023-07-27,chop,up,up,1,5.5091,0.6347,1w
2023-08-07,crisis,up,up,1,5.5714,0.564,1w
2023-08-16,high_volatility,neutral,up,0,9.2347,0.5467,1w
2023-08-25,trending_bull,up,up,1,8.952,0.708,1w
