date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,down,1,-5.054,0.296,1w
2021-01-13,chop,down,up,0,7.4782,0.2933,1w
2021-01-25,chop,down,down,1,-1.6207,0.2693,1w
2021-02-03,chop,down,down,1,-6.0258,0.2973,1w
2021-02-12,chop,down,down,1,-26.914,0.388,1w
2021-02-24,chop,down,down,1,-4.305,0.368,1w
2021-03-05,chop,down,up,0,6.8995,0.3787,1w
2021-03-16,chop,down,up,0,17.0952,0.268,1w
2021-03-25,trending_bear,down,down,1,-9.5813,0.3347,1w
2021-04-06,chop,down,down,1,-26.3545,0.4133,1w
2021-04-15,chop,down,down,1,-30.9585,0.384,1w
2021-04-26,chop,down,down,1,-16.986,0.3253,1w
2021-05-05,chop,down,down,1,-13.6839,0.2733,1w
2021-05-14,trending_bear,down,down,1,-28.7053,0.1787,1w
2021-05-25,trending_bear,down,down,1,-11.7979,0.296,1w
2021-06-04,trending_bear,down,down,1,-6.6246,0.2827,1w
2021-06-15,trending_bear,down,up,0,23.9095,0.2347,1w
2021-06-24,trending_bear,down,up,0,1.0631,0.2253,1w
2021-07-06,chop,down,up,0,9.933,0.2067,1w
2021-07-15,chop,down,down,1,-8.9339,0.2547,1w
2021-07-26,chop,down,down,1,-20.3724,0.2973,1w
2021-08-04,chop,down,down,1,-26.5951,0.3467,1w
2021-08-13,chop,down,down,1,-9.7197,0.352,1w
2021-08-24,trending_bear,down,down,1,-8.1305,0.296,1w
2021-09-02,trending_bear,down,down,1,-7.7307,0.2973,1w
2021-09-14,chop,neutral,down,0,-22.0414,0.528,1w
2021-09-23,chop,down,down,1,-1.6462,0.2747,1w
2021-10-04,chop,down,down,1,-3.7611,0.2747,1w
2021-10-13,chop,down,up,0,44.5102,0.2093,1w
2021-10-22,chop,down,up,0,34.8519,0.2667,1w
2021-11-02,chop,down,up,0,39.3517,0.248,1w
2021-11-11,chop,neutral,down,0,-1.9426,0.4707,1w
2021-11-22,trending_bull,up,up,1,24.0351,0.5587,1w
2021-12-02,trending_bull,up,up,1,3.9689,0.6267,1w
2021-12-13,trending_bull,up,up,1,51.5031,0.5573,1w
2021-12-22,trending_bull,up,up,1,22.8598,0.7347,1w
2022-01-03,trending_bull,up,up,1,44.6352,0.6587,1w
2022-01-12,trending_bull,up,down,0,-5.1479,0.856,1w
2022-01-24,trending_bull,up,down,0,-4.0778,0.8427,1w
2022-02-02,trending_bull,up,down,0,-0.6227,0.8587,1w
2022-02-11,trending_bull,up,down,0,-1.7704,0.6987,1w
2022-02-23,chop,up,up,1,10.3747,0.7107,1w
2022-03-04,chop,up,neutral,0,-0.1665,0.708,1w
2022-03-15,chop,up,up,1,0.9675,0.6987,1w
2022-03-24,chop,up,down,0,-4.8937,0.624,1w
2022-04-04,chop,up,up,1,2.0487,0.68,1w
2022-04-13,chop,down,up,0,22.4357,0.4253,1w
2022-04-25,trending_bear,neutral,up,0,31.6209,0.4587,1w
2022-05-04,chop,down,up,0,26.2258,0.4333,1w
2022-05-13,trending_bull,up,up,1,16.4123,0.676,1w
2022-05-24,trending_bull,up,up,1,15.9965,0.7707,1w
2022-06-03,trending_bull,up,up,1,7.334,0.736,1w
2022-06-14,trending_bull,up,up,1,4.4759,0.8,1w
2022-06-24,high_volatility,up,up,1,1.5344,0.7947,1w
2022-07-06,trending_bull,up,down,0,-5.8518,0.8107,1w
2022-07-15,trending_bull,up,down,0,-12.314,0.848,1w
2022-07-26,trending_bull,up,down,0,-18.064,0.9,1w
2022-08-04,high_volatility,up,down,0,-2.7859,0.6987,1w
2022-08-15,trending_bear,up,down,0,-8.3393,0.5547,1w
2022-08-24,trending_bear,neutral,down,0,-18.0462,0.456,1w
