date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,high_volatility,up,up,1,1.3317,0.868,1w
2021-01-13,high_volatility,up,up,1,5.2689,0.7693,1w
2021-01-25,high_volatility,up,up,1,4.0879,0.7347,1w
2021-02-03,crisis,up,up,1,1.467,0.6667,1w
2021-02-12,crisis,up,up,1,4.3022,0.6547,1w
2021-02-24,high_volatility,up,up,1,7.5507,0.6413,1w
2021-03-05,high_volatility,up,up,1,7.6332,0.768,1w
2021-03-16,high_volatility,up,up,1,9.8035,0.744,1w
2021-03-25,chop,up,up,1,9.3996,0.752,1w
2021-04-06,trending_bull,up,down,0,-1.3731,0.8027,1w
2021-04-15,crisis,up,down,0,-5.0621,0.8173,1w
2021-04-26,high_volatility,up,down,0,-1.1024,0.824,1w
2021-05-05,crisis,up,up,1,2.9637,0.656,1w
2021-05-14,crisis,up,down,0,-6.5269,0.6573,1w
2021-05-25,crisis,up,down,0,-13.5163,0.7653,1w
2021-06-04,high_volatility,up,down,0,-10.4864,0.6747,1w
2021-06-15,high_volatility,neutral,up,0,4.3488,0.4693,1w
2021-06-24,crisis,down,up,0,2.6103,0.3813,1w
2021-07-06,crisis,down,neutral,0,0.113,0.348,1w
2021-07-15,high_volatility,down,up,0,5.164,0.312,1w
2021-07-26,chop,down,up,0,1.5791,0.3147,1w
2021-08-04,chop,down,down,1,-0.6187,0.3467,1w
2021-08-13,chop,down,down,1,-5.7387,0.4493,1w
2021-08-24,chop,down,down,1,-8.3755,0.3373,1w
2021-09-02,chop,down,down,1,-12.7042,0.3187,1w
2021-09-14,chop,neutral,down,0,-18.9177,0.5467,1w
2021-09-23,chop,down,down,1,-11.8791,0.4013,1w
2021-10-04,trending_bear,down,down,1,-3.1242,0.2267,1w
2021-10-13,high_volatility,down,up,0,4.7542,0.184,1w
2021-10-22,crisis,down,up,0,5.8784,0.2173,1w
2021-11-02,trending_bear,down,up,0,10.1263,0.2587,1w
2021-11-11,high_volatility,down,up,0,9.6152,0.2253,1w
2021-11-22,trending_bull,down,up,0,8.0608,0.2613,1w
2021-12-02,chop,down,up,0,4.1254,0.3893,1w
2021-12-13,trending_bull,down,up,0,1.9746,0.412,1w
2021-12-22,trending_bull,neutral,down,0,-2.3754,0.5093,1w
2022-01-03,chop,up,down,0,-4.2076,0.5933,1w
2022-01-12,chop,up,down,0,-5.0484,0.7347,1w
2022-01-24,chop,up,up,1,1.014,0.7013,1w
2022-02-02,chop,up,up,1,2.323,0.6733,1w
2022-02-11,chop,up,neutral,0,0.4119,0.588,1w
2022-02-23,chop,up,down,0,-2.6137,0.588,1w
2022-03-04,chop,neutral,up,0,2.0976,0.4707,1w
2022-03-15,chop,down,neutral,0,-0.0475,0.4253,1w
2022-03-24,chop,down,up,0,7.6259,0.356,1w
