date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-10.7914,0.5147,1w
2021-01-13,chop,down,down,1,-14.2529,0.388,1w
2021-01-25,chop,down,up,0,3.7688,0.3147,1w
2021-02-03,chop,down,up,0,29.1317,0.2587,1w
2021-02-12,chop,down,up,0,29.5,0.1733,1w
2021-02-24,chop,down,up,0,11.7381,0.296,1w
2021-03-05,chop,neutral,up,0,1.9028,0.5267,1w
2021-03-16,trending_bull,up,down,0,-2.4209,0.6387,1w
2021-03-25,trending_bull,up,down,0,-10.8434,0.5573,1w
2021-04-06,chop,up,down,0,-19.5021,0.58,1w
2021-04-15,chop,up,down,0,-43.6266,0.5947,1w
2021-04-26,chop,up,down,0,-12.4088,0.5533,1w
2021-05-05,chop,neutral,up,0,2.7708,0.536,1w
2021-05-14,trending_bear,down,neutral,0,0.2849,0.3213,1w
2021-05-25,chop,down,down,1,-9.3407,0.3547,1w
2021-06-04,chop,down,down,1,-22.9592,0.3893,1w
2021-06-15,chop,down,down,1,-8.4795,0.2533,1w
2021-06-24,chop,down,down,1,-11.898,0.256,1w
2021-07-06,chop,down,up,0,16.388,0.2347,1w
2021-07-15,chop,down,up,0,11.3565,0.1933,1w
2021-07-26,chop,down,up,0,1.5823,0.3187,1w
2021-08-04,chop,down,down,1,-26.4151,0.4013,1w
2021-08-13,chop,neutral,down,0,-11.8841,0.4827,1w
2021-08-24,chop,down,down,1,-12.6888,0.3893,1w
2021-09-02,chop,down,up,0,21.6312,0.2333,1w
2021-09-14,chop,down,up,0,8.7948,0.3867,1w
2021-09-23,chop,down,up,0,29.434,0.3187,1w
2021-10-04,chop,up,down,0,-1.6949,0.5733,1w
2021-10-13,chop,neutral,up,0,6.3444,0.5107,1w
2021-10-22,chop,neutral,down,0,-2.0649,0.5293,1w
2021-11-02,chop,down,up,0,8.3333,0.4253,1w
2021-11-11,chop,neutral,down,0,-7.0822,0.4907,1w
2021-11-22,chop,neutral,down,0,-3.4286,0.48,1w
2021-12-02,chop,up,down,0,-5.7471,0.608,1w
2021-12-13,chop,neutral,up,0,6.25,0.5187,1w
2021-12-22,chop,up,up,1,8.0357,0.6173,1w
2022-01-03,chop,down,down,1,-0.5747,0.4147,1w
2022-01-12,chop,neutral,down,0,-14.7541,0.532,1w
2022-01-24,chop,neutral,down,0,-20.8443,0.528,1w
2022-02-02,chop,neutral,down,0,-7.9511,0.5267,1w
2022-02-11,chop,down,up,0,1.5773,0.3733,1w
2022-02-23,chop,down,up,0,18.9003,0.344,1w
2022-03-04,chop,down,up,0,42.1603,0.336,1w
2022-03-15,chop,down,up,0,34.6875,0.4253,1w
2022-03-24,chop,neutral,up,0,14.7727,0.5013,1w
2022-04-04,trending_bull,up,up,1,5.0,0.62,1w
2022-04-13,trending_bull,up,down,0,-18.5542,0.624,1w
2022-04-25,trending_bull,neutral,down,0,-21.0,0.5387,1w
2022-05-04,chop,up,down,0,-23.753,0.7253,1w
2022-05-13,chop,neutral,down,0,-8.8146,0.5293,1w
2022-05-24,trending_bear,neutral,down,0,-7.7419,0.5467,1w
2022-06-03,trending_bear,up,down,0,-13.2075,0.576,1w
2022-06-14,trending_bear,down,up,0,20.9459,0.4093,1w
2022-06-24,trending_bear,down,up,0,27.9152,0.2747,1w
2022-07-06,chop,down,up,0,15.4676,0.1533,1w
2022-07-15,chop,down,down,1,-25.5208,0.344,1w
2022-07-26,trending_bull,down,down,1,-10.9091,0.3853,1w
2022-08-04,chop,down,down,1,-14.6965,0.2693,1w
2022-08-15,chop,down,down,1,-4.3321,0.3467,1w
2022-08-24,chop,down,down,1,-13.8408,0.4173,1w
2022-09-02,chop,down,down,1,-11.1111,0.312,1w
2022-09-14,chop,down,down,1,-9.2593,0.3733,1w
2022-09-23,chop,down,neutral,0,0.0,0.356,1w
2022-10-04,chop,down,down,1,-11.9658,0.312,1w
2022-10-13,chop,down,down,1,-21.4575,0.1227,1w
2022-10-24,chop,down,down,1,-6.1403,0.156,1w
2022-11-02,chop,down,down,1,-7.0796,0.1027,1w
2022-11-11,chop,down,down,1,-0.9524,0.168,1w
2022-11-22,chop,down,down,1,-7.7273,0.2213,1w
2022-12-02,chop,down,down,1,-7.6142,0.2893,1w
2022-12-13,chop,down,down,1,-17.1429,0.2747,1w
2022-12-22,chop,down,down,1,-18.2266,0.3613,1w
2023-01-04,chop,down,down,1,-15.1351,0.2747,1w
2023-01-13,chop,down,down,1,-12.9412,0.2253,1w
2023-01-25,chop,down,down,1,-4.9689,0.248,1w
2023-02-03,chop,down,up,0,17.6101,0.2253,1w
2023-02-14,chop,down,up,0,46.7105,0.2253,1w
2023-02-24,chop,down,up,0,43.9189,0.2173,1w
2023-03-07,chop,down,up,0,48.1675,0.428,1w
2023-03-16,trending_bull,neutral,up,0,20.8531,0.5173,1w
2023-03-27,trending_bull,neutral,up,0,21.8341,0.5053,1w
2023-04-05,trending_bull,up,neutral,0,0.0,0.728,1w
2023-04-17,crisis,up,up,1,36.8627,0.7307,1w
2023-04-26,high_volatility,up,up,1,35.2518,0.7947,1w
2023-05-05,high_volatility,up,up,1,30.8772,0.828,1w
2023-05-16,crisis,up,up,1,2.0,0.9027,1w
2023-05-25,crisis,up,down,0,-15.2174,0.9173,1w
2023-06-06,crisis,up,up,1,4.0506,0.8227,1w
