date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-12.4933,0.7253,1w
2021-01-13,chop,up,down,0,-12.2964,0.5853,1w
2021-01-25,high_volatility,down,down,1,-12.3024,0.376,1w
2021-02-03,crisis,down,down,1,-11.2618,0.3707,1w
2021-02-12,trending_bear,down,down,1,-8.4313,0.2253,1w
2021-02-24,trending_bear,down,up,0,0.5599,0.144,1w
2021-03-05,trending_bear,down,up,0,0.5024,0.168,1w
2021-03-16,trending_bear,down,down,1,-2.7641,0.0507,1w
2021-03-25,trending_bear,down,down,1,-4.2746,0.128,1w
2021-04-06,trending_bear,down,up,0,2.18,0.0893,1w
2021-04-15,trending_bear,down,up,0,14.1419,0.108,1w
2021-04-26,chop,down,up,0,4.8858,0.184,1w
2021-05-05,chop,down,down,1,-1.0614,0.28,1w
2021-05-14,high_volatility,neutral,down,0,-13.0139,0.52,1w
2021-05-25,crisis,neutral,down,0,-7.8569,0.516,1w
2021-06-04,chop,up,down,0,-12.2249,0.5893,1w
2021-06-15,chop,down,down,1,-3.7323,0.428,1w
2021-06-24,chop,down,down,1,-1.3235,0.3787,1w
2021-07-06,chop,down,up,0,5.4046,0.4213,1w
2021-07-15,chop,down,up,0,10.6682,0.44,1w
2021-07-26,chop,neutral,up,0,7.5374,0.456,1w
2021-08-04,chop,down,neutral,0,0.2511,0.376,1w
2021-08-13,chop,down,down,1,-8.0022,0.4133,1w
2021-08-24,chop,neutral,down,0,-17.1146,0.4907,1w
2021-09-02,chop,down,down,1,-10.592,0.3733,1w
2021-09-14,chop,neutral,down,0,-11.5017,0.484,1w
2021-09-23,trending_bear,down,up,0,6.0347,0.2573,1w
2021-10-04,trending_bear,down,up,0,7.9983,0.3547,1w
2021-10-13,trending_bear,down,up,0,20.4989,0.3267,1w
2021-10-22,trending_bear,down,up,0,21.2882,0.3707,1w
2021-11-02,chop,down,up,0,24.2461,0.3787,1w
2021-11-11,chop,neutral,up,0,1.825,0.4693,1w
2021-11-22,high_volatility,up,down,0,-5.1537,0.5533,1w
2021-12-02,trending_bull,up,down,0,-9.124,0.6307,1w
2021-12-13,chop,up,down,0,-1.8856,0.6187,1w
2021-12-22,chop,up,up,1,1.3564,0.7293,1w
2022-01-03,chop,up,up,1,11.9514,0.6587,1w
2022-01-12,chop,up,up,1,3.599,0.728,1w
2022-01-24,chop,up,neutral,0,-0.0093,0.668,1w
2022-02-02,chop,up,down,0,-6.1779,0.7667,1w
2022-02-11,chop,neutral,down,0,-6.56,0.4893,1w
2022-02-23,chop,down,down,1,-2.5189,0.3787,1w
2022-03-04,chop,down,down,1,-2.8738,0.384,1w
2022-03-15,chop,down,up,0,4.0242,0.3653,1w
2022-03-24,chop,down,up,0,4.0216,0.4173,1w
2022-04-04,chop,neutral,up,0,10.7261,0.4653,1w
2022-04-13,chop,neutral,up,0,1.3855,0.5013,1w
2022-04-25,chop,neutral,up,0,5.1532,0.492,1w
2022-05-04,chop,neutral,down,0,-2.3123,0.464,1w
2022-05-13,chop,neutral,up,0,6.3147,0.456,1w
2022-05-24,chop,neutral,up,0,2.1351,0.5467,1w
2022-06-03,chop,neutral,up,0,2.0931,0.5467,1w
2022-06-14,chop,up,up,1,2.2973,0.636,1w
2022-06-24,chop,up,up,1,6.6312,0.64,1w
2022-07-06,chop,up,up,1,4.0875,0.6653,1w
2022-07-15,chop,up,down,0,-6.411,0.6373,1w
2022-07-26,chop,up,down,0,-9.6114,0.7653,1w
2022-08-04,chop,up,down,0,-7.4113,0.5867,1w
2022-08-15,chop,neutral,up,0,3.6978,0.5453,1w
2022-08-24,trending_bear,neutral,up,0,1.3558,0.4653,1w
2022-09-02,chop,neutral,neutral,0,-0.2163,0.4587,1w
2022-09-14,chop,down,down,1,-1.6802,0.424,1w
2022-09-23,chop,down,down,1,-1.5965,0.3893,1w
2022-10-04,chop,down,down,1,-1.2258,0.3693,1w
2022-10-13,chop,down,down,1,-4.2627,0.296,1w
2022-10-24,chop,down,up,0,8.4221,0.2,1w
2022-11-02,chop,down,up,0,8.4704,0.2347,1w
2022-11-11,chop,down,up,0,3.9203,0.444,1w
2022-11-22,chop,neutral,up,0,9.7592,0.5253,1w
2022-12-02,chop,up,up,1,5.1305,0.5853,1w
2022-12-13,chop,neutral,up,0,2.9712,0.544,1w
2022-12-22,chop,up,up,1,1.3015,0.7333,1w
2023-01-04,chop,up,down,0,-3.0735,0.7147,1w
2023-01-13,chop,up,down,0,-0.6479,0.616,1w
2023-01-25,chop,up,down,0,-8.1813,0.848,1w
2023-02-03,chop,up,down,0,-3.9679,0.6987,1w
2023-02-14,chop,up,down,0,-4.8126,0.632,1w
2023-02-24,high_volatility,neutral,up,0,1.0191,0.4907,1w
2023-03-07,trending_bear,neutral,down,0,-3.8588,0.456,1w
2023-03-16,chop,down,down,1,-1.3307,0.3893,1w
2023-03-27,chop,down,down,1,-6.6727,0.3213,1w
2023-04-05,chop,down,down,1,-2.2403,0.2853,1w
2023-04-17,chop,down,up,0,3.0348,0.2867,1w
2023-04-26,chop,down,up,0,4.113,0.2093,1w
2023-05-05,chop,down,up,0,10.5894,0.288,1w
2023-05-16,chop,down,up,0,5.525,0.3227,1w
2023-05-25,chop,down,up,0,7.5095,0.4213,1w
2023-06-06,chop,up,down,0,-4.4694,0.5573,1w
2023-06-15,trending_bull,up,down,0,-2.36,0.5907,1w
2023-06-27,trending_bull,up,down,0,-1.4366,0.5907,1w
2023-07-07,chop,neutral,down,0,-2.1492,0.5013,1w
2023-07-18,high_volatility,up,down,0,-0.7066,0.5907,1w
2023-07-27,high_volatility,up,down,0,-1.3899,0.6747,1w
2023-08-07,crisis,neutral,up,0,4.7892,0.4907,1w
2023-08-16,chop,neutral,up,0,0.8496,0.5013,1w
2023-08-25,chop,neutral,up,0,3.8921,0.536,1w
2023-09-06,chop,down,neutral,0,-0.4628,0.3973,1w
2023-09-15,chop,down,down,1,-1.8998,0.4067,1w
2023-09-26,chop,neutral,down,0,-6.3733,0.4707,1w
2023-10-05,chop,neutral,neutral,0,0.4338,0.4907,1w
2023-10-16,chop,neutral,down,0,-1.8642,0.4707,1w
2023-10-25,chop,down,up,0,1.235,0.3693,1w
2023-11-03,chop,neutral,neutral,0,-0.0723,0.524,1w
2023-11-14,chop,down,down,1,-1.4339,0.428,1w
2023-11-24,chop,down,down,1,-8.6026,0.424,1w
2023-12-05,chop,neutral,down,0,-7.7543,0.4667,1w
2023-12-14,chop,down,down,1,-5.5782,0.3467,1w
2023-12-26,chop,down,up,0,2.6243,0.1427,1w
2024-01-05,trending_bear,down,down,1,-0.6104,0.216,1w
2024-01-17,trending_bear,down,up,0,6.9597,0.2013,1w
2024-01-26,chop,down,up,0,2.4059,0.3293,1w
2024-02-06,chop,down,up,0,10.6531,0.224,1w
2024-02-15,chop,down,neutral,0,0.1118,0.404,1w
2024-02-27,chop,down,up,0,2.0194,0.36,1w
2024-03-07,crisis,neutral,down,0,-12.4319,0.488,1w
2024-03-18,high_volatility,down,down,1,-7.7548,0.4253,1w
2024-03-27,chop,up,down,0,-9.8877,0.5933,1w
2024-04-08,crisis,down,neutral,0,0.282,0.3507,1w
2024-04-17,high_volatility,down,up,0,12.7398,0.4173,1w
