date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,up,0,16.4253,0.52,1w
2021-01-13,chop,up,up,1,4.6961,0.6133,1w
2021-01-25,high_volatility,up,up,1,7.2099,0.5547,1w
2021-02-03,crisis,up,up,1,2.8567,0.5987,1w
2021-02-12,crisis,up,down,0,-6.5085,0.6453,1w
2021-02-24,crisis,up,up,1,10.5812,0.6587,1w
2021-03-05,high_volatility,up,neutral,0,0.4645,0.7107,1w
2021-03-16,crisis,up,up,1,11.7373,0.656,1w
2021-03-25,high_volatility,up,down,0,-9.1417,0.756,1w
2021-04-06,chop,up,down,0,-2.493,0.6933,1w
2021-04-15,high_volatility,up,down,0,-7.2994,0.5893,1w
2021-04-26,chop,up,up,1,10.7806,0.5707,1w
2021-05-05,high_volatility,neutral,up,0,10.6058,0.516,1w
2021-05-14,crisis,down,up,0,10.7697,0.428,1w
2021-05-25,high_volatility,neutral,down,0,-12.1815,0.5467,1w
2021-06-04,high_volatility,up,down,0,-26.1994,0.5907,1w
2021-06-15,high_volatility,up,down,0,-28.6841,0.656,1w
2021-06-24,crisis,down,neutral,0,0.2423,0.3467,1w
2021-07-06,crisis,down,up,0,10.0653,0.3387,1w
2021-07-15,high_volatility,down,up,0,21.9809,0.2853,1w
2021-07-26,trending_bear,neutral,up,0,16.9159,0.456,1w
2021-08-04,chop,down,up,0,14.5171,0.3733,1w
2021-08-13,chop,neutral,up,0,5.2998,0.4707,1w
2021-08-24,chop,neutral,down,0,-7.3984,0.4907,1w
2021-09-02,chop,down,down,1,-3.2494,0.3533,1w
2021-09-14,chop,down,up,0,0.7134,0.404,1w
2021-09-23,chop,up,up,1,32.2222,0.556,1w
2021-10-04,chop,up,up,1,16.383,0.6413,1w
2021-10-13,chop,up,up,1,10.3249,0.7293,1w
2021-10-22,trending_bull,up,down,0,-0.7913,0.7293,1w
2021-11-02,trending_bull,up,down,0,-5.2608,0.78,1w
2021-11-11,trending_bull,up,down,0,-17.2188,0.704,1w
2021-11-22,trending_bull,up,down,0,-9.5351,0.584,1w
2021-12-02,trending_bull,up,down,0,-9.6796,0.5733,1w
2021-12-13,chop,down,up,0,6.6094,0.4293,1w
2021-12-22,chop,up,up,1,10.8068,0.684,1w
2022-01-03,trending_bear,down,up,0,5.3208,0.4253,1w
2022-01-12,chop,neutral,up,0,2.0586,0.4893,1w
2022-01-24,chop,down,down,1,-3.7259,0.4213,1w
2022-02-02,chop,down,up,0,5.8809,0.324,1w
2022-02-11,chop,down,down,1,-16.397,0.3507,1w
2022-02-23,chop,down,down,1,-10.0775,0.3787,1w
2022-03-04,chop,neutral,down,0,-0.7636,0.4773,1w
2022-03-15,chop,down,up,0,16.8964,0.3707,1w
2022-03-24,chop,down,up,0,8.3774,0.4213,1w
2022-04-04,chop,up,down,0,-11.8828,0.5853,1w
2022-04-13,chop,neutral,down,0,-10.2556,0.504,1w
2022-04-25,chop,down,down,1,-1.2456,0.424,1w
2022-05-04,chop,down,down,1,-1.2508,0.3867,1w
2022-05-13,chop,down,up,0,1.5377,0.3293,1w
2022-05-24,chop,down,down,1,-2.8855,0.424,1w
2022-06-03,chop,down,down,1,-2.894,0.368,1w
2022-06-14,chop,neutral,up,0,6.9556,0.4907,1w
2022-06-24,chop,neutral,up,0,13.8784,0.4587,1w
2022-07-06,chop,down,up,0,12.213,0.292,1w
2022-07-15,chop,down,up,0,6.7968,0.376,1w
2022-07-26,chop,up,up,1,3.8127,0.5653,1w
2022-08-04,trending_bull,up,up,1,4.3563,0.68,1w
2022-08-15,trending_bull,up,up,1,7.4871,0.7693,1w
2022-08-24,trending_bull,up,up,1,2.0662,0.732,1w
2022-09-02,chop,up,down,0,-6.7841,0.7933,1w
2022-09-14,chop,up,up,1,6.947,0.9027,1w
2022-09-23,chop,up,up,1,6.664,0.8333,1w
2022-10-04,chop,up,up,1,12.4862,0.6733,1w
2022-10-13,chop,up,down,0,-5.5134,0.7947,1w
2022-10-24,chop,up,down,0,-4.3632,0.7227,1w
2022-11-02,chop,up,down,0,-3.0301,0.656,1w
2022-11-11,chop,up,down,0,-4.0632,0.6,1w
2022-11-22,chop,up,up,1,1.1382,0.5587,1w
2022-12-02,chop,neutral,up,0,3.7762,0.4707,1w
2022-12-13,trending_bear,down,down,1,-1.4859,0.412,1w
2022-12-22,chop,neutral,down,0,-1.6855,0.5453,1w
2023-01-04,chop,up,down,0,-4.059,0.636,1w
2023-01-13,chop,down,up,0,13.4063,0.2733,1w
2023-01-25,chop,down,up,0,13.3577,0.3787,1w
2023-02-03,chop,down,up,0,21.2215,0.3133,1w
2023-02-14,chop,up,up,1,8.1967,0.6053,1w
2023-02-24,trending_bull,up,up,1,11.0063,0.6747,1w
2023-03-07,trending_bull,up,up,1,11.7663,0.764,1w
2023-03-16,trending_bull,up,up,1,7.3082,0.7947,1w
2023-03-27,trending_bull,up,up,1,5.3783,0.7827,1w
2023-04-05,trending_bull,up,down,0,-1.1522,0.876,1w
2023-04-17,trending_bull,up,down,0,-1.2232,0.9267,1w
2023-04-26,trending_bull,up,down,0,-5.9602,0.904,1w
2023-05-05,crisis,up,down,0,-6.1936,0.912,1w
2023-05-16,trending_bull,up,down,0,-4.4298,0.768,1w
2023-05-25,trending_bear,up,neutral,0,-0.4045,0.732,1w
2023-06-06,high_volatility,up,up,1,6.4437,0.56,1w
2023-06-15,high_volatility,down,up,0,12.4654,0.42,1w
2023-06-27,high_volatility,neutral,up,0,0.7882,0.4827,1w
2023-07-07,high_volatility,down,down,1,-6.3672,0.436,1w
2023-07-18,crisis,up,down,0,-5.2755,0.58,1w
2023-07-27,crisis,down,up,0,0.7001,0.408,1w
2023-08-07,crisis,down,down,1,-2.6919,0.3507,1w
2023-08-16,high_volatility,neutral,down,0,-10.271,0.5013,1w
2023-08-25,chop,neutral,down,0,-7.2826,0.4773,1w
2023-09-06,chop,down,up,0,8.2791,0.412,1w
2023-09-15,chop,down,neutral,0,0.0,0.3733,1w
2023-09-26,chop,down,up,0,7.1361,0.3253,1w
2023-10-05,crisis,down,down,1,-9.8947,0.4227,1w
2023-10-16,crisis,down,neutral,0,-0.1206,0.2893,1w
2023-10-25,chop,down,up,0,0.9923,0.368,1w
2023-11-03,chop,down,down,1,-2.1587,0.3947,1w
2023-11-14,chop,down,down,1,-10.4594,0.376,1w
2023-11-24,chop,down,down,1,-12.1303,0.4067,1w
2023-12-05,chop,down,down,1,-1.7605,0.4067,1w
2023-12-14,trending_bear,down,up,0,12.7037,0.3467,1w
2023-12-26,trending_bear,down,up,0,7.0999,0.3747,1w
2024-01-05,trending_bear,down,down,1,-7.186,0.2293,1w
2024-01-17,trending_bull,down,down,1,-12.9981,0.428,1w
2024-01-26,trending_bear,down,down,1,-8.9372,0.324,1w
2024-02-06,trending_bear,down,down,1,-10.4711,0.312,1w
2024-02-15,trending_bear,down,down,1,-0.9658,0.2213,1w
2024-02-27,chop,down,neutral,0,-0.1939,0.2253,1w
2024-03-07,high_volatility,down,down,1,-17.5596,0.1867,1w
2024-03-18,chop,neutral,down,0,-13.1499,0.4653,1w
2024-03-27,chop,neutral,down,0,-14.5297,0.4693,1w
2024-04-08,crisis,down,up,0,0.9264,0.172,1w
2024-04-17,high_volatility,down,up,0,6.0211,0.2747,1w
2024-04-26,chop,down,up,0,5.1195,0.3067,1w
2024-05-07,chop,down,up,0,3.7916,0.3733,1w
2024-05-16,chop,down,up,0,7.5389,0.3787,1w
2024-05-28,chop,down,up,0,2.1182,0.376,1w
2024-06-06,chop,neutral,down,0,-1.7449,0.4653,1w
2024-06-17,chop,down,down,1,-6.0531,0.4253,1w
2024-06-27,chop,down,up,0,7.7033,0.3707,1w
2024-07-09,chop,neutral,down,0,-1.5936,0.5467,1w
2024-07-18,chop,up,down,0,-1.3116,0.5573,1w
2024-07-29,chop,up,up,1,1.0651,0.6613,1w
2024-08-07,chop,neutral,neutral,0,0.3147,0.52,1w
2024-08-16,chop,neutral,up,0,2.0091,0.484,1w
2024-08-27,chop,up,down,0,-3.4821,0.6173,1w
2024-09-06,chop,down,up,0,6.7531,0.3787,1w
2024-09-17,chop,down,neutral,0,-0.4153,0.388,1w
2024-09-26,chop,neutral,down,0,-1.3697,0.512,1w
2024-10-07,chop,neutral,down,0,-2.3854,0.528,1w
2024-10-16,chop,down,up,0,4.3829,0.4387,1w
2024-10-25,chop,down,up,0,4.6707,0.388,1w
2024-11-05,chop,neutral,up,0,10.4108,0.5213,1w
2024-11-14,chop,up,up,1,3.0017,0.5747,1w
2024-11-25,chop,neutral,down,0,-2.6345,0.48,1w
