date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-2.5334,0.7627,1w
2021-01-13,trending_bull,up,down,0,-6.1668,0.7067,1w
2021-01-25,chop,up,down,0,-11.3666,0.56,1w
2021-02-03,chop,up,down,0,-12.1158,0.5867,1w
2021-02-12,chop,down,down,1,-8.7688,0.38,1w
2021-02-24,trending_bear,down,up,0,3.4366,0.2373,1w
2021-03-05,trending_bear,down,up,0,3.1276,0.3507,1w
2021-03-16,high_volatility,down,down,1,-5.4803,0.2747,1w
2021-03-25,high_volatility,down,down,1,-8.8442,0.296,1w
2021-04-06,high_volatility,down,down,1,-8.5096,0.2693,1w
2021-04-15,chop,down,up,0,0.9161,0.2013,1w
2021-04-26,chop,down,neutral,0,-0.3457,0.2413,1w
2021-05-05,chop,down,up,0,5.7425,0.2093,1w
2021-05-14,chop,down,down,1,-4.8796,0.3413,1w
2021-05-25,high_volatility,down,up,0,11.1474,0.4147,1w
2021-06-04,crisis,neutral,up,0,5.5205,0.504,1w
2021-06-15,high_volatility,down,down,1,-6.338,0.3813,1w
2021-06-24,high_volatility,neutral,down,0,-6.1955,0.488,1w
2021-07-06,crisis,neutral,up,0,2.4021,0.528,1w
2021-07-15,chop,neutral,up,0,5.8991,0.5133,1w
2021-07-26,chop,up,neutral,0,0.1734,0.58,1w
2021-08-04,chop,up,down,0,-9.7746,0.584,1w
2021-08-13,chop,up,down,0,-11.4677,0.5693,1w
2021-08-24,chop,up,down,0,-31.2626,0.58,1w
2021-09-02,chop,down,down,1,-27.4339,0.4453,1w
2021-09-14,chop,down,down,1,-25.4231,0.32,1w
2021-09-23,high_volatility,down,up,0,2.6117,0.1613,1w
2021-10-04,trending_bear,down,down,1,-0.5844,0.1867,1w
2021-10-13,trending_bear,down,up,0,6.24,0.22,1w
2021-10-22,trending_bear,down,up,0,12.1996,0.208,1w
2021-11-02,chop,down,up,0,16.7508,0.1907,1w
2021-11-11,chop,down,up,0,1.6824,0.2253,1w
2021-11-22,chop,down,down,1,-2.5817,0.2787,1w
2021-12-02,chop,down,down,1,-1.624,0.3653,1w
2021-12-13,chop,down,up,0,8.486,0.3707,1w
2021-12-22,chop,up,up,1,7.7181,0.6573,1w
2022-01-03,chop,up,up,1,18.2144,0.6373,1w
2022-01-12,chop,up,up,1,12.2091,0.76,1w
2022-01-24,chop,up,up,1,9.2487,0.7547,1w
2022-02-02,trending_bull,up,down,0,-2.1149,0.848,1w
2022-02-11,trending_bull,up,down,0,-7.6566,0.7293,1w
2022-02-23,trending_bull,up,up,1,7.6401,0.6987,1w
2022-03-04,chop,up,up,1,10.3869,0.6933,1w
2022-03-15,chop,up,up,1,13.0556,0.6173,1w
2022-03-24,chop,up,up,1,2.5703,0.752,1w
2022-04-04,trending_bull,up,down,0,-1.5483,0.7613,1w
2022-04-13,trending_bull,up,down,0,-3.0047,0.744,1w
2022-04-25,chop,up,neutral,0,0.3501,0.728,1w
2022-05-04,chop,up,down,0,-3.5848,0.5733,1w
2022-05-13,chop,up,up,1,4.3808,0.5573,1w
2022-05-24,chop,up,up,1,4.964,0.6373,1w
2022-06-03,chop,up,up,1,13.4691,0.588,1w
2022-06-14,chop,up,up,1,7.7356,0.692,1w
2022-06-24,chop,up,up,1,8.6602,0.612,1w
2022-07-06,chop,up,up,1,4.6766,0.6173,1w
2022-07-15,trending_bull,up,up,1,1.3666,0.6733,1w
2022-07-26,trending_bull,up,down,0,-2.4833,0.7827,1w
2022-08-04,trending_bull,up,down,0,-2.9278,0.7253,1w
2022-08-15,trending_bull,up,down,0,-2.5538,0.78,1w
2022-08-24,chop,up,up,1,3.4851,0.7293,1w
2022-09-02,chop,up,up,1,1.5013,0.7653,1w
2022-09-14,chop,up,down,0,-4.4238,0.6467,1w
2022-09-23,chop,up,down,0,-7.5405,0.64,1w
2022-10-04,chop,neutral,down,0,-4.5956,0.5453,1w
2022-10-13,chop,down,down,1,-0.8765,0.2933,1w
2022-10-24,trending_bear,down,up,0,9.0345,0.2493,1w
2022-11-02,high_volatility,down,up,0,7.4694,0.332,1w
2022-11-11,chop,down,up,0,8.2403,0.3107,1w
2022-11-22,chop,down,down,1,-3.2634,0.4467,1w
2022-12-02,chop,neutral,down,0,-7.3774,0.528,1w
2022-12-13,trending_bull,up,down,0,-12.3166,0.6067,1w
2022-12-22,high_volatility,down,neutral,0,0.4524,0.3973,1w
2023-01-04,trending_bear,down,down,1,-3.444,0.3947,1w
2023-01-13,chop,neutral,down,0,-2.6552,0.4587,1w
2023-01-25,chop,up,down,0,-4.1463,0.58,1w
2023-02-03,chop,down,up,0,2.9339,0.412,1w
2023-02-14,chop,down,up,0,7.6322,0.3707,1w
2023-02-24,chop,down,up,0,20.32,0.3747,1w
2023-03-07,chop,down,up,0,9.8562,0.3733,1w
2023-03-16,trending_bull,down,up,0,4.6449,0.3227,1w
2023-03-27,trending_bull,up,down,0,-7.7671,0.7307,1w
2023-04-05,trending_bull,up,down,0,-5.5449,0.668,1w
2023-04-17,trending_bull,up,down,0,-1.4255,0.628,1w
2023-04-26,chop,up,down,0,-6.865,0.58,1w
2023-05-05,chop,up,down,0,-4.4013,0.6133,1w
2023-05-16,chop,up,down,0,-4.7724,0.6467,1w
2023-05-25,chop,neutral,up,0,20.0654,0.5173,1w
2023-06-06,chop,down,up,0,18.7304,0.448,1w
2023-06-15,chop,down,up,0,24.8213,0.4067,1w
2023-06-27,crisis,neutral,up,0,1.5805,0.5107,1w
2023-07-07,high_volatility,up,down,0,-2.3913,0.5733,1w
2023-07-18,trending_bull,up,down,0,-7.3185,0.692,1w
2023-07-27,trending_bull,up,down,0,-0.665,0.628,1w
2023-08-07,high_volatility,up,up,1,2.5815,0.5933,1w
2023-08-16,trending_bull,up,up,1,3.0357,0.5907,1w
2023-08-25,chop,up,down,0,-10.1179,0.7,1w
2023-09-06,chop,up,down,0,-7.3919,0.64,1w
2023-09-15,chop,up,down,0,-10.567,0.68,1w
2023-09-26,crisis,down,up,0,2.4556,0.3467,1w
2023-10-05,chop,down,up,0,4.0998,0.3453,1w
2023-10-16,chop,down,up,0,7.3915,0.3013,1w
2023-10-25,chop,down,up,0,10.2344,0.3693,1w
2023-11-03,chop,down,up,0,2.9083,0.44,1w
2023-11-14,chop,neutral,down,0,-2.5556,0.5013,1w
2023-11-24,chop,neutral,down,0,-10.4758,0.4947,1w
2023-12-05,chop,neutral,down,0,-1.466,0.476,1w
2023-12-14,chop,down,down,1,-2.1416,0.412,1w
2023-12-26,chop,neutral,neutral,0,-0.0036,0.508,1w
2024-01-05,chop,up,down,0,-5.9018,0.58,1w
2024-01-17,chop,neutral,down,0,-2.7808,0.508,1w
2024-01-26,chop,neutral,down,0,-6.006,0.5173,1w
2024-02-06,chop,down,down,1,-3.2111,0.3653,1w
2024-02-15,chop,down,down,1,-6.8946,0.312,1w
2024-02-27,chop,down,down,1,-7.5577,0.2173,1w
2024-03-07,chop,down,down,1,-18.4763,0.2747,1w
2024-03-18,chop,down,down,1,-15.702,0.256,1w
2024-03-27,chop,down,down,1,-13.9183,0.2747,1w
2024-04-08,crisis,down,up,0,0.5827,0.1653,1w
2024-04-17,high_volatility,down,up,0,10.2379,0.224,1w
2024-04-26,trending_bear,down,up,0,4.7211,0.2267,1w
2024-05-07,chop,down,up,0,1.997,0.3213,1w
2024-05-16,chop,down,up,0,0.9768,0.3187,1w
2024-05-28,chop,down,up,0,4.8957,0.3013,1w
2024-06-06,chop,down,up,0,5.4006,0.3787,1w
2024-06-17,chop,down,up,0,0.5076,0.376,1w
2024-06-27,chop,down,down,1,-4.4681,0.4027,1w
2024-07-09,chop,up,down,0,-3.3932,0.608,1w
2024-07-18,chop,up,up,1,0.6172,0.624,1w
2024-07-29,chop,up,up,1,3.4811,0.5733,1w
2024-08-07,chop,neutral,up,0,1.1516,0.5467,1w
2024-08-16,chop,up,neutral,0,0.3263,0.5653,1w
2024-08-27,chop,up,up,1,3.0407,0.5733,1w
2024-09-06,chop,neutral,up,0,6.3095,0.4667,1w
