date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,up,0,2.8431,0.4707,1w
2021-01-13,chop,up,neutral,0,-0.1626,0.688,1w
2021-01-25,crisis,neutral,up,0,6.2665,0.4587,1w
2021-02-03,crisis,neutral,down,0,-0.7928,0.5453,1w
2021-02-12,high_volatility,up,down,0,-5.5418,0.6227,1w
2021-02-24,chop,up,down,0,-3.1588,0.6053,1w
2021-03-05,crisis,neutral,down,0,-5.5588,0.5467,1w
2021-03-16,crisis,up,down,0,-12.8863,0.5747,1w
2021-03-25,crisis,up,down,0,-15.6347,0.5587,1w
2021-04-06,high_volatility,down,down,1,-8.0634,0.4013,1w
2021-04-15,trending_bear,down,down,1,-9.4407,0.2347,1w
2021-04-26,trending_bear,down,down,1,-5.1288,0.2853,1w
2021-05-05,trending_bear,down,neutral,0,-0.4305,0.26,1w
2021-05-14,trending_bear,down,down,1,-4.2535,0.1733,1w
2021-05-25,trending_bear,down,down,1,-8.4676,0.2253,1w
2021-06-04,chop,down,down,1,-12.6601,0.3213,1w
2021-06-15,chop,down,down,1,-6.0446,0.1533,1w
2021-06-24,chop,down,down,1,-2.0241,0.1413,1w
2021-07-06,chop,down,up,0,3.095,0.22,1w
2021-07-15,trending_bear,down,up,0,11.1144,0.2253,1w
2021-07-26,chop,down,up,0,7.451,0.312,1w
2021-08-04,chop,down,neutral,0,0.148,0.2933,1w
2021-08-13,chop,neutral,down,0,-6.0435,0.5387,1w
2021-08-24,chop,down,down,1,-6.7659,0.4307,1w
2021-09-02,chop,down,down,1,-1.4958,0.2853,1w
2021-09-14,chop,neutral,down,0,-6.9465,0.4947,1w
2021-09-23,chop,down,up,0,1.7021,0.3853,1w
2021-10-04,chop,neutral,up,0,4.3732,0.4587,1w
2021-10-13,chop,down,up,0,5.6478,0.4093,1w
2021-10-22,chop,neutral,up,0,4.1897,0.4733,1w
2021-11-02,chop,up,up,1,3.0539,0.5533,1w
2021-11-11,chop,down,down,1,-9.715,0.448,1w
2021-11-22,chop,neutral,down,0,-11.9461,0.4907,1w
2021-12-02,chop,up,down,0,-6.4608,0.556,1w
2021-12-13,chop,down,up,0,7.0297,0.42,1w
2021-12-22,chop,down,up,0,10.5139,0.448,1w
2022-01-03,chop,down,up,0,13.1202,0.412,1w
2022-01-12,chop,neutral,up,0,8.112,0.5013,1w
2022-01-24,chop,neutral,up,0,0.8109,0.5133,1w
2022-02-02,chop,up,down,0,-3.932,0.6053,1w
2022-02-11,chop,neutral,down,0,-31.6752,0.5053,1w
2022-02-23,chop,neutral,down,0,-29.8265,0.4653,1w
2022-03-04,chop,neutral,down,0,-24.3904,0.524,1w
2022-03-15,crisis,down,up,0,1.1594,0.22,1w
2022-03-24,high_volatility,down,down,1,-1.0771,0.268,1w
2022-04-04,trending_bear,down,down,1,-9.8176,0.2387,1w
2022-04-13,chop,down,down,1,-11.347,0.2347,1w
2022-04-25,chop,down,down,1,-0.8992,0.1947,1w
2022-05-04,chop,down,up,0,2.2873,0.1253,1w
2022-05-13,chop,down,up,0,9.1253,0.156,1w
2022-05-24,chop,down,up,0,3.6327,0.2067,1w
2022-06-03,chop,down,neutral,0,-0.4703,0.2413,1w
2022-06-14,chop,neutral,up,0,3.3506,0.4653,1w
2022-06-24,chop,neutral,up,0,10.3595,0.4693,1w
2022-07-06,chop,neutral,up,0,6.8293,0.5067,1w
2022-07-15,chop,neutral,down,0,-7.4114,0.4867,1w
2022-07-26,chop,up,down,0,-9.9755,0.6133,1w
2022-08-04,chop,up,down,0,-5.2834,0.668,1w
2022-08-15,chop,up,up,1,6.9153,0.5933,1w
2022-08-24,trending_bear,neutral,up,0,1.9276,0.524,1w
2022-09-02,chop,neutral,down,0,-8.4098,0.5013,1w
2022-09-14,chop,neutral,down,0,-10.2895,0.536,1w
2022-09-23,chop,neutral,down,0,-7.8,0.4653,1w
2022-10-04,chop,down,up,0,3.044,0.312,1w
2022-10-13,chop,down,up,0,1.7011,0.26,1w
2022-10-24,chop,down,up,0,18.0634,0.18,1w
2022-11-02,chop,down,up,0,15.873,0.2973,1w
2022-11-11,chop,down,up,0,21.2519,0.448,1w
2022-11-22,trending_bull,up,up,1,26.4954,0.58,1w
2022-12-02,trending_bull,up,up,1,15.4665,0.6587,1w
2022-12-13,trending_bull,up,down,0,-3.3899,0.6747,1w
2022-12-22,trending_bull,up,up,1,0.8347,0.7853,1w
2023-01-04,trending_bull,up,down,0,-5.9039,0.8213,1w
2023-01-13,trending_bull,up,down,0,-0.8286,0.784,1w
2023-01-25,trending_bull,up,down,0,-4.5611,0.9027,1w
2023-02-03,trending_bull,up,up,1,7.6785,0.7547,1w
2023-02-14,trending_bear,up,up,1,3.9528,0.7653,1w
2023-02-24,chop,up,up,1,6.0642,0.74,1w
2023-03-07,chop,up,down,0,-2.0168,0.728,1w
2023-03-16,chop,neutral,down,0,-3.7618,0.4853,1w
2023-03-27,chop,neutral,neutral,0,0.2177,0.5387,1w
2023-04-05,chop,neutral,up,0,5.0595,0.4707,1w
2023-04-17,chop,neutral,up,0,14.3109,0.4947,1w
2023-04-26,chop,up,up,1,0.9485,0.576,1w
2023-05-05,chop,up,down,0,-4.3387,0.692,1w
2023-05-16,chop,up,down,0,-8.7565,0.724,1w
2023-05-25,chop,up,down,0,-2.0447,0.6347,1w
2023-06-06,chop,neutral,up,0,1.3215,0.4773,1w
2023-06-15,chop,down,up,0,16.1409,0.4467,1w
2023-06-27,chop,down,up,0,19.0704,0.4093,1w
2023-07-07,chop,neutral,up,0,8.7269,0.4827,1w
2023-07-18,high_volatility,up,down,0,-0.5966,0.7787,1w
2023-07-27,crisis,up,neutral,0,-0.1191,0.732,1w
2023-08-07,crisis,neutral,up,0,6.8683,0.5453,1w
2023-08-16,high_volatility,neutral,up,0,4.179,0.5467,1w
2023-08-25,trending_bull,up,up,1,0.935,0.7253,1w
2023-09-06,trending_bull,up,up,1,4.3645,0.7387,1w
2023-09-15,chop,up,up,1,5.947,0.7693,1w
2023-09-26,chop,up,up,1,3.5725,0.7533,1w
2023-10-05,chop,up,up,1,1.5892,0.744,1w
2023-10-16,chop,up,up,1,4.9355,0.692,1w
2023-10-25,chop,up,up,1,10.8283,0.58,1w
2023-11-03,chop,up,up,1,8.5728,0.676,1w
2023-11-14,high_volatility,up,down,0,-3.6183,0.7253,1w
2023-11-24,trending_bull,up,down,0,-11.1478,0.7147,1w
2023-12-05,trending_bull,up,down,0,-8.4633,0.724,1w
2023-12-14,chop,up,down,0,-4.3016,0.5987,1w
2023-12-26,trending_bear,neutral,up,0,4.4421,0.4827,1w
2024-01-05,trending_bear,neutral,up,0,3.3598,0.5053,1w
2024-01-17,trending_bear,down,neutral,0,0.2706,0.4093,1w
2024-01-26,high_volatility,neutral,down,0,-2.6941,0.54,1w
2024-02-06,chop,neutral,down,0,-10.8084,0.52,1w
2024-02-15,chop,down,down,1,-11.0259,0.3467,1w
2024-02-27,chop,down,down,1,-10.72,0.2307,1w
2024-03-07,crisis,down,down,1,-11.7403,0.1653,1w
