date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,up,1,1.271,0.7253,1w
2021-01-13,chop,up,up,1,5.4477,0.752,1w
2021-01-25,chop,up,up,1,8.1564,0.6893,1w
2021-02-03,chop,up,up,1,7.1016,0.7187,1w
2021-02-12,high_volatility,up,up,1,6.9059,0.6613,1w
2021-02-24,high_volatility,up,up,1,14.4476,0.6627,1w
2021-03-05,high_volatility,up,up,1,8.5619,0.7307,1w
2021-03-16,crisis,up,up,1,7.8622,0.764,1w
2021-03-25,high_volatility,up,down,0,-0.508,0.7867,1w
2021-04-06,crisis,up,down,0,-6.588,0.7427,1w
2021-04-15,high_volatility,up,down,0,-17.3461,0.7827,1w
2021-04-26,high_volatility,up,down,0,-6.183,0.784,1w
2021-05-05,crisis,up,up,1,2.4647,0.6053,1w
2021-05-14,crisis,down,down,1,-7.4163,0.4213,1w
2021-05-25,crisis,up,down,0,-16.0812,0.5827,1w
2021-06-04,high_volatility,neutral,down,0,-13.8694,0.5227,1w
2021-06-15,high_volatility,down,down,1,-6.8438,0.2413,1w
2021-06-24,high_volatility,down,neutral,0,-0.0632,0.1707,1w
2021-07-06,trending_bear,down,up,0,5.251,0.1867,1w
2021-07-15,trending_bear,down,up,0,11.2575,0.128,1w
2021-07-26,trending_bear,down,up,0,5.1025,0.2253,1w
2021-08-04,chop,down,up,0,0.7261,0.3027,1w
2021-08-13,chop,down,down,1,-1.4734,0.4093,1w
2021-08-24,chop,down,down,1,-6.5399,0.3467,1w
2021-09-02,chop,down,up,0,3.0122,0.2853,1w
2021-09-14,chop,neutral,up,0,3.8505,0.504,1w
2021-09-23,chop,down,up,0,12.3816,0.4493,1w
2021-10-04,chop,up,up,1,6.35,0.5587,1w
2021-10-13,chop,up,up,1,8.5221,0.6693,1w
2021-10-22,trending_bull,up,up,1,10.0,0.5907,1w
2021-11-02,trending_bull,up,up,1,8.4759,0.656,1w
2021-11-11,trending_bull,up,up,1,0.5894,0.656,1w
2021-11-22,trending_bull,up,down,0,-2.3726,0.6307,1w
2021-12-02,trending_bull,up,down,0,-6.5913,0.768,1w
2021-12-13,chop,up,up,1,1.8689,0.68,1w
2021-12-22,chop,up,up,1,4.1341,0.7547,1w
2022-01-03,chop,up,up,1,4.7015,0.668,1w
2022-01-12,chop,up,down,0,-0.7925,0.6587,1w
2022-01-24,chop,up,neutral,0,0.1552,0.6987,1w
2022-02-02,chop,up,down,0,-1.1068,0.6107,1w
2022-02-11,chop,neutral,down,0,-9.787,0.5213,1w
2022-02-23,chop,neutral,down,0,-8.6754,0.4827,1w
2022-03-04,chop,down,down,1,-3.135,0.32,1w
2022-03-15,chop,down,up,0,5.585,0.2747,1w
2022-03-24,trending_bear,down,up,0,3.6412,0.3547,1w
2022-04-04,chop,down,down,1,-8.1966,0.4427,1w
2022-04-13,chop,down,down,1,-11.3828,0.3547,1w
2022-04-25,chop,down,down,1,-12.4437,0.3653,1w
2022-05-04,chop,down,down,1,-5.3309,0.248,1w
2022-05-13,trending_bear,down,down,1,-3.4718,0.2173,1w
2022-05-24,trending_bear,down,up,0,2.6187,0.1533,1w
2022-06-03,trending_bear,down,down,1,-5.6891,0.2147,1w
2022-06-14,trending_bear,down,down,1,-9.4,0.2747,1w
2022-06-24,trending_bear,down,down,1,-8.8252,0.2867,1w
2022-07-06,trending_bear,down,down,1,-12.2398,0.216,1w
2022-07-15,trending_bear,down,down,1,-8.465,0.168,1w
2022-07-26,trending_bear,down,down,1,-7.3102,0.1947,1w
2022-08-04,trending_bear,down,down,1,-9.2587,0.1907,1w
2022-08-15,trending_bear,down,down,1,-13.2415,0.2013,1w
2022-08-24,trending_bear,down,down,1,-22.7629,0.256,1w
2022-09-02,trending_bear,down,down,1,-20.398,0.1453,1w
2022-09-14,trending_bear,down,down,1,-16.7704,0.132,1w
2022-09-23,trending_bear,down,down,1,-15.5618,0.0693,1w
2022-10-04,trending_bear,down,down,1,-13.8876,0.0507,1w
2022-10-13,trending_bear,down,down,1,-20.2273,0.0267,1w
2022-10-24,trending_bear,down,down,1,-4.7517,0.06,1w
2022-11-02,high_volatility,down,neutral,0,0.0542,0.1133,1w
2022-11-11,trending_bear,down,up,0,9.5184,0.1053,1w
2022-11-22,trending_bear,down,up,0,18.1767,0.1267,1w
2022-12-02,trending_bear,down,up,0,13.0986,0.1733,1w
2022-12-13,chop,down,down,1,-4.4252,0.2493,1w
2022-12-22,chop,down,down,1,-9.0074,0.4173,1w
2023-01-04,trending_bull,down,down,1,-0.5923,0.428,1w
2023-01-13,chop,down,down,1,-7.824,0.3787,1w
