date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-21.8827,0.612,1w
2021-01-13,chop,down,down,1,-9.6742,0.3467,1w
2021-01-25,trending_bear,down,down,1,-8.9958,0.376,1w
2021-02-03,trending_bear,down,down,1,-10.8647,0.3253,1w
2021-02-12,trending_bear,down,down,1,-5.2863,0.3147,1w
2021-02-24,trending_bear,down,up,0,11.6364,0.3067,1w
2021-03-05,trending_bear,down,up,0,19.5184,0.2747,1w
2021-03-16,trending_bear,down,down,1,-6.3687,0.3507,1w
2021-03-25,chop,down,down,1,-17.8384,0.3227,1w
2021-04-06,chop,down,down,1,-27.8926,0.3187,1w
2021-04-15,chop,down,down,1,-14.0,0.332,1w
2021-04-26,chop,down,up,0,1.4049,0.2987,1w
2021-05-05,trending_bear,down,up,0,8.3682,0.256,1w
2021-05-14,trending_bear,down,up,0,5.2069,0.324,1w
2021-05-25,trending_bear,down,up,0,44.0053,0.4467,1w
2021-06-04,trending_bear,neutral,up,0,34.3101,0.4653,1w
2021-06-15,chop,down,up,0,38.966,0.3853,1w
2021-06-24,trending_bull,up,down,0,-7.3741,0.5733,1w
2021-07-06,trending_bull,up,down,0,-7.328,0.5667,1w
2021-07-15,trending_bull,up,up,1,13.5484,0.6547,1w
2021-07-26,trending_bull,up,up,1,15.4876,0.6613,1w
2021-08-04,trending_bull,up,up,1,5.6673,0.724,1w
2021-08-13,trending_bull,up,down,0,-14.713,0.804,1w
2021-08-24,trending_bull,up,down,0,-18.5882,0.7973,1w
2021-09-02,chop,up,down,0,-6.6318,0.7293,1w
2021-09-14,chop,up,up,1,2.201,0.6987,1w
2021-09-23,chop,down,up,0,10.109,0.4067,1w
2021-10-04,chop,down,down,1,-5.0412,0.4253,1w
2021-10-13,chop,neutral,up,0,1.2785,0.46,1w
2021-10-22,chop,neutral,up,0,1.3072,0.5253,1w
2021-11-02,chop,down,up,0,22.9229,0.4213,1w
2021-11-11,chop,down,up,0,9.0828,0.3733,1w
2021-11-22,chop,down,up,0,3.6364,0.324,1w
