date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,high_volatility,up,down,0,-8.2629,0.924,1w
2021-01-13,crisis,up,down,0,-10.5244,0.848,1w
2021-01-25,high_volatility,up,down,0,-12.7709,0.7107,1w
2021-02-03,crisis,neutral,down,0,-5.2386,0.524,1w
2021-02-12,crisis,down,up,0,0.8441,0.3907,1w
2021-02-24,trending_bear,down,up,0,1.4732,0.4067,1w
2021-03-05,trending_bear,neutral,down,0,-9.2121,0.4907,1w
2021-03-16,high_volatility,down,down,1,-13.7026,0.3387,1w
2021-03-25,trending_bear,down,down,1,-7.4845,0.3293,1w
2021-04-06,trending_bear,down,up,0,6.1682,0.22,1w
2021-04-15,trending_bear,down,up,0,5.0857,0.2173,1w
2021-04-26,trending_bear,down,down,1,-1.6741,0.2693,1w
2021-05-05,chop,down,down,1,-5.5757,0.3507,1w
2021-05-14,chop,down,down,1,-6.005,0.4013,1w
2021-05-25,crisis,down,down,1,-6.7826,0.408,1w
2021-06-04,chop,down,down,1,-4.0578,0.4093,1w
2021-06-15,chop,down,down,1,-3.4159,0.3507,1w
2021-06-24,chop,down,up,0,4.6448,0.3013,1w
2021-07-06,chop,neutral,up,0,15.0811,0.48,1w
2021-07-15,chop,down,up,0,21.0597,0.4253,1w
2021-07-26,chop,neutral,up,0,9.5631,0.4973,1w
2021-08-04,trending_bull,neutral,down,0,-7.16,0.5013,1w
2021-08-13,trending_bull,up,down,0,-9.2171,0.6133,1w
2021-08-24,trending_bull,up,down,0,-12.3207,0.648,1w
2021-09-02,trending_bear,neutral,down,0,-2.5809,0.4827,1w
2021-09-14,chop,up,down,0,-1.2797,0.5907,1w
2021-09-23,chop,neutral,up,0,7.5505,0.464,1w
2021-10-04,chop,neutral,up,0,9.0079,0.5053,1w
2021-10-13,chop,up,up,1,14.3175,0.588,1w
2021-10-22,chop,neutral,up,0,11.1032,0.48,1w
2021-11-02,chop,neutral,up,0,8.0459,0.4787,1w
2021-11-11,trending_bull,neutral,down,0,-6.0335,0.5173,1w
2021-11-22,trending_bull,neutral,down,0,-4.4349,0.5453,1w
2021-12-02,trending_bull,up,down,0,-6.292,0.6613,1w
2021-12-13,chop,up,down,0,-3.4211,0.5907,1w
2021-12-22,chop,up,neutral,0,0.45,0.692,1w
2022-01-03,chop,up,up,1,11.3968,0.584,1w
2022-01-12,chop,neutral,up,0,0.9249,0.528,1w
2022-01-24,chop,up,down,0,-0.6356,0.568,1w
2022-02-02,chop,up,down,0,-5.4542,0.6133,1w
2022-02-11,crisis,down,neutral,0,-0.1507,0.3453,1w
2022-02-23,high_volatility,down,down,1,-2.9383,0.4147,1w
2022-03-04,chop,down,down,1,-1.7931,0.412,1w
2022-03-15,chop,down,up,0,4.1734,0.4453,1w
2022-03-24,chop,down,up,0,2.4013,0.448,1w
2022-04-04,chop,neutral,down,0,-6.3348,0.5013,1w
2022-04-13,chop,up,down,0,-11.9679,0.5693,1w
2022-04-25,chop,neutral,down,0,-7.2227,0.488,1w
2022-05-04,chop,down,up,0,1.5646,0.3187,1w
2022-05-13,trending_bear,down,up,0,9.1746,0.3467,1w
2022-05-24,trending_bear,down,up,0,4.4346,0.296,1w
2022-06-03,chop,down,up,0,1.905,0.3547,1w
2022-06-14,chop,down,up,0,4.6266,0.4333,1w
2022-06-24,chop,down,up,0,15.5847,0.424,1w
2022-07-06,chop,neutral,up,0,4.37,0.4587,1w
2022-07-15,chop,neutral,down,0,-40.2181,0.456,1w
2022-07-26,trending_bull,up,down,0,-42.0837,0.6987,1w
2022-08-04,high_volatility,up,down,0,-36.7041,0.668,1w
2022-08-15,crisis,down,up,0,7.2473,0.256,1w
2022-08-24,trending_bear,down,down,1,-6.4036,0.2573,1w
2022-09-02,trending_bear,down,neutral,0,-0.0564,0.2533,1w
2022-09-14,trending_bear,down,up,0,4.1648,0.2253,1w
2022-09-23,trending_bear,down,up,0,13.4196,0.2173,1w
2022-10-04,trending_bear,down,down,1,-7.3675,0.232,1w
2022-10-13,trending_bear,down,down,1,-13.9782,0.216,1w
2022-10-24,trending_bull,down,down,1,-11.0049,0.2107,1w
2022-11-02,trending_bear,down,neutral,0,0.3216,0.18,1w
2022-11-11,chop,neutral,down,0,-3.1575,0.4653,1w
2022-11-22,chop,down,up,0,0.9229,0.3467,1w
2022-12-02,chop,down,down,1,-1.2817,0.376,1w
2022-12-13,chop,down,down,1,-17.9621,0.3693,1w
2022-12-22,chop,neutral,down,0,-27.981,0.4707,1w
2023-01-04,chop,down,down,1,-32.4099,0.3453,1w
2023-01-13,chop,down,down,1,-22.4317,0.156,1w
