date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,up,0,1.7768,0.2933,1w
2021-01-13,chop,neutral,down,0,-3.3744,0.456,1w
2021-01-25,chop,down,down,1,-2.848,0.3467,1w
2021-02-03,chop,down,down,1,-5.7018,0.3467,1w
2021-02-12,chop,down,down,1,-4.4376,0.3467,1w
2021-02-24,chop,down,up,0,1.2241,0.3733,1w
2021-03-05,chop,down,up,0,3.8513,0.4213,1w
2021-03-16,chop,neutral,down,0,-2.5447,0.4587,1w
2021-03-25,chop,neutral,down,0,-5.3655,0.4773,1w
2021-04-06,chop,down,down,1,-15.6053,0.412,1w
2021-04-15,trending_bear,down,down,1,-19.2507,0.296,1w
2021-04-26,chop,down,down,1,-16.0436,0.356,1w
2021-05-05,trending_bear,down,down,1,-3.0213,0.22,1w
2021-05-14,trending_bear,down,down,1,-9.7668,0.1947,1w
2021-05-25,trending_bear,down,down,1,-14.0231,0.24,1w
2021-06-04,trending_bear,down,down,1,-19.3139,0.304,1w
2021-06-15,trending_bear,down,down,1,-10.1206,0.156,1w
2021-06-24,trending_bear,down,up,0,2.0298,0.124,1w
2021-07-06,trending_bear,down,up,0,21.3903,0.124,1w
2021-07-15,trending_bear,down,up,0,27.1556,0.128,1w
2021-07-26,trending_bear,down,up,0,6.4187,0.2093,1w
2021-08-04,trending_bull,down,down,1,-0.8008,0.376,1w
2021-08-13,trending_bull,up,down,0,-11.2392,0.5573,1w
2021-08-24,trending_bull,neutral,down,0,-14.8293,0.4973,1w
2021-09-02,trending_bull,down,down,1,-12.0821,0.3973,1w
2021-09-14,chop,neutral,down,0,-7.4392,0.524,1w
2021-09-23,chop,down,up,0,12.9517,0.424,1w
2021-10-04,trending_bear,neutral,up,0,15.798,0.5147,1w
2021-10-13,chop,neutral,up,0,25.6697,0.5053,1w
2021-10-22,chop,neutral,up,0,17.0801,0.4947,1w
