date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2022-12-15,chop,up,down,0,-2.0131,0.6613,1w
2022-12-27,trending_bull,up,down,0,-4.0376,0.6347,1w
2023-01-06,trending_bull,up,up,1,6.7861,0.68,1w
2023-01-18,chop,up,up,1,16.0707,0.6653,1w
2023-01-27,chop,up,up,1,25.7027,0.7253,1w
2023-02-07,chop,up,up,1,14.3919,0.668,1w
2023-02-16,trending_bull,up,up,1,5.0816,0.7107,1w
2023-02-28,crisis,up,neutral,0,-0.4053,0.8587,1w
2023-03-09,high_volatility,up,down,0,-6.5161,0.872,1w
2023-03-20,trending_bull,up,down,0,-6.4804,0.7293,1w
2023-03-29,chop,up,down,0,-0.624,0.6947,1w
2023-04-10,chop,up,down,0,-4.9788,0.6467,1w
2023-04-19,chop,up,down,0,-3.1128,0.6613,1w
2023-04-28,chop,up,up,1,2.8987,0.724,1w
2023-05-09,high_volatility,neutral,down,0,-7.7239,0.456,1w
2023-05-18,chop,down,down,1,-4.2569,0.404,1w
2023-05-30,chop,down,down,1,-0.8273,0.2933,1w
2023-06-08,trending_bear,down,up,0,4.4339,0.2373,1w
2023-06-20,trending_bear,down,up,0,1.2963,0.292,1w
2023-06-29,chop,down,up,0,8.4194,0.296,1w
2023-07-11,chop,down,up,0,3.0154,0.376,1w
2023-07-20,chop,down,up,0,5.3674,0.4067,1w
2023-07-31,chop,up,down,0,-0.8271,0.6333,1w
2023-08-09,high_volatility,down,up,0,2.0624,0.4427,1w
2023-08-18,trending_bull,up,up,1,5.4682,0.5573,1w
2023-08-29,trending_bull,up,up,1,9.4077,0.5907,1w
2023-09-08,trending_bull,up,up,1,6.0082,0.692,1w
2023-09-19,chop,up,neutral,0,0.2207,0.6747,1w
2023-09-28,trending_bull,up,down,0,-8.4087,0.7947,1w
2023-10-09,chop,up,down,0,-4.3641,0.704,1w
2023-10-18,chop,up,down,0,-10.4883,0.684,1w
2023-10-27,chop,neutral,down,0,-3.2368,0.4907,1w
2023-11-07,chop,neutral,down,0,-8.0267,0.5467,1w
2023-11-16,chop,down,down,1,-4.1949,0.3893,1w
2023-11-28,chop,down,down,1,-4.2048,0.412,1w
2023-12-07,chop,down,up,0,5.3235,0.344,1w
2023-12-18,chop,down,up,0,13.3426,0.1787,1w
2023-12-28,chop,down,up,0,13.978,0.1453,1w
2024-01-09,chop,down,up,0,3.275,0.3493,1w
2024-01-19,trending_bull,down,up,0,5.4506,0.372,1w
2024-01-30,trending_bull,up,down,0,-2.0951,0.56,1w
2024-02-08,trending_bull,down,down,1,-3.7228,0.4267,1w
2024-02-20,trending_bull,up,down,0,-10.539,0.64,1w
2024-02-29,trending_bull,neutral,down,0,-5.6221,0.5373,1w
2024-03-11,high_volatility,neutral,down,0,-23.5359,0.5013,1w
2024-03-20,chop,up,down,0,-24.541,0.5587,1w
2024-04-01,trending_bear,neutral,down,0,-14.6858,0.4853,1w
2024-04-10,crisis,down,up,0,18.0524,0.2253,1w
2024-04-19,trending_bear,down,up,0,7.2836,0.2013,1w
2024-04-30,trending_bear,down,down,1,-0.5388,0.2627,1w
2024-05-09,trending_bull,down,down,1,-0.5824,0.3507,1w
2024-05-20,chop,down,up,0,2.477,0.2613,1w
2024-05-30,chop,down,up,0,6.9702,0.324,1w
2024-06-10,chop,down,up,0,1.8329,0.3867,1w
2024-06-20,chop,down,up,0,7.3215,0.3653,1w
2024-07-01,chop,down,down,1,-8.1348,0.4333,1w
2024-07-11,chop,up,neutral,0,0.0725,0.7,1w
2024-07-22,chop,up,down,0,-4.6719,0.7253,1w
2024-07-31,chop,down,up,0,1.359,0.4467,1w
2024-08-09,chop,neutral,up,0,3.4913,0.4707,1w
2024-08-20,chop,up,down,0,-0.5983,0.5573,1w
2024-08-29,chop,neutral,up,0,4.3244,0.4707,1w
2024-09-10,chop,up,down,0,-7.1036,0.5693,1w
2024-09-19,chop,neutral,up,0,2.0107,0.524,1w
2024-09-30,chop,neutral,down,0,-2.3249,0.4533,1w
2024-10-09,chop,down,up,0,2.3292,0.3947,1w
2024-10-18,chop,down,down,1,-4.9872,0.4493,1w
2024-10-29,chop,up,up,1,5.7238,0.5693,1w
2024-11-07,chop,down,up,0,15.0661,0.4133,1w
2024-11-18,chop,down,up,0,10.8896,0.392,1w
2024-11-27,chop,up,up,1,2.2438,0.6027,1w
