date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,down,1,-11.4358,0.1347,1w
2021-01-13,trending_bear,down,down,1,-15.1811,0.132,1w
2021-01-25,trending_bear,down,down,1,-12.1061,0.0747,1w
2021-02-03,trending_bear,down,down,1,-22.6006,0.1053,1w
2021-02-12,chop,down,down,1,-28.1619,0.116,1w
2021-02-24,chop,down,down,1,-9.2843,0.136,1w
2021-03-05,chop,down,down,1,-6.0543,0.1907,1w
2021-03-16,trending_bear,down,down,1,-12.8889,0.22,1w
2021-03-25,chop,down,down,1,-18.2203,0.2347,1w
2021-04-06,chop,down,down,1,-13.5371,0.2093,1w
2021-04-15,chop,down,down,1,-29.1457,0.1867,1w
2021-04-26,chop,down,down,1,-27.2277,0.2413,1w
2021-05-05,chop,down,down,1,-23.1144,0.2173,1w
2021-05-14,chop,down,down,1,-20.5438,0.1427,1w
2021-05-25,chop,down,down,1,-1.107,0.2013,1w
2021-06-04,chop,down,down,1,-14.0065,0.2667,1w
2021-06-15,chop,down,down,1,-6.9106,0.2253,1w
2021-06-24,chop,down,down,1,-6.1151,0.22,1w
2021-07-06,chop,down,up,0,32.8,0.2307,1w
2021-07-15,chop,down,up,0,83.6066,0.2253,1w
2021-07-26,chop,down,up,0,61.5385,0.2773,1w
2021-08-04,chop,down,up,0,19.883,0.3813,1w
2021-08-13,trending_bull,up,down,0,-3.7445,0.6173,1w
2021-08-24,trending_bull,up,down,0,-1.0,0.6587,1w
2021-09-02,trending_bull,up,down,0,-15.0685,0.616,1w
2021-09-14,trending_bull,up,down,0,-9.417,0.7547,1w
2021-09-23,trending_bull,up,up,1,2.4194,0.6653,1w
2021-10-04,chop,up,up,1,25.2983,0.7,1w
2021-10-13,chop,up,up,1,14.9746,0.7413,1w
2021-10-22,chop,up,up,1,13.2678,0.7013,1w
2021-11-02,chop,up,down,0,-7.919,0.716,1w
2021-11-11,chop,neutral,down,0,-3.5865,0.476,1w
2021-11-22,chop,up,down,0,-30.4435,0.5653,1w
2021-12-02,chop,up,down,0,-30.8163,0.5573,1w
2021-12-13,chop,neutral,down,0,-4.2735,0.4933,1w
2021-12-22,chop,down,up,0,45.045,0.4253,1w
2022-01-03,chop,down,up,0,58.2132,0.3507,1w
