date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-5.6627,0.6693,1w
2021-01-13,chop,up,down,0,-14.4775,0.66,1w
2021-01-25,chop,neutral,down,0,-11.069,0.5253,1w
2021-02-03,trending_bear,up,down,0,-6.2443,0.5853,1w
2021-02-12,trending_bear,down,down,1,-5.1213,0.2587,1w
2021-02-24,trending_bear,down,down,1,-2.8523,0.1653,1w
2021-03-05,trending_bear,down,down,1,-2.3107,0.1867,1w
2021-03-16,trending_bear,down,up,0,5.6756,0.1253,1w
2021-03-25,trending_bear,down,up,0,5.2587,0.0907,1w
2021-04-06,trending_bear,down,down,1,-0.5604,0.1227,1w
2021-04-15,trending_bull,down,up,0,0.6767,0.1733,1w
2021-04-26,trending_bull,down,up,0,1.6121,0.2747,1w
2021-05-05,chop,down,up,0,2.2229,0.2907,1w
2021-05-14,high_volatility,neutral,down,0,-5.1627,0.4973,1w
2021-05-25,chop,up,down,0,-1.5354,0.5667,1w
2021-06-04,chop,neutral,down,0,-0.5217,0.5427,1w
2021-06-15,chop,neutral,up,0,6.9562,0.488,1w
2021-06-24,high_volatility,up,down,0,-3.6937,0.5907,1w
2021-07-06,chop,neutral,down,0,-0.7333,0.544,1w
2021-07-15,chop,neutral,up,0,0.5751,0.4707,1w
2021-07-26,chop,down,up,0,5.0478,0.4093,1w
2021-08-04,high_volatility,neutral,up,0,4.9104,0.4907,1w
2021-08-13,chop,neutral,down,0,-1.6765,0.5013,1w
2021-08-24,trending_bull,neutral,up,0,1.3725,0.464,1w
2021-09-02,chop,neutral,down,0,-1.2429,0.528,1w
2021-09-14,crisis,up,neutral,0,0.3222,0.668,1w
2021-09-23,crisis,neutral,up,0,7.8428,0.5013,1w
2021-10-04,crisis,neutral,up,0,21.4822,0.468,1w
2021-10-13,chop,up,up,1,24.2853,0.5573,1w
2021-10-22,chop,up,up,1,22.2464,0.668,1w
2021-11-02,crisis,up,up,1,12.8659,0.768,1w
2021-11-11,crisis,up,up,1,8.2132,0.752,1w
2021-11-22,high_volatility,up,up,1,0.8767,0.8053,1w
2021-12-02,trending_bull,up,down,0,-3.293,0.8547,1w
2021-12-13,trending_bull,up,down,0,-2.613,0.848,1w
2021-12-22,high_volatility,up,down,0,-1.4775,0.856,1w
2022-01-03,trending_bull,up,down,0,-4.807,0.8347,1w
2022-01-12,chop,up,up,1,1.4142,0.7987,1w
2022-01-24,chop,up,down,0,-1.8199,0.7467,1w
2022-02-02,chop,up,down,0,-4.0119,0.58,1w
2022-02-11,chop,up,down,0,-6.1526,0.6173,1w
