date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,up,0,8.0561,0.4587,1w
2021-01-13,chop,down,up,0,27.225,0.3293,1w
2021-01-25,chop,down,up,0,14.836,0.296,1w
2021-02-03,chop,down,up,0,20.9111,0.2867,1w
2021-02-12,high_volatility,neutral,down,0,-7.3906,0.5053,1w
2021-02-24,trending_bull,down,up,0,19.2406,0.4467,1w
2021-03-05,high_volatility,up,up,1,5.3833,0.692,1w
2021-03-16,crisis,up,up,1,12.7709,0.6227,1w
2021-03-25,crisis,up,down,0,-1.7748,0.736,1w
2021-04-06,crisis,up,down,0,-3.6519,0.736,1w
2021-04-15,high_volatility,up,down,0,-25.1311,0.7253,1w
2021-04-26,crisis,up,down,0,-10.69,0.7133,1w
2021-05-05,crisis,up,down,0,-2.0142,0.6133,1w
2021-05-14,crisis,down,down,1,-4.4518,0.2973,1w
2021-05-25,crisis,neutral,down,0,-8.926,0.512,1w
2021-06-04,high_volatility,neutral,down,0,-25.1723,0.4733,1w
2021-06-15,crisis,down,down,1,-9.5793,0.3787,1w
2021-06-24,chop,down,down,1,-14.0299,0.3067,1w
2021-07-06,high_volatility,down,up,0,19.1982,0.2427,1w
2021-07-15,trending_bear,down,up,0,24.4162,0.2253,1w
2021-07-26,chop,down,up,0,17.9407,0.2747,1w
2021-08-04,chop,down,down,1,-16.4228,0.3547,1w
2021-08-13,chop,up,down,0,-16.273,0.5627,1w
2021-08-24,chop,down,down,1,-24.9033,0.436,1w
2021-09-02,high_volatility,down,up,0,4.5891,0.2853,1w
2021-09-14,trending_bear,down,down,1,-1.9489,0.428,1w
2021-09-23,trending_bear,down,up,0,8.1321,0.3147,1w
2021-10-04,chop,up,up,1,3.2277,0.5627,1w
2021-10-13,chop,neutral,up,0,15.4665,0.4653,1w
2021-10-22,chop,neutral,up,0,14.1365,0.5013,1w
2021-11-02,chop,down,up,0,14.9085,0.4227,1w
2021-11-11,chop,down,up,0,7.9867,0.4467,1w
2021-11-22,chop,down,up,0,3.3628,0.4413,1w
2021-12-02,chop,up,down,0,-3.2113,0.664,1w
2021-12-13,chop,up,up,1,15.5608,0.696,1w
2021-12-22,chop,up,up,1,12.5325,0.728,1w
2022-01-03,chop,up,up,1,12.3551,0.6173,1w
2022-01-12,chop,up,down,0,-24.6455,0.752,1w
2022-01-24,chop,up,down,0,-23.9258,0.7547,1w
2022-02-02,trending_bull,up,down,0,-23.0891,0.7253,1w
2022-02-11,trending_bear,down,down,1,-5.6833,0.3507,1w
2022-02-23,trending_bear,down,up,0,9.0879,0.3573,1w
2022-03-04,trending_bear,down,up,0,26.2447,0.2773,1w
2022-03-15,trending_bear,down,up,0,18.8674,0.3147,1w
2022-03-24,chop,down,up,0,8.0084,0.4093,1w
2022-04-04,trending_bull,neutral,down,0,-0.5773,0.4973,1w
2022-04-13,trending_bull,down,up,0,2.8275,0.3867,1w
2022-04-25,trending_bull,down,up,0,1.3191,0.3733,1w
2022-05-04,trending_bull,down,neutral,0,-0.303,0.3867,1w
2022-05-13,trending_bull,up,up,1,2.3598,0.7427,1w
2022-05-24,trending_bull,up,up,1,4.0852,0.768,1w
2022-06-03,chop,up,down,0,-3.1107,0.8213,1w
2022-06-14,chop,up,up,1,12.4762,0.768,1w
2022-06-24,chop,up,up,1,17.3769,0.6067,1w
2022-07-06,chop,neutral,up,0,6.3473,0.5053,1w
2022-07-15,chop,up,down,0,-14.2085,0.6613,1w
2022-07-26,trending_bull,up,down,0,-15.5064,0.7187,1w
2022-08-04,chop,up,down,0,-4.904,0.576,1w
2022-08-15,chop,down,neutral,0,-0.3756,0.4213,1w
2022-08-24,trending_bear,down,down,1,-7.7871,0.412,1w
2022-09-02,trending_bear,down,down,1,-18.9095,0.448,1w
2022-09-14,trending_bear,down,down,1,-2.8235,0.4213,1w
2022-09-23,trending_bear,down,down,1,-2.9702,0.296,1w
2022-10-04,trending_bear,down,down,1,-5.4283,0.216,1w
2022-10-13,trending_bear,down,down,1,-17.4073,0.1867,1w
2022-10-24,chop,down,down,1,-0.8903,0.1453,1w
2022-11-02,trending_bear,down,up,0,11.9868,0.1413,1w
2022-11-11,trending_bear,down,up,0,14.2966,0.1573,1w
2022-11-22,trending_bear,down,up,0,10.9993,0.2973,1w
2022-12-02,trending_bull,down,down,1,-0.914,0.312,1w
2022-12-13,trending_bull,down,down,1,-4.766,0.4093,1w
2022-12-22,chop,neutral,down,0,-11.7152,0.5453,1w
2023-01-04,chop,neutral,down,0,-7.8742,0.5053,1w
2023-01-13,chop,down,down,1,-8.1777,0.4213,1w
2023-01-25,chop,down,down,1,-6.6321,0.4387,1w
2023-02-03,chop,down,up,0,3.578,0.4493,1w
2023-02-14,chop,neutral,up,0,4.5951,0.4653,1w
2023-02-24,chop,down,up,0,10.1478,0.368,1w
2023-03-07,chop,down,up,0,16.3113,0.412,1w
2023-03-16,chop,down,up,0,36.6896,0.3733,1w
2023-03-27,chop,down,up,0,28.8867,0.3653,1w
2023-04-05,trending_bull,up,up,1,5.9514,0.608,1w
2023-04-17,crisis,up,up,1,1.469,0.704,1w
2023-04-26,high_volatility,up,down,0,-5.2841,0.752,1w
2023-05-05,trending_bull,up,down,0,-12.0476,0.7893,1w
2023-05-16,crisis,up,down,0,-12.2405,0.7253,1w
2023-05-25,trending_bull,up,down,0,-15.8388,0.752,1w
2023-06-06,chop,up,down,0,-7.6412,0.6507,1w
2023-06-15,chop,up,up,1,12.5115,0.5987,1w
2023-06-27,chop,up,up,1,19.3154,0.5573,1w
2023-07-07,chop,down,up,0,3.6492,0.3227,1w
2023-07-18,chop,neutral,down,0,-6.1069,0.4693,1w
2023-07-27,trending_bull,down,down,1,-2.6218,0.4253,1w
