date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-5.0676,0.6107,1w
2021-01-13,high_volatility,neutral,down,0,-1.9872,0.4907,1w
2021-01-25,crisis,down,down,1,-0.7572,0.3653,1w
2021-02-03,crisis,down,down,1,-9.5274,0.352,1w
2021-02-12,crisis,down,down,1,-6.2045,0.3813,1w
2021-02-24,high_volatility,down,up,0,8.3766,0.2933,1w
2021-03-05,high_volatility,down,up,0,6.2499,0.3707,1w
2021-03-16,high_volatility,down,down,1,-1.1482,0.2747,1w
2021-03-25,chop,down,down,1,-15.4949,0.388,1w
2021-04-06,chop,down,down,1,-17.9319,0.416,1w
2021-04-15,chop,down,down,1,-13.1261,0.336,1w
2021-04-26,chop,down,down,1,-9.4138,0.3573,1w
2021-05-05,high_volatility,down,down,1,-3.7939,0.1973,1w
2021-05-14,high_volatility,down,down,1,-8.3222,0.2587,1w
2021-05-25,high_volatility,down,up,0,5.9186,0.2987,1w
2021-06-04,high_volatility,down,down,1,-1.1158,0.3387,1w
2021-06-15,high_volatility,down,up,0,3.4222,0.2453,1w
2021-06-24,chop,down,down,1,-8.8705,0.22,1w
2021-07-06,high_volatility,down,up,0,3.0618,0.2253,1w
2021-07-15,chop,down,up,0,8.8591,0.2947,1w
2021-07-26,high_volatility,down,up,0,8.4174,0.3253,1w
2021-08-04,chop,down,down,1,-7.1495,0.4253,1w
2021-08-13,chop,neutral,down,0,-14.5478,0.524,1w
2021-08-24,chop,up,down,0,-11.9184,0.5573,1w
2021-09-02,chop,down,down,1,-8.5396,0.412,1w
2021-09-14,chop,down,down,1,-7.0857,0.4387,1w
2021-09-23,trending_bear,down,up,0,2.4205,0.2747,1w
2021-10-04,trending_bear,down,down,1,-10.9898,0.2853,1w
2021-10-13,trending_bear,down,down,1,-5.1686,0.296,1w
2021-10-22,trending_bear,down,down,1,-6.7499,0.4093,1w
2021-11-02,trending_bear,down,up,0,16.1205,0.1787,1w
2021-11-11,trending_bear,down,down,1,-3.2154,0.216,1w
2021-11-22,chop,down,down,1,-7.6971,0.292,1w
2021-12-02,chop,down,down,1,-11.2704,0.3973,1w
2021-12-13,chop,down,down,1,-4.7056,0.344,1w
2021-12-22,chop,down,up,0,11.3264,0.368,1w
2022-01-03,chop,down,up,0,22.3206,0.3253,1w
2022-01-12,chop,down,up,0,2.703,0.376,1w
2022-01-24,chop,down,down,1,-4.5474,0.412,1w
2022-02-02,chop,up,down,0,-9.2098,0.7173,1w
2022-02-11,chop,down,up,0,1.5103,0.4453,1w
2022-02-23,chop,down,up,0,18.2991,0.3893,1w
2022-03-04,chop,down,up,0,11.5704,0.4013,1w
2022-03-15,chop,neutral,up,0,8.5227,0.4707,1w
2022-03-24,chop,up,up,1,1.3566,0.6773,1w
2022-04-04,chop,up,neutral,0,0.2106,0.668,1w
2022-04-13,trending_bull,up,up,1,9.9462,0.6627,1w
2022-04-25,chop,up,up,1,16.5751,0.58,1w
2022-05-04,chop,neutral,up,0,19.3616,0.4653,1w
2022-05-13,chop,up,up,1,3.4809,0.7573,1w
2022-05-24,trending_bull,up,down,0,-4.1626,0.8707,1w
2022-06-03,trending_bull,up,down,0,-5.6555,0.864,1w
2022-06-14,trending_bull,up,neutral,0,-0.3517,0.7693,1w
2022-06-24,trending_bull,up,up,1,9.2453,0.6987,1w
2022-07-06,chop,up,up,1,7.223,0.6947,1w
2022-07-15,chop,up,up,1,4.8643,0.728,1w
2022-07-26,chop,up,neutral,0,0.2937,0.7693,1w
2022-08-04,chop,up,up,1,3.2236,0.752,1w
2022-08-15,chop,up,up,1,7.3038,0.6027,1w
2022-08-24,chop,neutral,up,0,0.947,0.548,1w
2022-09-02,chop,up,up,1,0.5801,0.58,1w
2022-09-14,chop,up,neutral,0,-0.0291,0.632,1w
2022-09-23,chop,up,up,1,7.9645,0.6413,1w
2022-10-04,chop,up,down,0,-5.6119,0.6733,1w
2022-10-13,chop,up,down,0,-5.0396,0.656,1w
2022-10-24,chop,up,up,1,10.254,0.6013,1w
2022-11-02,trending_bear,down,neutral,0,0.1317,0.4093,1w
2022-11-11,chop,neutral,down,0,-0.7858,0.5013,1w
2022-11-22,chop,up,up,1,3.5116,0.5707,1w
2022-12-02,chop,down,up,0,4.1225,0.3973,1w
2022-12-13,chop,down,up,0,7.9961,0.4093,1w
2022-12-22,chop,up,up,1,7.3134,0.6053,1w
2023-01-04,chop,neutral,up,0,5.8572,0.48,1w
2023-01-13,chop,neutral,up,0,3.1597,0.5013,1w
2023-01-25,trending_bull,up,down,0,-9.6064,0.8053,1w
2023-02-03,trending_bull,up,down,0,-8.8133,0.6493,1w
2023-02-14,chop,up,down,0,-1.1137,0.612,1w
2023-02-24,chop,neutral,up,0,8.4893,0.4707,1w
2023-03-07,trending_bear,neutral,up,0,13.4842,0.4667,1w
2023-03-16,chop,up,up,1,4.5504,0.58,1w
2023-03-27,trending_bull,up,up,1,3.4003,0.5693,1w
2023-04-05,trending_bull,up,up,1,8.5567,0.6413,1w
2023-04-17,trending_bull,up,up,1,10.9603,0.5933,1w
2023-04-26,high_volatility,neutral,up,0,1.768,0.5013,1w
2023-05-05,high_volatility,up,up,1,2.4292,0.676,1w
2023-05-16,chop,up,up,1,1.615,0.7253,1w
2023-05-25,trending_bull,up,up,1,4.36,0.7693,1w
2023-06-06,chop,up,up,1,7.0825,0.8227,1w
2023-06-15,chop,up,up,1,2.1327,0.7413,1w
2023-06-27,chop,up,down,0,-9.9293,0.7573,1w
2023-07-07,trending_bull,up,down,0,-16.2398,0.7653,1w
2023-07-18,trending_bull,up,down,0,-9.2239,0.704,1w
2023-07-27,chop,down,down,1,-1.9878,0.3987,1w
2023-08-07,crisis,down,down,1,-1.0696,0.3067,1w
2023-08-16,high_volatility,down,down,1,-2.8782,0.3173,1w
2023-08-25,trending_bear,down,down,1,-1.807,0.3507,1w
2023-09-06,trending_bear,down,up,0,10.8413,0.2613,1w
2023-09-15,trending_bear,down,up,0,3.8539,0.2747,1w
2023-09-26,chop,down,neutral,0,-0.0061,0.236,1w
2023-10-05,chop,down,up,0,3.841,0.256,1w
2023-10-16,chop,down,up,0,8.3071,0.3387,1w
2023-10-25,chop,down,neutral,0,-0.3086,0.376,1w
2023-11-03,chop,up,up,1,2.7277,0.588,1w
2023-11-14,trending_bull,up,up,1,8.2342,0.6413,1w
2023-11-24,high_volatility,neutral,up,0,17.1099,0.4653,1w
2023-12-05,chop,up,up,1,14.1657,0.7293,1w
2023-12-14,high_volatility,up,down,0,-1.9068,0.736,1w
2023-12-26,crisis,up,neutral,0,-0.1534,0.736,1w
2024-01-05,high_volatility,up,down,0,-1.9899,0.7387,1w
2024-01-17,high_volatility,up,down,0,-6.2398,0.6973,1w
2024-01-26,high_volatility,up,down,0,-13.771,0.7,1w
2024-02-06,crisis,up,down,0,-10.402,0.6187,1w
2024-02-15,chop,neutral,down,0,-11.4381,0.5293,1w
2024-02-27,trending_bear,neutral,down,0,-9.2625,0.4707,1w
2024-03-07,high_volatility,down,down,1,-11.7898,0.412,1w
2024-03-18,trending_bear,down,down,1,-7.1499,0.2213,1w
2024-03-27,trending_bear,down,up,0,3.5696,0.1773,1w
2024-04-08,crisis,down,down,1,-2.7913,0.144,1w
2024-04-17,high_volatility,down,up,0,12.7785,0.2013,1w
2024-04-26,trending_bear,down,up,0,8.2242,0.256,1w
2024-05-07,chop,down,up,0,15.4194,0.2667,1w
2024-05-16,chop,down,up,0,5.8238,0.3507,1w
2024-05-28,chop,neutral,up,0,2.7386,0.484,1w
2024-06-06,chop,up,down,0,-0.5487,0.5573,1w
2024-06-17,chop,neutral,up,0,14.0783,0.5467,1w
2024-06-27,chop,up,up,1,11.7664,0.6173,1w
2024-07-09,chop,up,up,1,11.782,0.62,1w
2024-07-18,chop,up,up,1,5.3465,0.7987,1w
2024-07-29,trending_bull,up,up,1,10.2866,0.768,1w
2024-08-07,trending_bull,up,up,1,19.3255,0.8867,1w
2024-08-16,trending_bull,up,up,1,26.558,0.8187,1w
2024-08-27,trending_bull,up,up,1,14.7284,0.8227,1w
2024-09-06,trending_bull,up,up,1,2.2787,0.872,1w
2024-09-17,trending_bull,up,down,0,-0.5575,0.952,1w
2024-09-26,trending_bull,up,up,1,10.0247,0.9227,1w
2024-10-07,trending_bull,up,up,1,17.8943,0.904,1w
2024-10-16,high_volatility,up,up,1,11.0972,0.8627,1w
2024-10-25,crisis,up,up,1,16.5277,0.9053,1w
2024-11-05,crisis,up,up,1,12.5866,0.916,1w
2024-11-14,crisis,up,up,1,4.4442,0.904,1w
2024-11-25,crisis,up,down,0,-2.0035,0.916,1w
