date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,down,1,-21.0526,0.3187,1w
2021-01-13,trending_bear,down,up,0,1.6,0.292,1w
2021-01-25,trending_bear,down,down,1,-7.0144,0.2093,1w
2021-02-03,trending_bear,down,down,1,-40.146,0.1733,1w
2021-02-12,trending_bear,down,down,1,-48.7267,0.0853,1w
2021-02-24,trending_bear,down,down,1,-30.0,0.0787,1w
2021-03-05,trending_bear,down,up,0,3.2738,0.1533,1w
2021-03-16,trending_bear,down,up,0,12.2112,0.1747,1w
2021-03-25,trending_bear,down,down,1,-21.4876,0.232,1w
2021-04-06,trending_bear,down,down,1,-19.6429,0.2267,1w
2021-04-15,chop,down,down,1,-22.4138,0.2733,1w
2021-04-26,chop,down,up,0,1.049,0.256,1w
2021-05-05,chop,down,down,1,-17.2956,0.2933,1w
2021-05-14,chop,down,down,1,-13.8298,0.2227,1w
2021-05-25,chop,down,up,0,7.451,0.2853,1w
2021-06-04,chop,down,up,0,6.6929,0.376,1w
2021-06-15,chop,down,up,0,1.2245,0.388,1w
2021-06-24,chop,down,down,1,-4.8443,0.3693,1w
2021-07-06,chop,down,up,0,30.9524,0.324,1w
2021-07-15,chop,down,up,0,54.6185,0.344,1w
2021-07-26,chop,neutral,up,0,20.0692,0.4653,1w
2021-08-04,chop,neutral,down,0,-20.7182,0.4973,1w
2021-08-13,trending_bull,up,down,0,-18.0371,0.6107,1w
2021-08-24,trending_bull,up,down,0,-25.0,0.6333,1w
2021-09-02,chop,neutral,down,0,-8.7838,0.5453,1w
2021-09-14,chop,up,down,0,-18.6885,0.6,1w
2021-09-23,chop,down,down,1,-14.1818,0.428,1w
2021-10-04,chop,neutral,down,0,-9.589,0.5213,1w
2021-10-13,chop,neutral,up,0,8.0972,0.4707,1w
2021-10-22,chop,down,up,0,28.5714,0.3467,1w
2021-11-02,chop,down,up,0,13.2841,0.2693,1w
2021-11-11,chop,down,up,0,7.1429,0.256,1w
2021-11-22,chop,down,up,0,7.2165,0.3573,1w
2021-12-02,chop,neutral,up,0,9.4937,0.5013,1w
2021-12-13,chop,neutral,up,0,12.1118,0.5013,1w
2021-12-22,chop,up,up,1,17.6471,0.5733,1w
2022-01-03,chop,up,up,1,3.7143,0.5987,1w
2022-01-12,trending_bull,up,down,0,-5.8659,0.752,1w
2022-01-24,trending_bull,up,down,0,-12.7717,0.768,1w
2022-02-02,trending_bull,up,down,0,-11.5493,0.692,1w
2022-02-11,chop,up,down,0,-18.1035,0.5853,1w
2022-02-23,chop,up,down,0,-13.5484,0.5573,1w
2022-03-04,chop,neutral,up,0,1.2862,0.4693,1w
2022-03-15,chop,down,up,0,3.5211,0.376,1w
2022-03-24,trending_bear,down,neutral,0,0.0,0.3707,1w
2022-04-04,chop,down,down,1,-4.4872,0.3867,1w
2022-04-13,chop,down,up,0,10.4377,0.3067,1w
2022-04-25,chop,down,up,0,10.5072,0.2253,1w
2022-05-04,chop,down,up,0,2.9801,0.312,1w
2022-05-13,chop,down,up,0,7.5949,0.4147,1w
2022-05-24,chop,neutral,up,0,6.6667,0.4653,1w
2022-06-03,chop,neutral,up,0,2.7864,0.4707,1w
2022-06-14,chop,up,up,1,5.2326,0.6107,1w
2022-06-24,chop,up,up,1,11.6208,0.5867,1w
2022-07-06,chop,neutral,up,0,7.8313,0.5253,1w
2022-07-15,chop,up,down,0,-3.1339,0.6293,1w
2022-07-26,chop,up,up,1,1.385,0.6987,1w
2022-08-04,chop,up,up,1,6.1281,0.6107,1w
2022-08-15,chop,neutral,up,0,6.3636,0.544,1w
2022-08-24,chop,up,down,0,-7.2973,0.696,1w
2022-09-02,chop,up,down,0,-7.6087,0.668,1w
2022-09-14,chop,neutral,down,0,-3.662,0.4947,1w
2022-09-23,chop,neutral,down,0,-3.5294,0.5267,1w
2022-10-04,chop,neutral,down,0,-10.0575,0.4987,1w
2022-10-13,chop,down,down,1,-2.6316,0.4253,1w
2022-10-24,trending_bear,down,down,1,-2.1875,0.3493,1w
2022-11-02,trending_bear,down,neutral,0,-0.3165,0.296,1w
2022-11-11,trending_bear,neutral,down,0,-5.4217,0.48,1w
2022-11-22,chop,down,up,0,3.2051,0.2267,1w
2022-12-02,chop,down,up,0,3.5032,0.2373,1w
2022-12-13,chop,down,down,1,-1.5924,0.268,1w
2022-12-22,chop,down,down,1,-3.0675,0.376,1w
2023-01-04,chop,down,down,1,-1.8349,0.3507,1w
2023-01-13,chop,down,up,0,16.7808,0.2987,1w
2023-01-25,chop,down,up,0,0.6309,0.4453,1w
2023-02-03,chop,neutral,down,0,-4.6154,0.4907,1w
2023-02-14,chop,neutral,down,0,-9.9432,0.5013,1w
2023-02-24,chop,neutral,neutral,0,0.477,0.4973,1w
2023-03-07,chop,down,up,0,1.25,0.448,1w
2023-03-16,chop,neutral,up,0,3.1546,0.48,1w
2023-03-27,chop,down,up,0,9.375,0.424,1w
2023-04-05,chop,neutral,up,0,6.9697,0.456,1w
2023-04-17,chop,up,up,1,12.1495,0.616,1w
2023-04-26,chop,up,up,1,4.5714,0.5893,1w
2023-05-05,chop,up,up,1,5.1429,0.5827,1w
2023-05-16,chop,neutral,down,0,-1.3699,0.5,1w
2023-05-25,trending_bull,up,down,0,-3.8356,0.724,1w
2023-06-06,trending_bull,up,down,0,-3.5326,0.7107,1w
2023-06-15,chop,up,down,0,-2.7855,0.7107,1w
2023-06-27,chop,up,down,0,-5.9322,0.656,1w
2023-07-07,chop,up,down,0,-11.4525,0.6173,1w
2023-07-18,chop,up,down,0,-8.5044,0.656,1w
2023-07-27,chop,down,down,1,-2.1148,0.268,1w
2023-08-07,trending_bear,down,up,0,5.3628,0.156,1w
2023-08-16,trending_bear,down,up,0,10.4101,0.1653,1w
2023-08-25,trending_bear,down,up,0,16.6667,0.2413,1w
2023-09-06,chop,down,up,0,11.8541,0.2853,1w
2023-09-15,chop,down,up,0,1.1204,0.4093,1w
2023-09-26,trending_bull,up,up,1,8.6842,0.58,1w
2023-10-05,trending_bull,neutral,up,0,10.8401,0.5053,1w
2023-10-16,chop,up,up,1,35.8333,0.5613,1w
2023-10-25,trending_bull,up,up,1,24.57,0.7547,1w
2023-11-03,trending_bull,up,up,1,26.7303,0.784,1w
2023-11-14,crisis,up,up,1,8.4567,0.924,1w
2023-11-24,crisis,up,down,0,-3.891,0.8493,1w
2023-12-05,high_volatility,up,down,0,-7.0611,0.8653,1w
2023-12-14,high_volatility,up,down,0,-13.2554,0.7707,1w
2023-12-26,chop,up,down,0,-8.0645,0.708,1w
2024-01-05,chop,up,down,0,-1.4768,0.724,1w
2024-01-17,chop,up,up,1,17.7778,0.6613,1w
