date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-7.9098,0.508,1w
2021-01-13,chop,neutral,down,0,-5.0575,0.5467,1w
2021-01-25,crisis,down,neutral,0,0.2563,0.212,1w
2021-02-03,crisis,down,down,1,-7.6226,0.2493,1w
2021-02-12,chop,down,down,1,-9.961,0.348,1w
2021-02-24,chop,down,down,1,-1.0556,0.268,1w
2021-03-05,trending_bear,down,neutral,0,0.1668,0.256,1w
2021-03-16,trending_bear,down,down,1,-2.8496,0.2347,1w
2021-03-25,chop,down,down,1,-4.8955,0.28,1w
2021-04-06,chop,down,down,1,-4.1285,0.22,1w
2021-04-15,chop,down,down,1,-7.0068,0.1867,1w
2021-04-26,chop,down,down,1,-1.4965,0.3507,1w
2021-05-05,chop,down,up,0,0.6559,0.2493,1w
2021-05-14,chop,down,down,1,-7.1451,0.1973,1w
2021-05-25,chop,down,down,1,-8.2903,0.3653,1w
2021-06-04,chop,down,down,1,-6.7403,0.4453,1w
2021-06-15,chop,down,neutral,0,-0.3363,0.26,1w
2021-06-24,chop,down,up,0,7.0586,0.2413,1w
2021-07-06,chop,down,up,0,13.4157,0.3373,1w
2021-07-15,chop,down,up,0,20.4002,0.2933,1w
2021-07-26,chop,neutral,up,0,6.7902,0.4907,1w
2021-08-04,trending_bull,neutral,up,0,1.2499,0.5133,1w
2021-08-13,trending_bull,up,down,0,-7.02,0.6693,1w
2021-08-24,trending_bull,up,down,0,-7.796,0.5893,1w
2021-09-02,trending_bull,neutral,down,0,-9.7532,0.5467,1w
2021-09-14,chop,up,down,0,-9.7629,0.7067,1w
2021-09-23,chop,neutral,up,0,7.6597,0.536,1w
2021-10-04,trending_bear,neutral,up,0,10.706,0.5013,1w
2021-10-13,chop,neutral,up,0,23.2,0.4853,1w
2021-10-22,chop,neutral,up,0,15.6708,0.5053,1w
2021-11-02,trending_bull,up,up,1,10.4454,0.5573,1w
2021-11-11,trending_bull,up,down,0,-5.0908,0.5747,1w
2021-11-22,trending_bull,up,down,0,-8.1834,0.632,1w
2021-12-02,trending_bull,up,down,0,-9.0283,0.696,1w
2021-12-13,trending_bull,up,neutral,0,0.3391,0.6333,1w
2021-12-22,trending_bear,up,up,1,0.7958,0.704,1w
2022-01-03,chop,up,up,1,6.2611,0.644,1w
2022-01-12,chop,up,neutral,0,0.0053,0.792,1w
2022-01-24,chop,up,up,1,3.9785,0.58,1w
2022-02-02,chop,up,down,0,-2.7959,0.5773,1w
2022-02-11,chop,down,down,1,-15.427,0.4093,1w
2022-02-23,chop,down,down,1,-13.4786,0.368,1w
2022-03-04,chop,down,down,1,-6.7701,0.356,1w
2022-03-15,high_volatility,down,up,0,6.9282,0.2253,1w
2022-03-24,high_volatility,down,up,0,6.5771,0.3147,1w
2022-04-04,chop,down,neutral,0,-0.084,0.364,1w
2022-04-13,chop,down,down,1,-5.1843,0.304,1w
