date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-2.6316,0.3027,1w
2021-01-13,trending_bear,down,down,1,-7.5472,0.216,1w
2021-01-25,trending_bear,down,down,1,-0.9901,0.1747,1w
2021-02-03,trending_bear,down,up,0,22.1154,0.216,1w
2021-02-12,chop,down,up,0,8.2474,0.1533,1w
2021-02-24,chop,down,up,0,50.0,0.2253,1w
2021-03-05,chop,down,up,0,26.4957,0.412,1w
2021-03-16,chop,down,up,0,20.0,0.3733,1w
2021-03-25,chop,up,down,0,-17.1429,0.58,1w
2021-04-06,trending_bull,up,down,0,-20.6667,0.6267,1w
2021-04-15,chop,up,down,0,-19.8529,0.6053,1w
2021-04-26,chop,up,down,0,-0.813,0.5653,1w
2021-05-05,chop,up,up,1,8.2645,0.5613,1w
2021-05-14,trending_bear,neutral,down,0,-1.7241,0.5467,1w
2021-05-25,chop,up,up,1,11.9658,0.6133,1w
2021-06-04,chop,up,down,0,-6.015,0.5573,1w
2021-06-15,trending_bear,neutral,up,0,11.3044,0.5013,1w
2021-06-24,chop,down,up,0,3.0534,0.424,1w
2021-07-06,chop,down,up,0,26.7717,0.3507,1w
2021-07-15,chop,down,up,0,26.7176,0.4253,1w
2021-07-26,chop,neutral,up,0,30.2326,0.5453,1w
2021-08-04,chop,up,up,1,30.7189,0.6627,1w
2021-08-13,trending_bull,up,up,1,1.1429,0.7107,1w
2021-08-24,trending_bull,up,down,0,-11.6402,0.724,1w
2021-09-02,trending_bull,up,down,0,-17.1569,0.7427,1w
2021-09-14,trending_bull,up,down,0,-5.4054,0.724,1w
2021-09-23,trending_bull,up,up,1,11.875,0.6173,1w
2021-10-04,trending_bear,up,up,1,29.5455,0.6453,1w
2021-10-13,trending_bear,up,up,1,8.8889,0.6533,1w
2021-10-22,trending_bull,up,up,1,6.2147,0.668,1w
2021-11-02,trending_bull,up,down,0,-14.2857,0.724,1w
2021-11-11,trending_bull,neutral,down,0,-20.4188,0.548,1w
2021-11-22,trending_bull,neutral,down,0,-27.957,0.4707,1w
2021-12-02,chop,down,down,1,-30.4813,0.412,1w
2021-12-13,chop,down,down,1,-5.8442,0.324,1w
2021-12-22,trending_bear,down,up,0,3.937,0.3467,1w
2022-01-03,trending_bear,down,up,0,9.2308,0.248,1w
2022-01-12,trending_bear,down,down,1,-18.9189,0.332,1w
2022-01-24,trending_bear,down,down,1,-9.8485,0.2787,1w
2022-02-02,chop,down,down,1,-14.7059,0.2013,1w
2022-02-11,chop,down,down,1,-14.6341,0.1733,1w
2022-02-23,trending_bear,down,down,1,-12.1739,0.1787,1w
2022-03-04,chop,down,down,1,-4.2017,0.1867,1w
2022-03-15,chop,down,down,1,-0.9615,0.2347,1w
2022-03-24,chop,down,down,1,-6.0606,0.3347,1w
2022-04-04,chop,down,down,1,-16.0714,0.392,1w
2022-04-13,chop,down,up,0,0.9709,0.236,1w
2022-04-25,chop,down,up,0,19.5652,0.2413,1w
2022-05-04,trending_bear,down,up,0,15.0,0.2307,1w
2022-05-13,chop,down,up,0,8.2569,0.3707,1w
2022-05-24,trending_bull,down,down,1,-10.5263,0.4467,1w
2022-06-03,trending_bull,down,down,1,-14.5161,0.4493,1w
2022-06-14,trending_bull,up,down,0,-9.4017,0.5693,1w
2022-06-24,trending_bear,neutral,down,0,-0.9346,0.5,1w
2022-07-06,trending_bear,down,up,0,12.381,0.4253,1w
2022-07-15,chop,neutral,up,0,3.7383,0.4987,1w
2022-07-26,chop,up,up,1,0.9524,0.5867,1w
2022-08-04,chop,up,up,1,32.1739,0.6067,1w
2022-08-15,trending_bear,neutral,up,0,28.4404,0.4907,1w
2022-08-24,chop,down,up,0,22.8571,0.4013,1w
2022-09-02,trending_bull,up,down,0,-12.5828,0.6173,1w
2022-09-14,trending_bull,up,down,0,-6.5693,0.6053,1w
2022-09-23,trending_bull,up,up,1,3.2258,0.616,1w
2022-10-04,chop,up,up,1,2.2222,0.6347,1w
2022-10-13,chop,up,down,0,-3.0075,0.5987,1w
2022-10-24,chop,up,up,1,15.625,0.6107,1w
2022-11-02,chop,up,up,1,6.338,0.5987,1w
2022-11-11,chop,up,up,1,10.7914,0.5907,1w
2022-11-22,chop,up,up,1,26.1438,0.7067,1w
2022-12-02,chop,neutral,up,0,26.4901,0.4707,1w
