date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,down,1,-10.7313,0.252,1w
2021-01-13,chop,down,up,0,11.3244,0.26,1w
2021-01-25,chop,down,up,0,11.189,0.1867,1w
2021-02-03,trending_bear,down,up,0,24.6038,0.2013,1w
2021-02-12,trending_bull,neutral,down,0,-11.1168,0.4587,1w
2021-02-24,chop,neutral,up,0,2.8105,0.4827,1w
2021-03-05,chop,neutral,up,0,9.4259,0.5467,1w
2021-03-16,chop,neutral,up,0,7.8508,0.4773,1w
2021-03-25,chop,neutral,down,0,-6.8793,0.528,1w
2021-04-06,chop,up,down,0,-20.5266,0.6107,1w
2021-04-15,chop,up,down,0,-9.6741,0.58,1w
2021-04-26,chop,neutral,up,0,9.3198,0.5467,1w
2021-05-05,trending_bear,neutral,up,0,24.438,0.548,1w
2021-05-14,trending_bear,down,up,0,12.7845,0.3467,1w
2021-05-25,trending_bull,up,up,1,3.3569,0.58,1w
2021-06-04,trending_bull,up,up,1,3.0853,0.5733,1w
2021-06-15,trending_bull,up,up,1,1.6051,0.6387,1w
2021-06-24,trending_bull,up,up,1,2.8961,0.5573,1w
2021-07-06,trending_bull,neutral,up,0,4.5441,0.52,1w
2021-07-15,trending_bull,up,up,1,17.335,0.5747,1w
2021-07-26,chop,up,up,1,11.823,0.6627,1w
2021-08-04,trending_bull,up,up,1,8.6265,0.76,1w
2021-08-13,trending_bull,up,up,1,2.1877,0.8147,1w
2021-08-24,trending_bull,up,down,0,-3.3554,0.7573,1w
2021-09-02,trending_bull,up,up,1,2.875,0.6747,1w
2021-09-14,trending_bull,up,down,0,-4.1176,0.7573,1w
2021-09-23,trending_bull,up,up,1,8.5164,0.6653,1w
2021-10-04,chop,up,up,1,8.0566,0.692,1w
2021-10-13,chop,up,up,1,6.6093,0.7067,1w
2021-10-22,chop,up,up,1,0.7346,0.7147,1w
2021-11-02,trending_bull,up,up,1,5.271,0.7467,1w
2021-11-11,trending_bull,up,up,1,3.1546,0.6107,1w
2021-11-22,high_volatility,neutral,down,0,-4.5958,0.5467,1w
