date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-9.7739,0.9,1w
2021-01-13,high_volatility,up,down,0,-8.811,0.7253,1w
2021-01-25,crisis,down,down,1,-13.0947,0.376,1w
2021-02-03,crisis,neutral,down,0,-13.2101,0.4707,1w
2021-02-12,high_volatility,down,down,1,-8.5668,0.408,1w
2021-02-24,crisis,down,up,0,3.4084,0.1507,1w
2021-03-05,crisis,down,down,1,-6.3369,0.168,1w
2021-03-16,high_volatility,down,down,1,-6.7724,0.1587,1w
2021-03-25,high_volatility,down,down,1,-4.9623,0.1867,1w
2021-04-06,trending_bear,down,neutral,0,-0.2029,0.1373,1w
2021-04-15,chop,down,down,1,-6.6781,0.1787,1w
2021-04-26,chop,down,down,1,-6.2012,0.2213,1w
2021-05-05,chop,down,down,1,-2.3812,0.22,1w
2021-05-14,crisis,down,down,1,-3.7434,0.2413,1w
2021-05-25,crisis,down,down,1,-3.7373,0.3733,1w
2021-06-04,high_volatility,down,down,1,-6.9981,0.4013,1w
2021-06-15,chop,down,up,0,3.8791,0.2813,1w
2021-06-24,chop,down,up,0,8.1802,0.2933,1w
2021-07-06,chop,down,up,0,8.0365,0.376,1w
2021-07-15,chop,down,up,0,7.6878,0.376,1w
2021-07-26,chop,neutral,up,0,2.9244,0.48,1w
2021-08-04,chop,down,down,1,-3.8695,0.4227,1w
2021-08-13,chop,up,down,0,-11.0825,0.5813,1w
2021-08-24,trending_bull,up,down,0,-12.0781,0.584,1w
2021-09-02,chop,down,down,1,-2.8092,0.3973,1w
2021-09-14,chop,neutral,up,0,1.5126,0.4693,1w
2021-09-23,trending_bear,down,up,0,1.6941,0.388,1w
2021-10-04,chop,neutral,up,0,2.2448,0.4707,1w
2021-10-13,chop,down,up,0,10.2075,0.4067,1w
2021-10-22,chop,down,up,0,11.8337,0.3547,1w
2021-11-02,chop,down,up,0,13.9641,0.412,1w
2021-11-11,chop,neutral,up,0,4.7705,0.4653,1w
2021-11-22,chop,neutral,down,0,-1.1044,0.512,1w
2021-12-02,chop,up,down,0,-3.683,0.6173,1w
2021-12-13,chop,up,down,0,-0.9072,0.7067,1w
2021-12-22,chop,up,neutral,0,0.4967,0.6987,1w
2022-01-03,chop,up,up,1,6.2741,0.6013,1w
2022-01-12,chop,up,down,0,-2.3188,0.6987,1w
2022-01-24,chop,up,down,0,-5.6578,0.6507,1w
2022-02-02,chop,up,down,0,-10.0422,0.7173,1w
2022-02-11,chop,neutral,down,0,-8.9108,0.52,1w
2022-02-23,chop,down,down,1,-3.907,0.3413,1w
2022-03-04,chop,down,up,0,2.2002,0.2973,1w
2022-03-15,trending_bear,down,up,0,1.9042,0.2333,1w
2022-03-24,trending_bear,down,up,0,5.3543,0.2827,1w
2022-04-04,chop,down,down,1,-1.0115,0.336,1w
2022-04-13,chop,down,down,1,-2.3223,0.2667,1w
2022-04-25,chop,down,up,0,1.0518,0.3507,1w
2022-05-04,chop,down,up,0,1.9302,0.22,1w
2022-05-13,chop,down,up,0,6.9202,0.2907,1w
2022-05-24,chop,down,up,0,8.1453,0.424,1w
2022-06-03,chop,neutral,up,0,2.0338,0.5013,1w
2022-06-14,chop,up,up,1,4.6454,0.568,1w
2022-06-24,chop,up,up,1,5.052,0.656,1w
2022-07-06,chop,up,up,1,7.8003,0.5693,1w
2022-07-15,chop,up,up,1,4.8554,0.6053,1w
2022-07-26,trending_bull,up,down,0,-2.1595,0.7347,1w
2022-08-04,trending_bull,up,neutral,0,0.2136,0.7267,1w
2022-08-15,trending_bull,up,neutral,0,-0.3889,0.7973,1w
2022-08-24,chop,up,down,0,-4.4641,0.7467,1w
2022-09-02,chop,up,down,0,-10.3098,0.7347,1w
2022-09-14,chop,up,down,0,-9.1724,0.7133,1w
2022-09-23,chop,down,down,1,-6.3562,0.3893,1w
2022-10-04,trending_bear,down,up,0,0.9702,0.3573,1w
2022-10-13,trending_bear,down,down,1,-3.1144,0.224,1w
2022-10-24,trending_bear,down,up,0,10.063,0.108,1w
2022-11-02,trending_bear,down,up,0,10.3467,0.1867,1w
2022-11-11,trending_bear,down,up,0,13.8576,0.152,1w
2022-11-22,trending_bull,down,up,0,12.9484,0.3733,1w
2022-12-02,trending_bull,neutral,up,0,4.6646,0.456,1w
2022-12-13,trending_bull,up,up,1,1.8817,0.6107,1w
2022-12-22,trending_bull,up,neutral,0,0.4752,0.752,1w
2023-01-04,trending_bull,up,up,1,3.5575,0.768,1w
2023-01-13,trending_bull,up,up,1,0.7113,0.8213,1w
2023-01-25,trending_bull,up,up,1,4.5877,0.872,1w
2023-02-03,trending_bull,up,up,1,6.5817,0.8213,1w
2023-02-14,trending_bull,up,up,1,3.9831,0.8427,1w
2023-02-24,chop,up,up,1,1.7686,0.8667,1w
2023-03-07,trending_bull,up,down,0,-4.9608,0.82,1w
2023-03-16,trending_bull,up,down,0,-9.9702,0.6267,1w
2023-03-27,high_volatility,up,down,0,-13.9703,0.6747,1w
2023-04-05,high_volatility,up,down,0,-5.4578,0.572,1w
2023-04-17,high_volatility,down,up,0,4.7592,0.3307,1w
2023-04-26,trending_bear,down,down,1,-2.9813,0.3027,1w
2023-05-05,trending_bear,down,down,1,-2.3875,0.3733,1w
2023-05-16,high_volatility,down,up,0,1.9027,0.384,1w
2023-05-25,chop,down,up,0,4.7144,0.18,1w
2023-06-06,chop,down,up,0,2.5672,0.2173,1w
2023-06-15,high_volatility,down,up,0,6.4063,0.3293,1w
2023-06-27,crisis,down,up,0,5.2769,0.2293,1w
2023-07-07,high_volatility,down,up,0,4.9898,0.332,1w
2023-07-18,crisis,up,down,0,-1.6417,0.6987,1w
2023-07-27,crisis,up,up,1,3.4396,0.6107,1w
2023-08-07,crisis,neutral,up,0,6.3224,0.5467,1w
2023-08-16,crisis,up,up,1,6.151,0.5733,1w
2023-08-25,high_volatility,up,up,1,7.0103,0.7173,1w
2023-09-06,chop,up,up,1,13.4176,0.6413,1w
2023-09-15,chop,up,up,1,8.4386,0.6507,1w
2023-09-26,trending_bull,up,up,1,1.5074,0.76,1w
2023-10-05,trending_bull,up,down,0,-3.0608,0.8333,1w
2023-10-16,trending_bull,up,down,0,-2.0114,0.752,1w
2023-10-25,trending_bull,up,up,1,5.2869,0.7253,1w
2023-11-03,trending_bull,up,up,1,7.5192,0.82,1w
2023-11-14,high_volatility,up,up,1,3.3165,0.752,1w
2023-11-24,high_volatility,up,down,0,-7.1019,0.7347,1w
2023-12-05,trending_bull,up,down,0,-8.7143,0.8253,1w
2023-12-14,trending_bull,up,neutral,0,-0.336,0.6653,1w
2023-12-26,trending_bear,neutral,up,0,5.9953,0.4653,1w
2024-01-05,trending_bear,down,up,0,7.7896,0.3653,1w
2024-01-17,trending_bull,down,down,1,-1.4827,0.412,1w
2024-01-26,trending_bull,up,down,0,-5.5996,0.5733,1w
2024-02-06,chop,neutral,down,0,-8.032,0.544,1w
2024-02-15,chop,down,down,1,-10.0567,0.4493,1w
2024-02-27,crisis,down,down,1,-9.1218,0.268,1w
2024-03-07,crisis,down,down,1,-8.3639,0.216,1w
2024-03-18,high_volatility,down,neutral,0,-0.1294,0.2093,1w
2024-03-27,trending_bear,down,down,1,-2.0437,0.2773,1w
2024-04-08,crisis,down,up,0,2.6647,0.2413,1w
2024-04-17,high_volatility,down,up,0,9.3629,0.256,1w
2024-04-26,chop,down,up,0,2.1637,0.2547,1w
2024-05-07,chop,down,up,0,1.3122,0.296,1w
2024-05-16,chop,down,down,1,-7.3898,0.404,1w
2024-05-28,chop,down,neutral,0,0.1707,0.3507,1w
2024-06-06,chop,neutral,up,0,1.465,0.4693,1w
2024-06-17,chop,down,up,0,4.1245,0.424,1w
2024-06-27,chop,neutral,neutral,0,-0.2894,0.4707,1w
2024-07-09,chop,up,up,1,4.8045,0.5853,1w
2024-07-18,chop,up,up,1,9.7544,0.5853,1w
2024-07-29,chop,neutral,up,0,10.8677,0.5453,1w
2024-08-07,trending_bull,up,up,1,7.7843,0.6187,1w
2024-08-16,trending_bull,up,up,1,4.5075,0.6387,1w
2024-08-27,trending_bull,up,up,1,0.5747,0.684,1w
2024-09-06,trending_bull,up,down,0,-7.1244,0.724,1w
2024-09-17,trending_bull,up,down,0,-5.723,0.812,1w
2024-09-26,trending_bull,up,down,0,-4.7978,0.6653,1w
2024-10-07,trending_bear,up,down,0,-2.2823,0.5507,1w
2024-10-16,trending_bear,up,down,0,-7.9354,0.5893,1w
2024-10-25,trending_bear,up,down,0,-5.9703,0.5827,1w
2024-11-05,trending_bear,down,down,1,-5.1028,0.3507,1w
2024-11-14,trending_bear,down,up,0,6.7099,0.1867,1w
2024-11-25,trending_bear,down,down,1,-2.0236,0.22,1w
