date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-4.4177,0.5853,1w
2021-01-13,chop,up,down,0,-7.0474,0.6267,1w
2021-01-25,chop,neutral,down,0,-2.7975,0.524,1w
2021-02-03,high_volatility,down,up,0,6.4516,0.4453,1w
2021-02-12,high_volatility,down,up,0,3.0443,0.3733,1w
2021-02-24,chop,down,up,0,10.1264,0.412,1w
2021-03-05,crisis,up,up,1,5.2437,0.5747,1w
2021-03-16,crisis,neutral,up,0,1.6054,0.4707,1w
2021-03-25,high_volatility,up,down,0,-4.8294,0.588,1w
2021-04-06,chop,up,down,0,-10.6291,0.6053,1w
2021-04-15,chop,neutral,down,0,-10.5721,0.46,1w
2021-04-26,chop,neutral,down,0,-7.7756,0.4907,1w
2021-05-05,chop,neutral,up,0,2.4961,0.488,1w
2021-05-14,high_volatility,down,down,1,-1.0202,0.396,1w
2021-05-25,high_volatility,down,down,1,-5.5239,0.4213,1w
2021-06-04,chop,down,down,1,-10.0683,0.432,1w
2021-06-15,chop,down,neutral,0,-0.2235,0.3413,1w
2021-06-24,trending_bear,down,up,0,8.1428,0.184,1w
2021-07-06,chop,down,up,0,18.3121,0.208,1w
2021-07-15,chop,down,up,0,19.9941,0.2813,1w
2021-07-26,chop,down,up,0,11.0911,0.424,1w
2021-08-04,trending_bull,up,down,0,-2.6275,0.6,1w
2021-08-13,trending_bull,up,down,0,-6.9711,0.724,1w
2021-08-24,trending_bull,up,down,0,-7.2261,0.7253,1w
2021-09-02,trending_bull,neutral,down,0,-2.9694,0.5387,1w
2021-09-14,chop,up,down,0,-7.0231,0.6747,1w
2021-09-23,chop,up,up,1,4.1466,0.668,1w
2021-10-04,chop,up,up,1,7.0392,0.6387,1w
2021-10-13,chop,up,up,1,12.0911,0.5733,1w
2021-10-22,high_volatility,neutral,up,0,2.9225,0.5453,1w
2021-11-02,chop,neutral,up,0,4.7738,0.5147,1w
2021-11-11,high_volatility,neutral,down,0,-1.3371,0.468,1w
2021-11-22,chop,neutral,down,0,-3.0327,0.4733,1w
2021-12-02,chop,up,down,0,-7.6928,0.58,1w
2021-12-13,chop,neutral,up,0,4.0458,0.492,1w
2021-12-22,chop,up,up,1,9.2883,0.588,1w
2022-01-03,chop,neutral,up,0,13.3778,0.4707,1w
2022-01-12,chop,up,up,1,5.4345,0.6333,1w
2022-01-24,chop,up,up,1,4.1389,0.58,1w
2022-02-02,trending_bull,up,up,1,2.6995,0.628,1w
2022-02-11,trending_bull,up,down,0,-6.2704,0.6333,1w
2022-02-23,trending_bull,up,down,0,-5.2153,0.6093,1w
2022-03-04,trending_bull,up,down,0,-2.1164,0.576,1w
2022-03-15,trending_bear,neutral,neutral,0,0.1308,0.5387,1w
2022-03-24,chop,up,neutral,0,0.0536,0.5987,1w
2022-04-04,chop,up,neutral,0,0.4615,0.6573,1w
2022-04-13,chop,neutral,up,0,5.9018,0.4947,1w
2022-04-25,chop,down,down,1,-0.8262,0.448,1w
2022-05-04,chop,down,down,1,-7.5548,0.4213,1w
