date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,neutral,0,-0.2795,0.384,1w
2021-01-13,chop,down,down,1,-8.8811,0.3787,1w
2021-01-25,chop,down,down,1,-4.4825,0.2667,1w
2021-02-03,chop,down,up,0,13.5432,0.3187,1w
2021-02-12,chop,down,up,0,10.5236,0.3693,1w
2021-02-24,trending_bear,down,up,0,9.0382,0.4227,1w
2021-03-05,crisis,up,down,0,-7.0675,0.764,1w
2021-03-16,crisis,up,up,1,3.6889,0.5987,1w
2021-03-25,high_volatility,up,up,1,9.1262,0.668,1w
2021-04-06,high_volatility,up,up,1,6.3853,0.6067,1w
2021-04-15,high_volatility,up,down,0,-4.3064,0.58,1w
2021-04-26,chop,up,down,0,-8.2048,0.668,1w
2021-05-05,high_volatility,up,down,0,-4.1057,0.6773,1w
2021-05-14,crisis,up,up,1,2.3279,0.624,1w
2021-05-25,high_volatility,up,up,1,3.4933,0.58,1w
2021-06-04,high_volatility,down,down,1,-1.4001,0.4213,1w
2021-06-15,chop,neutral,neutral,0,-0.3222,0.5107,1w
2021-06-24,chop,neutral,down,0,-2.2105,0.524,1w
2021-07-06,high_volatility,neutral,up,0,2.0724,0.5387,1w
2021-07-15,chop,down,up,0,12.6228,0.4013,1w
2021-07-26,chop,down,up,0,12.1592,0.4067,1w
2021-08-04,chop,down,neutral,0,-0.0887,0.436,1w
2021-08-13,chop,up,down,0,-0.9176,0.676,1w
2021-08-24,trending_bull,up,down,0,-1.1127,0.7253,1w
2021-09-02,trending_bull,up,neutral,0,0.1234,0.588,1w
2021-09-14,trending_bull,up,down,0,-2.6495,0.6693,1w
2021-09-23,chop,up,up,1,8.5204,0.6413,1w
2021-10-04,chop,up,up,1,10.6163,0.5893,1w
2021-10-13,chop,up,up,1,5.8571,0.6773,1w
2021-10-22,crisis,up,down,0,-7.692,0.756,1w
2021-11-02,high_volatility,up,down,0,-8.5234,0.6933,1w
2021-11-11,high_volatility,up,up,1,4.0091,0.5613,1w
2021-11-22,high_volatility,down,up,0,0.5411,0.4213,1w
2021-12-02,chop,neutral,down,0,-5.123,0.5013,1w
2021-12-13,chop,neutral,down,0,-1.5003,0.4907,1w
2021-12-22,chop,neutral,down,0,-3.8772,0.4707,1w
2022-01-03,chop,down,down,1,-4.5801,0.4427,1w
2022-01-12,chop,neutral,down,0,-1.8514,0.456,1w
2022-01-24,chop,down,up,0,0.7736,0.2413,1w
2022-02-02,trending_bear,down,up,0,0.5,0.224,1w
2022-02-11,trending_bear,down,down,1,-4.4403,0.3787,1w
2022-02-23,trending_bear,down,down,1,-9.3862,0.3507,1w
2022-03-04,chop,down,down,1,-2.6495,0.2253,1w
2022-03-15,trending_bear,down,up,0,2.2849,0.2,1w
2022-03-24,trending_bear,down,up,0,0.7321,0.1987,1w
2022-04-04,trending_bear,down,down,1,-7.1896,0.2747,1w
2022-04-13,chop,down,down,1,-6.6042,0.3213,1w
2022-04-25,chop,down,up,0,1.0958,0.3507,1w
2022-05-04,chop,down,up,0,5.8188,0.2253,1w
2022-05-13,trending_bear,down,up,0,10.2711,0.2747,1w
2022-05-24,chop,down,up,0,10.3549,0.2627,1w
2022-06-03,chop,down,up,0,7.6329,0.4013,1w
2022-06-14,chop,up,up,1,6.6289,0.576,1w
2022-06-24,chop,up,up,1,6.0042,0.6173,1w
2022-07-06,trending_bull,up,up,1,1.155,0.6613,1w
2022-07-15,trending_bull,up,down,0,-2.9704,0.68,1w
2022-07-26,trending_bull,up,down,0,-4.8766,0.7947,1w
2022-08-04,trending_bull,up,down,0,-5.2878,0.7813,1w
2022-08-15,chop,up,down,0,-4.2883,0.7533,1w
2022-08-24,trending_bear,up,down,0,-7.8792,0.704,1w
2022-09-02,chop,up,down,0,-3.609,0.5587,1w
2022-09-14,trending_bear,down,up,0,6.2273,0.3893,1w
2022-09-23,trending_bear,down,up,0,6.9457,0.2307,1w
2022-10-04,trending_bear,down,up,0,16.7557,0.2093,1w
2022-10-13,trending_bull,down,up,0,3.6419,0.424,1w
2022-10-24,trending_bull,down,up,0,11.3087,0.336,1w
2022-11-02,chop,neutral,up,0,4.2594,0.4947,1w
2022-11-11,chop,neutral,up,0,9.7818,0.5453,1w
2022-11-22,trending_bull,up,up,1,7.4473,0.6107,1w
2022-12-02,trending_bull,up,up,1,6.5868,0.7213,1w
2022-12-13,trending_bull,up,neutral,0,-0.2541,0.768,1w
2022-12-22,trending_bull,up,down,0,-1.3303,0.8347,1w
2023-01-04,trending_bull,up,up,1,5.3188,0.8413,1w
2023-01-13,trending_bull,up,up,1,10.0075,0.74,1w
2023-01-25,chop,up,up,1,13.2943,0.8013,1w
2023-02-03,trending_bull,up,up,1,10.9317,0.7787,1w
2023-02-14,trending_bull,up,up,1,1.8737,0.8587,1w
2023-02-24,trending_bull,up,neutral,0,0.1313,0.8867,1w
2023-03-07,high_volatility,up,down,0,-1.9771,0.9107,1w
2023-03-16,high_volatility,up,down,0,-5.7091,0.7613,1w
2023-03-27,trending_bull,up,down,0,-4.7524,0.7587,1w
2023-04-05,chop,up,down,0,-13.6831,0.7747,1w
2023-04-17,trending_bear,up,down,0,-7.2229,0.656,1w
2023-04-26,trending_bear,up,down,0,-7.499,0.668,1w
2023-05-05,crisis,down,up,0,1.7293,0.3507,1w
2023-05-16,trending_bear,down,down,1,-6.4255,0.2733,1w
2023-05-25,trending_bear,down,down,1,-0.7485,0.272,1w
2023-06-06,trending_bear,down,down,1,-3.0443,0.2387,1w
2023-06-15,trending_bear,down,up,0,10.3747,0.184,1w
2023-06-27,chop,down,up,0,11.3384,0.2413,1w
2023-07-07,chop,down,up,0,6.0431,0.2253,1w
2023-07-18,chop,down,up,0,0.9057,0.4467,1w
2023-07-27,trending_bull,neutral,neutral,0,-0.1875,0.4667,1w
2023-08-07,crisis,neutral,up,0,7.3946,0.5373,1w
2023-08-16,high_volatility,up,down,0,-1.5284,0.58,1w
2023-08-25,chop,up,down,0,-6.7543,0.656,1w
2023-09-06,trending_bull,up,down,0,-4.0526,0.6173,1w
2023-09-15,chop,up,down,0,-2.2908,0.648,1w
2023-09-26,chop,neutral,down,0,-2.1739,0.5413,1w
2023-10-05,chop,up,down,0,-25.4856,0.588,1w
2023-10-16,chop,down,down,1,-21.7371,0.4027,1w
2023-10-25,chop,down,down,1,-21.6208,0.2907,1w
2023-11-03,crisis,down,up,0,0.5046,0.2813,1w
2023-11-14,high_volatility,down,down,1,-0.9625,0.2853,1w
2023-11-24,trending_bear,down,down,1,-2.5683,0.2587,1w
2023-12-05,trending_bear,down,down,1,-1.1542,0.2573,1w
2023-12-14,trending_bear,down,up,0,1.387,0.2667,1w
2023-12-26,chop,down,up,0,2.0539,0.2747,1w
2024-01-05,chop,down,down,1,-15.4985,0.2693,1w
2024-01-17,chop,down,down,1,-16.2133,0.2973,1w
2024-01-26,chop,down,down,1,-9.648,0.2987,1w
2024-02-06,chop,down,up,0,17.8516,0.2973,1w
2024-02-15,trending_bear,down,up,0,20.3023,0.3507,1w
2024-02-27,trending_bear,down,up,0,16.9382,0.3653,1w
2024-03-07,chop,neutral,down,0,-3.8306,0.516,1w
2024-03-18,trending_bull,neutral,up,0,8.8097,0.5173,1w
