date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-1.1628,0.4213,1w
2021-01-13,chop,down,down,1,-1.5355,0.4067,1w
2021-01-25,chop,down,up,0,6.7698,0.3827,1w
2021-02-03,chop,down,up,0,34.8178,0.344,1w
2021-02-12,chop,down,up,0,20.0298,0.268,1w
2021-02-24,chop,down,up,0,12.4924,0.4093,1w
2021-03-05,chop,up,down,0,-1.5232,0.668,1w
2021-03-16,trending_bull,up,up,1,4.0299,0.6733,1w
2021-03-25,trending_bull,up,down,0,-11.0132,0.6587,1w
2021-04-06,chop,up,down,0,-21.0682,0.6733,1w
2021-04-15,chop,up,down,0,-41.8283,0.6933,1w
2021-04-26,chop,up,down,0,-17.193,0.5987,1w
2021-05-05,trending_bear,neutral,down,0,-4.5082,0.5387,1w
2021-05-14,trending_bear,down,down,1,-5.3742,0.2827,1w
2021-05-25,trending_bear,down,down,1,-12.7118,0.296,1w
2021-06-04,trending_bear,down,down,1,-27.9441,0.256,1w
2021-06-15,chop,down,down,1,-13.986,0.1907,1w
2021-06-24,chop,down,down,1,-5.5814,0.168,1w
2021-07-06,trending_bear,down,up,0,22.1607,0.1427,1w
2021-07-15,trending_bear,down,up,0,22.5464,0.132,1w
2021-07-26,chop,down,up,0,3.8967,0.2653,1w
2021-08-04,chop,down,down,1,-20.7743,0.3467,1w
2021-08-13,trending_bull,neutral,down,0,-10.8361,0.4907,1w
2021-08-24,chop,down,down,1,-7.0093,0.3867,1w
2021-09-02,chop,down,up,0,10.0,0.28,1w
2021-09-14,chop,down,up,0,14.25,0.412,1w
2021-09-23,chop,down,up,0,31.9559,0.412,1w
2021-10-04,chop,up,up,1,4.5146,0.5987,1w
2021-10-13,chop,up,up,1,11.3839,0.6173,1w
2021-10-22,chop,up,up,1,2.7837,0.6027,1w
2021-11-02,chop,neutral,up,0,29.035,0.4587,1w
2021-11-11,chop,up,up,1,12.8404,0.5507,1w
2021-11-22,chop,up,up,1,8.4011,0.5573,1w
2021-12-02,chop,up,down,0,-1.0489,0.6987,1w
2021-12-13,chop,up,up,1,5.6537,0.684,1w
2021-12-22,chop,up,up,1,15.847,0.7427,1w
2022-01-03,chop,up,up,1,7.4266,0.6467,1w
2022-01-12,chop,up,down,0,-10.2729,0.6733,1w
2022-01-24,trending_bull,up,down,0,-22.291,0.6987,1w
2022-02-02,trending_bull,up,down,0,-9.0909,0.736,1w
2022-02-11,chop,up,down,0,-3.2501,0.5853,1w
2022-02-23,trending_bear,down,up,0,18.8131,0.4467,1w
2022-03-04,chop,down,up,0,27.7216,0.4107,1w
2022-03-15,chop,down,up,0,22.6345,0.428,1w
2022-03-24,chop,neutral,up,0,4.5455,0.548,1w
2022-04-04,trending_bull,up,down,0,-5.4348,0.5987,1w
2022-04-13,trending_bull,neutral,down,0,-18.126,0.5387,1w
2022-04-25,trending_bull,down,down,1,-14.3273,0.424,1w
2022-05-04,chop,neutral,down,0,-12.1551,0.5013,1w
2022-05-13,chop,down,neutral,0,-0.3425,0.4093,1w
2022-05-24,trending_bear,neutral,down,0,-0.6585,0.5427,1w
2022-06-03,chop,neutral,down,0,-6.5365,0.52,1w
2022-06-14,chop,down,up,0,13.1931,0.4293,1w
2022-06-24,chop,down,up,0,18.9621,0.2947,1w
2022-07-06,chop,down,up,0,2.7397,0.1933,1w
2022-07-15,chop,down,down,1,-25.7749,0.3653,1w
2022-07-26,chop,down,down,1,-21.4034,0.4253,1w
2022-08-04,chop,down,down,1,-19.067,0.312,1w
